"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
1.27835931142618e-12,5.30169810960064e-12,1.26584079201391e-11,2.44101166287539e-11,4.22212707037837e-11,6.85573056740016e-11,1.06969372869045e-10,1.62490470989473e-10,2.42176041502929e-10,3.5583193312475e-10,5.16984418421729e-10,7.44160922760134e-10,1.06256651660436e-09,1.50626015143852e-09,2.12095607631881e-09,2.96759965118612e-09,4.1268924056856e-09,5.70496786559234e-09,7.84044613874745e-09,1.07131197524123e-08,1.45545433898454e-08,1.96608129316538e-08,2.6407820788964e-08,3.52692604175413e-08,4.68376179572389e-08,6.18483274605857e-08,8.12071721921211e-08,1.06020882118637e-07,1.37630701678728e-07,1.77648478149923e-07,2.27994547345031e-07,2.90936370750851e-07,3.69126511154646e-07,4.65638131596464e-07,5.83995780008288e-07,7.28198800207321e-07,9.02734316519076e-07,1.11257640800376e-06,1.36316785829031e-06,1.66038078154559e-06,2.01045252885412e-06,2.41989361540568e-06,2.8953650150521e-06,3.44352307271785e-06,4.0708314998255e-06,4.78334143692053e-06,5.58644236111664e-06,6.48458862734462e-06,7.4810085772496e-06,8.57740531635157e-06,9.77366031333017e-06,1.10675527618468e-05,1.24545090031198e-05,1.39273970768773e-05,1.54763815052168e-05,1.70888526036991e-05,1.8749442885357e-05,2.04401404601557e-05,2.21405057831027e-05,2.38279937860394e-05,2.54783785269633e-05,2.70662722541763e-05,2.85657255074805e-05,2.99508898929313e-05,3.11967208075889e-05,3.22796939757155e-05,3.31785074645415e-05,3.38747400856832e-05,3.43534378800382e-05,3.46036027509371e-05,3.46185611667109e-05,3.43961960090917e-05,3.39390308140283e-05,3.32541624783964e-05,3.23530455831321e-05,3.12511383854419e-05,2.996742684793e-05,2.85238484320689e-05,2.69446414884689e-05,2.52556487178871e-05,2.34836042481489e-05,2.16554333725632e-05,1.97975920256112e-05,1.79354698208593e-05,1.60928762029818e-05,1.42916242757171e-05,1.25512214870508e-05,1.08886709050514e-05,9.31838160001404e-06,7.85218191462684e-06,6.4994253510934e-06,5.26717556671885e-06,4.16045461757662e-06,3.18253713411424e-06,2.33527251261922e-06,1.61941738276342e-06,1.03496145823539e-06,5.81431276033573e-07,2.58158160566247e-07,6.44989001509485e-08
5.17653482793423e-12,2.1468500660413e-11,5.12585911286815e-11,9.884589086077e-11,1.70970652828336e-10,2.77616849972081e-10,4.33165277424579e-10,6.57997852378045e-10,9.80687017841371e-10,1.44094404435943e-09,2.09354773904834e-09,3.01353170057035e-09,4.30297467139545e-09,6.09981524291633e-09,8.58919912268883e-09,1.20179635484367e-08,1.67129673342548e-08,2.31040831714523e-08,3.17527761421235e-08,4.33872917849678e-08,5.89455588626948e-08,7.96269638453366e-08,1.06954160734562e-07,1.42846022959958e-07,1.8970270273257e-07,2.50503514378185e-07,3.28917977599376e-07,4.29429820487948e-07,5.57473028954714e-07,7.19578122537292e-07,9.23525727823162e-07,1.17850321311746e-06,1.49525866001686e-06,1.88624481690876e-06,2.36574396632858e-06,2.94996292788399e-06,3.65708582262529e-06,4.50727088027669e-06,5.52257663675982e-06,6.72680252096654e-06,8.14522924821285e-06,9.8042457982906e-06,1.1730852211402e-05,1.39520310980645e-05,1.64939856821914e-05,1.93812483542081e-05,2.26356709820581e-05,2.62753163834146e-05,3.03132790600996e-05,3.47564720832101e-05,3.9604425345543e-05,4.48481476454196e-05,5.04691105756028e-05,5.64384153150825e-05,6.27162035753709e-05,6.92513706715874e-05,7.59816316823738e-05,8.28339808661938e-05,8.97255701104938e-05,9.65650146803402e-05,0.000103254114657965,0.000109689959228506,0.000115767359574142,0.000121381535918628,0.000126430966581127,0.00013082029304774,0.000134463166173453,0.000137284915536406,0.000139224927177548,0.000140238624558578,0.000140298963211692,0.000139397370462965,0.000137544086635246,0.000134767891823369,0.000131115231034888,0.00012664877847945,0.000121445507398031,0.000115594353554557,0.000109193577154577,0.000102347938661344,9.51658083166875e-05,8.77563271405285e-05,8.02267291874585e-05,7.26799216493808e-05,6.52124020597226e-05,5.79125716155433e-05,5.08594818134632e-05,4.41220295041997e-05,3.77585943147469e-05,3.18170931955611e-05,2.63354104223058e-05,2.13421482614245e-05,1.68576339800119e-05,1.28951129854935e-05,9.4620554554012e-06,6.56150453880054e-06,4.19339764944841e-06,2.35579804483781e-06,1.04598130911886e-06,2.61330080830469e-07
1.1884736586544e-11,4.92893384573679e-11,1.1768452303001e-10,2.269411543613e-10,3.92535270815785e-10,6.37390986497809e-10,9.94528418468148e-10,1.51074781335882e-09,2.25165745256614e-09,3.30844455659886e-09,4.80689804434256e-09,6.91932213327416e-09,9.88013239610773e-09,1.40061021933461e-08,1.97224272930362e-08,2.75959980780648e-08,3.83775076833768e-08,5.3054273156264e-08,7.29158937303024e-08,9.963509912306e-08,1.35366329317477e-07,1.82864707135662e-07,2.45628080873351e-07,3.28064684372328e-07,4.35688637992607e-07,5.75344942941387e-07,7.55464747640223e-07,9.86350433363136e-07,1.28048842777391e-06,1.65288557109978e-06,2.12142231087353e-06,2.70721299448102e-06,3.43496010657221e-06,4.33328554720912e-06,5.43501810477844e-06,6.77741234124761e-06,8.40227043273848e-06,1.03559354106705e-05,1.2689122093985e-05,1.54565511940213e-05,1.8716353028195e-05,2.25292103999034e-05,2.69572158423278e-05,3.2062426842615e-05,3.79051139827069e-05,4.45417110952515e-05,5.20224932594414e-05,6.03890272262182e-05,6.96714588780162e-05,7.98857225542237e-05,9.10307762459823e-05,0.000103085983353,0.000116008774387443,0.000129732729214524,0.000144166220789425,0.000159191753814376,0.000174666115630252,0.00019042143182239,0.000206267185909949,0.000221993222196417,0.000237373705119808,0.000252171959566304,0.000266146067372272,0.000279055048698262,0.000290665416255446,0.000300757858483038,0.00030913378729803,0.000315621478923724,0.000320081543695039,0.000322411482836478,0.000322549126211209,0.000320474793167055,0.0003162120762046,0.000309827210918654,0.000301427061719821,0.000291155817258252,0.000279190548400075,0.000265735831606873,0.000251017678850456,0.000235277039809724,0.000218763152050605,0.000201727010181518,0.00018441520654849,0.00016706436565535,0.000149896354584135,0.000133114405100508,0.000116900232908101,0.000101412188680586,8.6784426826497e-05,7.31270337957987e-05,6.05270199578554e-05,4.90500489170344e-05,3.87427562356972e-05,2.96354959999093e-05,2.17453481108789e-05,1.50792208689852e-05,9.63689134792088e-06,5.4138391243271e-06,2.40374601489848e-06,6.005545412914e-07
2.17229672690751e-11,9.00914858900002e-11,2.15105765523451e-10,4.1480945021702e-10,7.17492670980459e-10,1.16506134694845e-09,1.81787842169446e-09,2.76149982451308e-09,4.11586771704418e-09,6.04769124762306e-09,8.78694564429426e-09,1.26486586213437e-08,1.80614324364145e-08,2.56044726866575e-08,3.60552609389167e-08,5.04504141200811e-08,7.01627113325372e-08,9.69977246352389e-08,1.33313943219282e-07,1.82170700281085e-07,2.47508558348102e-07,3.34367029815281e-07,4.49144540587636e-07,5.99905309148903e-07,7.96737222826791e-07,1.05216375023625e-06,1.38161133173732e-06,1.80393143748722e-06,2.34197348439587e-06,3.0232009888279e-06,3.88033866487663e-06,4.95203267088038e-06,6.28349993676145e-06,7.92713562969265e-06,9.94304058856094e-06,1.23994233375768e-05,1.53728245458569e-05,1.89481061101624e-05,2.32181430733211e-05,2.82831550899463e-05,3.42496158802721e-05,4.1228684812369e-05,4.93341150697979e-05,5.86796082734355e-05,6.93756061589551e-05,8.15255358597219e-05,9.52215560005224e-05,0.000110539885207607,0.000127535831343125,0.000146238676869249,0.000166646610921693,0.000188721929301409,0.000212386746900512,0.000237519480327464,0.000263952359215021,0.000291470210914916,0.000319810733778061,0.000348666428707598,0.00037768829797643,0.000406491346426575,0.000434661836294155,0.000461766157271095,0.000487361083107062,0.000511005100689844,0.000532270422881813,0.000550755237907982,0.000566095710528111,0.00057797723717356,0.000586144470788173,0.000590409671648183,0.000590659006477245,0.00058685650645251,0.000579045500347756,0.00056734745594108,0.000551958283959622,0.000533142276959323,0.000511223963586518,0.000486578250328159,0.000459619293013369,0.000430788585408813,0.000400542770436557,0.00036934167083668,0.000337637002232838,0.000305862175788084,0.000274423524401718,0.000243693200929504,0.000214003904804486,0.000185645500226465,0.000158863499864244,0.000133859307112903,0.000110792040737203,8.97817104968802e-05,7.09134722785281e-05,5.42426665199392e-05,3.98003336038426e-05,2.75989030460141e-05,1.76377678895184e-05,9.90847970499861e-06,4.39933093430478e-06,1.09912810000487e-06
3.51452501738894e-11,1.45758104236764e-10,3.48019390327987e-10,6.71124965639993e-10,1.16085101196476e-09,1.88500687756191e-09,2.94127036675738e-09,4.46809000945887e-09,6.65956521127193e-09,9.78548676659163e-09,1.42180452190941e-08,2.04671004350441e-08,2.92263585136738e-08,4.14333253535982e-08,5.83464996577794e-08,8.16439263926372e-08,1.13547941958593e-07,1.56981682337693e-07,2.15763661101492e-07,2.94847406796681e-07,4.00613713443128e-07,5.41223419385572e-07,7.27038684113137e-07,9.71120355266543e-07,1.28980806567105e-06,1.70338801494283e-06,2.23685080611191e-06,2.92073806095033e-06,3.79207168029229e-06,4.89535343304787e-06,6.28361499004942e-06,8.01948958554752e-06,1.01762663143736e-05,1.28388769118165e-05,1.6104753125811e-05,2.00844810587762e-05,2.49021678912001e-05,3.06954271377497e-05,3.76148821190705e-05,4.58230848587368e-05,5.54927503808296e-05,6.68042155932042e-05,7.9942048648214e-05,9.50907596552173e-05,0.000112429597248582,0.000132126457623491,0.000154330982417986,0.000179166977682483,0.000206724345797893,0.000237050782482729,0.00027014354820391,0.000305941673113692,0.000344318992563333,0.000385078431842834,0.000427947960044103,0.000472578610639778,0.000518544918511429,0.000565348049287387,0.000612421798293179,0.000659141516431978,0.000704835884063007,0.000748801308322143,0.000790318572594565,0.000828671228134655,0.00086316509650144,0.000893148156437519,0.000918030027773249,0.000937300243726046,0.000950544524999711,0.00095745833496599,0.000957857102536454,0.000951682642794666,0.00093900547713998,0.000920022944613661,0.000895053192906938,0.000864525329450172,0.000828966188482172,0.000788984318842163,0.000745251911105068,0.000698485455795278,0.000649425953820278,0.000598819485975434,0.000547398893215381,0.000495867228659072,0.000444883523221047,0.000395051267852271,0.000346909865726072,0.000300929156308587,0.000257506968375237,0.000216969527715427,0.000179574432971142,0.000145515823483103,0.000114931298089237,8.79101037949979e-05,6.45020969609068e-05,4.47269848888979e-05,2.85833794741346e-05,1.6057233607801e-05,7.12928193291669e-06,1.7811672812713e-06
5.2745046449973e-11,2.18750719702768e-10,5.22303692629682e-10,1.00722623173418e-09,1.74222869438367e-09,2.82909603342735e-09,4.41445164150872e-09,6.70612676490907e-09,9.99550386436311e-09,1.46876104594026e-08,2.13412285314685e-08,3.07218647342132e-08,4.38711075419688e-08,6.21966844806509e-08,8.75884255674323e-08,1.2256632987403e-07,1.7046800165718e-07,2.35683837456123e-07,3.23949454711429e-07,4.42705882864319e-07,6.01538891245971e-07,8.12709377641418e-07,1.09178683013524e-06,1.45839731512742e-06,1.93709602055126e-06,2.55837185733632e-06,3.35978774381591e-06,4.38725471973147e-06,5.69643073496988e-06,7.35422565952908e-06,9.44038267396555e-06,1.20490927510352e-05,1.52905836148017e-05,1.9292607745893e-05,2.42017363062693e-05,3.01843481586414e-05,3.74271866013413e-05,4.61373424403018e-05,5.65415122184712e-05,6.88843766296534e-05,8.34259482385452e-05,0.000100437751429848,0.000120197722609627,0.000142983756261254,0.000169065873081961,0.000198697049848317,0.000232102825647458,0.000269469883318007,0.000310933894847065,0.000356567010398865,0.000406365456930602,0.000460237787552643,0.000517994380103162,0.000579338816113184,0.000643861773363139,0.000711038031736668,0.000780227120033766,0.000850678020108081,0.000921538196141545,0.000991867035968669,0.00106065358589978,0.00112683824086033,0.00118933783033084,0.00124707333131751,0.00129899925654731,0.00134413362269368,0.00138158731133617,0.00141059160335345,0.00143052270069563,0.00144092214887574,0.00144151223544655,0.00143220565616539,0.00141310899954452,0.0013845198869694,0.00134691790244259,0.00130094973540884,0.00124740922473055,0.00118721321623862,0.00112137431785466,0.00105097174632912,0.000977121503740715,0.000900947100091153,0.000823551954896544,0.00074599447362673,0.000669266615094549,0.000594276556301056,0.000521835835528275,0.000452651126201023,0.00038732057567753,0.000326334445283743,0.000270079618803678,0.000218847411842072,0.000172844016857373,0.00013220285859424,9.69981103657378e-05,6.72586297494445e-05,4.29816082883778e-05,2.41452887182816e-05,1.07201800424064e-05,2.67829078728455e-06
7.52613605777202e-11,3.12134557351936e-10,7.45278729686649e-10,1.43723300106092e-09,2.48605682099237e-09,4.0370161186536e-09,6.29937689275202e-09,9.56977487514107e-09,1.42641159415532e-08,2.09605452787696e-08,3.04567216842911e-08,4.38454629314694e-08,6.26138019459663e-08,8.8771619476916e-08,1.25017296921606e-07,1.74949251477208e-07,2.43333747780277e-07,3.36440978230659e-07,4.62462995237349e-07,6.32028558545579e-07,8.5883118916918e-07,1.16038751709271e-06,1.5589431481033e-06,2.08254248731105e-06,2.76627693411479e-06,3.65372226436159e-06,4.79857048118121e-06,6.26645359112022e-06,8.13694632476831e-06,1.05057215204063e-05,1.34868155919478e-05,1.7214942245041e-05,2.18477706503826e-05,2.75680601765123e-05,3.45855184046966e-05,4.31382237472966e-05,5.34934302102048e-05,6.59475517018285e-05,8.08251091511347e-05,9.84764181528988e-05,0.000119273800609306,0.000143606123496538,0.000171871503744877,0.000204468071982316,0.000241782760376359,0.000284178170674831,0.000331977686036906,0.000385449111002093,0.000444787252920418,0.000510095988668308,0.000581370484358877,0.000658480343795238,0.000741154543831509,0.000828969061947688,0.00092133810448165,0.00101750979613318,0.00111656708819967,0.00121743448349303,0.0013188909628783,0.00141958923889675,0.00151808116716106,0.00161284883105335,0.00170234049761928,0.00178501034221845,0.00185936057676713,0.00192398441058672,0.00197760814065842,0.00201913062214519,0.00204765841777063,0.00206253506732936,0.00206336315104766,0.00205001813119104,0.00202265332805605,0.00198169579764314,0.00192783330432499,0.00186199299704469,0.00178531277715008,0.00169910666768995,0.00160482573989141,0.00150401631008488,0.00139827718321582,0.00128921768736314,0.00117841812356349,0.00106739405823825,0.000957565627333651,0.000850232720381438,0.000746556588782483,0.000647548095175516,0.000554062507656899,0.000466800459071145,0.000386314449373651,0.000313020076129064,0.000247211038636215,0.000189076875460519,0.000138722360749085,9.61874966993208e-05,6.1467091497354e-05,3.45289967368864e-05,1.53301885412738e-05,3.83000566315792e-06
1.03584893551541e-10,4.29604073116501e-10,1.02576733341967e-09,1.97816404236465e-09,3.42178325101493e-09,5.556605232303e-09,8.67072707798682e-09,1.31725459239602e-08,1.96346933620201e-08,2.88532188901945e-08,4.19264833837397e-08,6.03593679276484e-08,8.61997471004259e-08,1.22215729970357e-07,1.72123936760593e-07,2.40881038757931e-07,3.35052906540639e-07,4.63277921879895e-07,6.36843211278208e-07,8.70394610683485e-07,1.18280287791411e-06,1.59820978186721e-06,2.14727790547127e-06,2.86866693162205e-06,3.81075641084004e-06,5.03363006403561e-06,6.6113290563172e-06,8.63437089553197e-06,1.12125162149088e-05,1.44777473434217e-05,1.85874000624279e-05,2.37273633390978e-05,3.0115231474985e-05,3.80032597614569e-05,4.76809396039729e-05,5.94769738912424e-05,7.37604004115814e-05,9.09405831536682e-05,0.000111465771631921,0.000135819920545032,0.000164517469851589,0.000198095812354261,0.000237105225307344,0.000282096116770047,0.000333603537573068,0.00039212903539184,0.000458120076110296,0.000531947424778931,0.000613881057043949,0.000704065352689543,0.000802494494619148,0.000908989146421743,0.00102317559607225,0.00114446861891923,0.00127205931780709,0.00140490913229907,0.00154175106644506,0.00168109896392849,0.00182126536466361,0.00196038811772339,0.00209646551732378,0.00222739929213583,0.00235104433824547,0.00246526367005291,0.00256798669944426,0.00265726866841988,0.00273134887719165,0.0027887052861175,0.00282810313597923,0.0028486354288069,0.0028497534335034,0.00283128581093856,0.00279344546815488,0.00273682382084545,0.00266237273328386,0.00257137497984278,0.0024654045977022,0.00234627894555909,0.00221600462322719,0.00207671962464065,0.00193063418322143,0.00177997272399923,0.00162691916990771,0.00147356757632881,0.00132187971000544,0.00117365077150295,0.00103048401179865,0.000893774540283727,0.000764702188223246,0.000644232899572381,0.00053312778626263,0.000431958718615109,0.000341129129013323,0.000260898589008362,0.000191409673041579,0.000132715639119262,8.48075290927423e-05,4.76394086912373e-05,2.11506201008836e-05,5.28409843675072e-06
1.38763470236949e-10,5.75505474235412e-10,1.37414892720692e-09,2.65004104534376e-09,4.58405260048069e-09,7.44414510221867e-09,1.16163673977983e-08,1.76479957127815e-08,2.63064301822215e-08,3.86585404287975e-08,5.6176445775136e-08,8.08772524500528e-08,1.15506075250524e-07,1.63773759625459e-07,2.30663092508613e-07,3.22819925875423e-07,4.49048486617819e-07,6.20933122952619e-07,8.53611706761966e-07,1.16672868088102e-06,1.5855980507541e-06,2.14260813555902e-06,2.87890019801999e-06,3.84635166579631e-06,5.10989096559433e-06,6.75016437804496e-06,8.86656511635384e-06,1.15806203694595e-05,1.50397127257891e-05,1.9421087732327e-05,2.49360690876624e-05,3.18343671734812e-05,4.04083257733026e-05,5.0996906912904e-05,6.39891664086212e-05,7.98269252476716e-05,9.90062974000808e-05,0.000122077696839583,0.000149643919823147,0.000182355887696468,0.000220905645706164,0.00026601624940594,0.000318428236550898,0.000378882482093599,0.000448099368604715,0.000526754373548081,0.000615450375110977,0.000714687203497661,0.000824829205347979,0.000946071832767277,0.00107840850014961,0.00122159915430128,0.00137514215803317,0.00153825117631895,0.00170983876094814,0.00188850824126848,0.00207255533689508,0.00225998061117756,0.0024485134870412,0.00263564806264949,0.00281869041402289,0.00299481648316569,0.00316113905686601,0.00331478178015238,0.00345295765740409,0.00357304910942373,0.00367268640766145,0.00374982122092753,0.00380279209918091,0.00383037898573384,0.00383184428372498,0.00380695858339483,0.00375600985139374,0.00367979565154335,0.00357959876219448,0.00345714733057886,0.00331456141287881,0.00315428834864544,0.00297902987614252,0.00279166418785844,0.00259516624109693,0.00239252957751379,0.00218669267941617,0.00198047252124645,0.00177650749138192,0.00157721129679039,0.00138473885807364,0.00120096459138571,0.00102747288999378,0.000865560090186404,0.000716246755714875,0.000580298756695006,0.000458255360377885,0.000350462393194453,0.000257108471069354,0.00017826231890465,0.000113909298211366,6.39854206066815e-05,2.84073307683944e-05,7.0969829841777e-06
1.82005846219183e-10,7.54852515703239e-10,1.80239727547827e-09,3.47596150797496e-09,6.01283251994867e-09,9.76456654696666e-09,1.52376686566344e-08,2.31502138084622e-08,3.45091546013666e-08,5.0714480016541e-08,7.36980893394016e-08,1.0610726636026e-07,1.51545013518729e-07,2.14882254049621e-07,3.02660033449037e-07,4.23603323183037e-07,5.89271785252646e-07,8.14876782276101e-07,1.1202978379857e-06,1.53133541535791e-06,2.08123994293182e-06,2.81255904307649e-06,3.77934535051117e-06,5.04976549818784e-06,6.70914603281618e-06,8.86348336474833e-06,1.16434314709291e-05,1.5208762075174e-05,1.97532666251538e-05,2.55100369391392e-05,3.27570215607422e-05,4.18227077029986e-05,5.3091724803814e-05,6.70101064662069e-05,8.40898850529202e-05,0.000104912630498347,0.000130131486010717,0.000160471203228459,0.000196725643863049,0.000239752200313887,0.00029046260085522,0.000349809612252203,0.000418769239770911,0.000498318155773744,0.00058940626555051,0.000692924541978052,0.000809668524789967,0.000940298177478241,0.00108529511276391,0.00124491851970215,0.00141916143175877,0.00160770924282784,0.00180990258297279,0.00202470678376463,0.00225069017280513,0.00248601332104698,0.00272843111395415,0.00297530912571269,0.00322365525154289,0.00347016691394788,0.00371129343199777,0.00394331236531401,0.00416241786052197,0.00436481828650334,0.00454683979603344,0.00470503194306988,0.0048362711584205,0.0049378577730941,0.00500760239662118,0.00504389781018528,0.00504577310863377,0.00501292759277437,0.00494574283127675,0.00484527232639371,0.00471320926881618,0.00455183389082187,0.00436394286206256,0.00415276396404352,0.00392185988329442,0.00367502534865934,0.00341618198964227,0.00314927521080587,0.00287817707739996,0.00260659871841205,0.00233801511407846,0.00207560439133962,0.00182220295153616,0.00158027694788772,0.00135190986002463,0.00113880521642196,0.000942302921849063,0.000763407175235623,0.000602823623438608,0.000461003189186213,0.000338189930372935,0.000234470320538378,0.000149821470675307,8.41560225921088e-05,3.73617160143426e-05,9.33394899731719e-06
