"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
2.8234293250688e-29,1.41530410643702e-28,4.50365267396054e-28,1.24063815152597e-27,3.20822481624375e-27,8.00969919108021e-27,1.95251083718301e-26,4.67048049822506e-26,1.09886775884098e-25,2.54598132517574e-25,5.81241345668034e-25,1.30796134750945e-24,2.90172345937694e-24,6.34738596138889e-24,1.36914964184032e-23,2.91242747222874e-23,6.10989948776659e-23,1.26418812367658e-22,2.57994443004386e-22,5.1933927820538e-22,1.03122737386896e-21,2.01994545976315e-21,3.90324309861856e-21,7.4409850645497e-21,1.39949585217578e-20,2.59696431127475e-20,4.75477232280094e-20,8.58970826587855e-20,1.53118259107429e-19,2.69333110479006e-19,4.67498694932331e-19,8.00777819453871e-19,1.35362111734569e-18,2.25812269996327e-18,3.71770190538699e-18,6.04072268073322e-18,9.68725329113303e-18,1.53327261147333e-17,2.39526763387082e-17,3.69328721918325e-17,5.620880663001e-17,8.44374729605836e-17,1.25202348198294e-16,1.83249325542313e-16,2.64746800572066e-16,3.77557177058335e-16,5.31499863207892e-16,7.38577785011924e-16,1.01313127259804e-15,1.37187593607916e-15,1.83377620166468e-15,2.41970509460606e-15,3.15184523134869e-15,4.05279720071092e-15,5.14438043798081e-15,6.44613836034534e-15,7.97359286482332e-15,9.73633094122087e-15,1.17360444912275e-14,1.3964678769719e-14,1.64028698543204e-14,1.90188619285064e-14,2.17680865168427e-14,2.45935554361836e-14,2.7427166879895e-14,3.01919524337011e-14,3.28052076692361e-14,3.51823586689116e-14,3.72413315920804e-14,3.89071229206975e-14,4.01162240870216e-14,4.0820543094875e-14,4.0990491103717e-14,4.06169628811851e-14,3.97120310706944e-14,3.83082858556935e-14,3.64568714858271e-14,3.42243857395033e-14,3.16889048834459e-14,2.89354646264895e-14,2.60513603138966e-14,2.3121625092635e-14,2.02250055592982e-14,1.74306870838671e-14,1.47959350865345e-14,1.23647249603305e-14,1.01673428854585e-14,8.22086177196743e-15,6.53033776423761e-15,5.09053682713986e-15,3.88798844822622e-15,2.9031722019048e-15,2.11266851994587e-15,1.49114196257167e-15,1.01306769261669e-15,6.54154224833581e-16,3.92453310208015e-16,2.09177757795704e-16,8.92682142900248e-17,2.1759842035188e-17
1.34691393116637e-28,6.75102811352643e-28,2.14793382787592e-27,5.91591735506643e-27,1.5295118830092e-26,3.81776340222097e-26,9.30437074386075e-26,2.22511998931876e-25,5.23400586129486e-25,1.2123837809147e-24,2.76717846236016e-24,6.22545690527574e-24,1.3807912888643e-23,3.01969283014932e-23,6.51200667949612e-23,1.3848902772847e-22,2.90463087784837e-22,6.00849319422564e-22,1.22591846021212e-21,2.46717630609151e-21,4.89780717247829e-21,9.59147978457642e-21,1.85298037734833e-20,3.53163215558705e-20,6.64074885911061e-20,1.23200500994298e-19,2.25516307098237e-19,4.07313770874831e-19,7.25906823583317e-19,1.27657890453248e-18,2.21535426358494e-18,3.79385361770056e-18,6.41168733002471e-18,1.06937591601568e-17,1.76021647809247e-17,2.85950012665284e-17,4.58471840510954e-17,7.25509831269426e-17,1.13315949629764e-16,1.74688512817863e-16,2.6580988411547e-16,3.99225935056757e-16,5.9185326030203e-16,8.66090604489953e-16,1.25104342487297e-15,1.78380136515251e-15,2.51067452547107e-15,3.48825655859264e-15,4.78414421566281e-15,6.47710899640859e-15,8.65649344548251e-15,1.14205997558045e-14,1.48738592019858e-14,1.9122624011117e-14,2.42695126202583e-14,3.0406364985452e-14,3.76060216022156e-14,4.59133170698173e-14,5.53358592582262e-14,6.58353262808551e-14,7.73201305084183e-14,8.96403469942255e-14,1.02585762213411e-13,1.15887755326193e-13,1.29225477216787e-13,1.42236455144165e-13,1.54531350050248e-13,1.6571216895137e-13,1.75392834333535e-13,1.83220686486793e-13,1.88897289095222e-13,1.92196857401547e-13,1.92980748696978e-13,1.91206742507521e-13,1.86932266782921e-13,1.80311251822657e-13,1.71584857492154e-13,1.61066857906771e-13,1.49124920829507e-13,1.36159337612607e-13,1.2258091252213e-13,1.0878969807938e-13,9.5156077795742e-14,8.20053805036071e-14,6.96068061250434e-14,5.81670025695993e-14,4.78282082970535e-14,3.86705085944333e-14,3.07174775557919e-14,2.39443093650553e-14,1.82874842342429e-14,1.3655055701728e-14,9.93676665046316e-15,7.01337532634245e-15,4.76477211816812e-15,3.07666707421124e-15,1.84580573901111e-15,9.83811580072696e-16,4.1984822253326e-16,1.02341248541677e-16
4.00161678002446e-28,2.0053998970263e-27,6.37903692373143e-27,1.75645465909269e-26,4.53976536920356e-26,1.13278019393037e-25,2.75977495603337e-25,6.59760670540846e-25,1.55135557676424e-24,3.59219772918169e-24,8.19595713214683e-24,1.84321475713194e-23,4.08672099059933e-23,8.9341277539394e-23,1.92595870921457e-22,4.09440337346235e-22,8.58439672127152e-22,1.77512309637197e-21,3.62050466175865e-21,7.2837149902342e-21,1.44544087835066e-20,2.82963795356585e-20,5.46466386013187e-20,1.04115718201676e-19,1.95707281174157e-19,3.62954711161193e-19,6.64154254989957e-19,1.19914641919457e-18,2.13637381156134e-18,3.75576551736636e-18,6.51552912120388e-18,1.11543455380944e-17,1.88449184410853e-17,3.14204336222913e-17,5.17022226722084e-17,8.39645907279941e-17,1.34580851672373e-16,2.12902197064796e-16,3.32426670648729e-16,5.12317199061899e-16,7.7932271110963e-16,1.17014173391883e-15,1.7342401147613e-15,2.53709052088676e-15,3.66373881965269e-15,5.2225207480641e-15,7.348653517921e-15,1.02073168415554e-14,1.39957262927662e-14,1.89436035079256e-14,2.53113811863744e-14,3.33854676290709e-14,4.34699574663922e-14,5.58743310216419e-14,7.08969460275102e-14,8.88044923007724e-14,1.09808037449586e-13,1.34036807227559e-13,1.61511367778065e-13,1.92118344246436e-13,2.25589148290917e-13,2.61485323955695e-13,2.99192997243071e-13,3.37928493226146e-13,3.76756463117679e-13,4.14620880083258e-13,4.50388095927228e-13,4.8289991636642e-13,5.11033489943697e-13,5.33763861158569e-13,5.50224445064799e-13,5.59760537478466e-13,5.61971330287547e-13,5.56736742174571e-13,5.44226625551705e-13,5.24891439939242e-13,4.99435121280038e-13,4.68772440970529e-13,4.33974462503264e-13,3.96206625775028e-13,3.56664429494512e-13,3.16511613278225e-13,2.76825198812874e-13,2.38550824768045e-13,2.02470633188922e-13,1.69184685312587e-13,1.39105649616531e-13,1.12465441122632e-13,8.9331690536228e-14,6.96314345045716e-14,5.31792510166264e-14,3.97071858838537e-14,2.88941682112439e-14,2.03931190630116e-14,1.38545376537977e-14,8.94592836346675e-15,5.36694777625138e-15,2.8605593799354e-15,1.22075901361753e-15,2.97568938839097e-16
1.02099730199367e-27,5.11576638917543e-27,1.62684340280106e-26,4.47796579483963e-26,1.15694320228493e-25,2.88567355864528e-25,7.02733483050051e-25,1.67924564522095e-24,3.94681966702161e-24,9.13487880809137e-24,2.08328224360306e-23,4.68306273506164e-23,1.03785013893466e-22,2.26786735592989e-22,4.88673326767425e-22,1.03841007982571e-21,2.1761817699138e-21,4.49802187838578e-21,9.1700256023433e-21,1.84401071956491e-20,3.65780600657511e-20,7.15750880458244e-20,1.38167553782217e-19,2.63130684831631e-19,4.94396990723247e-19,9.1650754078007e-19,1.67636482959724e-18,3.0254435693327e-18,5.38781543089629e-18,9.46790729067736e-18,1.64182474720863e-17,2.80959925652277e-17,4.74481628231932e-17,7.90795010597994e-17,1.3007367101729e-16,2.1115759273787e-16,3.38318792926652e-16,5.35004419667272e-16,8.35044435160162e-16,1.28644538547419e-15,1.95618849185972e-15,2.93612882567329e-15,4.35002265095559e-15,6.36159982413944e-15,9.18344179407344e-15,1.30862218965287e-14,1.84076185927536e-14,2.55599383412148e-14,3.50352079365071e-14,4.74062527855611e-14,6.33221143186903e-14,8.34961299079447e-14,1.08685156360716e-13,1.39658809588247e-13,1.77158246767186e-13,2.21844932970456e-13,2.74240973787582e-13,3.34663877411331e-13,4.03159909268015e-13,4.79441358944381e-13,5.62833872066941e-13,6.52240330590936e-13,7.46127445578884e-13,8.42540167988668e-13,9.39147220336027e-13,1.0333186005721e-12,1.12223300712187e-12,1.20301006805801e-12,1.27285937472073e-12,1.32923598415412e-12,1.3699905947555e-12,1.3935022600257e-12,1.39878240411995e-12,1.3855410057622e-12,1.35420893391262e-12,1.3059142233706e-12,1.24241415059113e-12,1.16598885052159e-12,1.07930546993189e-12,9.8526413077712e-13,8.86838057231454e-13,7.86920035771358e-13,6.88186019689499e-13,5.92984384547525e-13,5.03256413362094e-13,4.20490410934038e-13,3.45708781521779e-13,2.79484766890928e-13,2.2198356011736e-13,1.73021307064295e-13,1.32135098404109e-13,9.86573631253247e-14,7.17889524197333e-14,5.06664625003757e-14,3.44207864644001e-14,2.22253228244531e-14,1.3333548411163e-14,7.10667610224792e-15,3.03280023315128e-15,7.3926576110622e-16
2.44208536536828e-27,1.22337274869059e-26,3.88921168205865e-26,1.07012248667093e-25,2.7636379781242e-25,6.89000357280871e-25,1.67709490159801e-24,4.00562979842981e-24,9.41001669249844e-24,2.17686110354696e-23,4.96203691449323e-23,1.1148731537944e-22,2.46952664475468e-22,5.39362191101716e-22,1.1616240751714e-21,2.46717769665017e-21,5.16787261639037e-21,1.06763770036057e-20,2.17550092413356e-20,4.37259550738507e-20,8.66930926494872e-20,1.69556554438708e-19,3.27151263167935e-19,6.22737366408225e-19,1.16950284236204e-18,2.16697927899291e-18,3.96170208352142e-18,7.1465802953308e-18,1.27209444325745e-17,2.23439336455671e-17,3.87287141701314e-17,6.62449912366085e-17,1.11823295438411e-16,1.86287168820066e-16,3.0627853504017e-16,4.96985936445664e-16,7.95931932167646e-16,1.25811935195642e-15,1.96286786143179e-15,3.02268056205825e-15,4.59444982349201e-15,6.89322410583892e-15,1.02085937605182e-14,1.49234956312583e-14,2.15348708148878e-14,3.06751343472796e-14,4.31328425840777e-14,5.98703072984041e-14,8.20352636428482e-14,1.10963137088638e-13,1.48166080798386e-13,1.9530489357574e-13,2.54140304830886e-13,3.2646103372008e-13,4.13987559406275e-13,5.18252676097855e-13,6.40462559979398e-13,7.8134505436009e-13,9.40994893108585e-13,1.11872825699218e-12,1.31296097298766e-12,1.52112541001843e-12,1.7396403542984e-12,1.96394566005513e-12,2.18860925924652e-12,2.40750840196294e-12,2.61408025061922e-12,2.8016298351147e-12,2.96367669899071e-12,3.0943161709223e-12,3.18856784319847e-12,3.24268309251968e-12,3.25438560693062e-12,3.22302380118093e-12,3.14962126536517e-12,3.0368202382904e-12,2.88872254968015e-12,2.71064146940117e-12,2.50878543164178e-12,2.2898998570336e-12,2.06089576682624e-12,1.82849342093697e-12,1.59890603039516e-12,1.37758322387261e-12,1.16902714124864e-12,9.76686646047914e-13,8.02928041009695e-13,6.49074563319577e-13,5.15502353485031e-13,4.01777816540388e-13,3.06820361524987e-13,2.29075233899615e-13,1.66683203047097e-13,1.17636796220396e-13,7.99161178898791e-14,5.16006285628145e-14,3.0956224809474e-14,1.64993083860152e-14,7.04111160356642e-15,1.71631542475817e-15
5.64683069071855e-27,2.82819981188532e-26,8.98822261089568e-26,2.47214641797015e-25,6.38158697693529e-25,1.59022952219939e-24,3.8688504284198e-24,9.23577969343855e-24,2.16854451032728e-23,5.01397323528147e-23,1.14230919253131e-22,2.56519937492704e-22,5.67912353369645e-22,1.23971026948993e-21,2.66856462044111e-21,5.664810703572e-21,1.18596028685589e-20,2.44881639950896e-20,4.9873087202389e-20,1.0018938137526e-19,1.98537764651239e-19,3.88106006478412e-19,7.48449533183328e-19,1.42396087687845e-18,2.67285120216598e-18,4.95005327813731e-18,9.04523548022695e-18,1.63087515269917e-17,2.90153415344434e-17,5.09395927791348e-17,8.82506929123732e-17,1.50879106099984e-16,2.54566496562382e-16,4.23883773938347e-16,6.96590235769532e-16,1.12980648836762e-15,1.80857823452366e-15,2.85750481732847e-15,4.45617653727697e-15,6.85918146917608e-15,1.04213713543071e-14,1.56288764384606e-14,2.31359874011577e-14,3.38074385045269e-14,4.87648013372509e-14,6.94346273999464e-14,9.75946897799181e-14,1.3541324587798e-13,1.85474807201932e-13,2.50784650174764e-13,3.34743477725494e-13,4.41083523089592e-13,5.73758254735458e-13,7.36779932253186e-13,9.3400271941461e-13,1.16885387385389e-12,1.44402149652485e-12,1.76111400595467e-12,2.12031324615041e-12,2.52004910326305e-12,2.95672775390707e-12,3.42454727466874e-12,3.91543254770548e-12,4.41911575312497e-12,4.92337923702711e-12,5.41446469808868e-12,5.87763749107463e-12,6.29787890783468e-12,6.66066437310037e-12,6.95277346923041e-12,7.16307028043742e-12,7.28319097488594e-12,7.30808041154778e-12,7.23633066521399e-12,7.07029069764694e-12,6.81593625503059e-12,6.48251024732791e-12,6.08196398018812e-12,5.62824641734761e-12,5.13650034484601e-12,4.62222975796981e-12,4.10050167390552e-12,3.58523837748936e-12,3.08864402714069e-12,2.62079427465912e-12,2.18940101589441e-12,1.79974848559207e-12,1.45478326066905e-12,1.15533051214213e-12,9.00402672362332e-13,6.87564634651579e-13,5.1332126722276e-13,3.73497632483565e-13,2.63588877028204e-13,1.79064259791375e-13,1.15617252817883e-13,6.93602881249737e-14,3.69679686078739e-14,1.57760873361945e-14,3.84551311998495e-15
1.27727293726647e-26,6.39579521518832e-26,2.03196588389938e-25,5.58652428838218e-25,1.44144794251021e-24,3.59019853758357e-24,8.73011246904467e-24,2.08297978119993e-23,4.88821209118315e-23,1.1296190184578e-22,2.57217744809901e-22,5.77304848252723e-22,1.27741534994487e-21,2.78700590360943e-21,5.99601324371342e-21,1.27214858714388e-20,2.66189342658446e-20,5.49345288496287e-20,1.11821355586932e-19,2.24517528486792e-19,4.44674838952679e-19,8.68803489707719e-19,1.67458213433423e-18,3.18431327886193e-18,5.9740308193586e-18,1.10580546585448e-17,2.01960411543151e-17,3.63953598183861e-17,6.47192441157649e-17,1.13564679205451e-16,1.96648076513279e-16,3.3603634803856e-16,5.6669042902236e-16,9.43150289993678e-16,1.54918422923209e-15,2.51144409219717e-15,4.01839662748628e-15,6.34601215221359e-15,9.89184289925486e-15,1.52191558617086e-14,2.31126228486478e-14,3.46466245026819e-14,5.12664000957211e-14,7.48809833205608e-14,1.07965044771824e-13,1.53664403647228e-13,2.15897141248304e-13,2.99439117522544e-13,4.0997955248039e-13,5.54129608939639e-13,7.39365137880281e-13,9.73884531848336e-13,1.26636458692131e-12,1.62560191611554e-12,2.06003509137238e-12,2.57715329004406e-12,3.18281032323832e-12,3.88047757085937e-12,4.67048409643913e-12,5.54930522040337e-12,6.50897003283406e-12,7.53666171134357e-12,8.61458042378286e-12,9.72012607459828e-12,1.08264372006863e-11,1.19032940828666e-11,1.29183609208565e-11,1.38387070313753e-11,1.46325144337328e-11,1.52708530080731e-11,1.57293883544783e-11,1.59898842646336e-11,1.60413726040492e-11,1.58808879198481e-11,1.55137000006611e-11,1.49530211584953e-11,1.42192113653018e-11,1.33385483433179e-11,1.23416663706123e-11,1.1261792987622e-11,1.01329245277919e-11,8.98807876191194e-12,7.8577470355184e-12,6.76864171912147e-12,5.74280129334161e-12,4.79707918027113e-12,3.94300765302408e-12,3.18699834602604e-12,2.53081859704401e-12,1.97226943313999e-12,1.50598661523399e-12,1.12428987382382e-12,8.18015610993026e-13,5.77282765652031e-13,3.92157971716897e-13,2.53202478291452e-13,1.51897816716115e-13,8.09586566677045e-14,3.4548988872245e-14,8.4215014955624e-15
2.83948903730021e-26,1.42153054152843e-25,4.51476964610579e-25,1.24075198659698e-24,3.19995616806408e-24,7.96619224870707e-24,1.93611057125868e-23,4.61708250054957e-23,1.08293263428744e-22,2.50121048778199e-22,5.69226308183347e-22,1.27689314792483e-21,2.82388286074123e-21,6.15768889207846e-21,1.32406106040521e-20,2.80769047345848e-20,5.87176256355653e-20,1.2111284774259e-19,2.46398005389252e-19,4.94459836389855e-19,9.78796582945313e-19,1.91135532790909e-18,3.6821142843657e-18,6.99807459424272e-18,1.31220995614707e-17,2.42766581776498e-17,4.43151294759475e-17,7.98194616721972e-17,1.41864818835296e-16,2.4880816827784e-16,4.30618644760666e-16,7.35483511014441e-16,1.23970400374733e-15,2.06224591932086e-15,3.38572844466901e-15,5.48610672070102e-15,8.77379519271694e-15,1.38494304224012e-14,2.15777920897896e-14,3.31834615496679e-14,5.0371434671973e-14,7.54749271786644e-14,1.11630811845854e-13,1.62980320193142e-13,2.34888697102704e-13,3.34172395755e-13,4.69316291072748e-13,6.50656645077056e-13,8.9049881456675e-13,1.20313286425793e-12,1.60470649458296e-12,2.11291432416761e-12,2.74646689498193e-12,3.52431289560303e-12,4.46460466617775e-12,5.58341997988438e-12,6.89328137459933e-12,8.40154585523908e-12,1.01087694742472e-11,1.20071791478999e-11,1.40794036464616e-11,1.62976226849664e-11,1.86232839092064e-11,2.1007510280746e-11,2.33922749666368e-11,2.57123598440395e-11,2.78980421433281e-11,2.98783787206494e-11,3.15848875072444e-11,3.29553696860358e-11,3.3937582035902e-11,3.44924624581414e-11,3.45966356129196e-11,3.42439787684637e-11,3.34461055376954e-11,3.22317190132422e-11,3.0644885543603e-11,2.87423748067929e-11,2.65902904048226e-11,2.42602695052875e-11,2.18255548809172e-11,1.93572366277397e-11,1.69209262781543e-11,1.45740686519057e-11,1.23640246057017e-11,1.03269799387196e-11,8.48766098608029e-12,6.85977347097774e-12,5.44703343777874e-12,4.24463043598388e-12,3.24095386101122e-12,2.41942151393571e-12,1.76027137105246e-12,1.24220863798944e-12,8.43835527546309e-13,5.44826328453424e-13,3.26841514091538e-13,1.74199231649653e-13,7.43390105703268e-14,1.81205035820742e-14
6.21593065493673e-26,3.11119865982205e-25,9.87791452142921e-25,2.71355973625321e-24,6.99521152321378e-24,1.74058590956537e-23,4.22817943627366e-23,1.00777525090657e-22,2.36247281652061e-22,5.4535957116813e-22,1.24046324861842e-21,2.78111680820263e-21,6.14719432395635e-21,1.33971890554031e-20,2.87918703254693e-20,6.10207260387598e-20,1.27544975430338e-19,2.62937385504393e-19,5.34647047838558e-19,1.07233269510809e-18,2.1215841900182e-18,4.14075364201842e-18,7.97271569882083e-18,1.51446637743983e-17,2.83829505645185e-17,5.24828532476603e-17,9.57538288605581e-17,1.72381191026285e-16,3.06220461176996e-16,5.36789614520475e-16,9.2856845847161e-16,1.58517574450474e-15,2.67059304563857e-15,4.440351455448e-15,7.28648789899155e-15,1.18010800747003e-14,1.88642099581166e-14,2.97631575978159e-14,4.63502935951334e-14,7.12472473494208e-14,1.08102130057731e-13,1.6190447761078e-13,2.39358716231491e-13,3.49310947965423e-13,5.03215434451689e-13,7.1561629233898e-13,1.00460692789075e-12,1.39221543365596e-12,1.90464991035785e-12,2.57232541080077e-12,3.42958639049725e-12,4.51403797191759e-12,5.8654087585438e-12,7.52388968780146e-12,9.52792881665829e-12,1.19115107855342e-11,1.47010098078991e-11,1.79117719322334e-11,2.15446493555545e-11,2.55827682854688e-11,2.99888528596416e-11,3.47034418099972e-11,3.96443144833153e-11,4.47073842639791e-11,4.97692205925678e-11,5.46912310511835e-11,5.93253830832243e-11,6.35211860258644e-11,6.71335063564336e-11,7.00306711265621e-11,7.21022432282273e-11,7.32658395768088e-11,7.34724150029223e-11,7.27095482027457e-11,7.10024310861941e-11,6.84124619761795e-11,6.50335543523579e-11,6.09864724613179e-11,5.64116708927685e-11,5.14612294143609e-11,4.62905260369214e-11,4.10502775627434e-11,3.58795029368449e-11,3.08998426876161e-11,2.62115145888978e-11,2.18910206471288e-11,1.79905624314643e-11,1.45389866324051e-11,1.1543982030342e-11,8.9951888188326e-12,6.86786202063871e-12,5.1267483467798e-12,3.72988253146514e-12,2.63207514381706e-12,1.78793881629849e-12,1.15437419266594e-12,6.92502853035365e-13,3.69086445349767e-13,1.57506080802334e-13,3.83928395617536e-14
1.34100209406719e-25,6.71053950081276e-25,2.12987562389111e-24,5.84863429895138e-24,1.50702271032022e-23,3.74803598237408e-23,9.1000076686846e-23,2.16783545409667e-22,5.07925750581918e-22,1.17188531117156e-21,2.66411968807918e-21,5.9697506678998e-21,1.31880587006958e-20,2.87266276751147e-20,6.17032566436006e-20,1.30702279032808e-19,2.7304683550574e-19,5.62593407558674e-19,1.14334831005078e-18,2.29197915041453e-18,4.53222900803245e-18,8.84101716402258e-18,1.70137978934864e-17,3.23018760859912e-17,6.05061925324669e-17,1.11824003928386e-16,2.03915529118559e-16,3.66911992663449e-16,6.514566731888e-16,1.14139576186839e-15,1.97346084940203e-15,3.36725617347372e-15,5.67012220640404e-15,9.42301604524248e-15,1.54554168664551e-14,2.50193621383896e-14,3.9974892531308e-14,6.30411601698952e-14,9.81288226881275e-14,1.50769530661902e-13,2.28656586587065e-13,3.4230635382813e-13,5.05841821385047e-13,7.37887065273726e-13,1.0625436374627e-12,1.51039710518096e-12,2.11947475905486e-12,2.93604560889193e-12,4.01512406679023e-12,5.42051327248051e-12,7.22420800119218e-12,9.50497631797581e-12,1.23459593776484e-11,1.58311748136325e-11,2.00408837214933e-11,2.50458838121976e-11,3.09009172013884e-11,3.76375211215657e-11,4.52567895989381e-11,5.37226361399658e-11,6.29562321175718e-11,7.28323238347229e-11,8.31780877983007e-11,9.37750598827454e-11,1.04364470427401e-10,1.14656045405376e-10,1.24340016122955e-10,1.33101748300193e-10,1.40638093669977e-10,1.46674322477729e-10,1.50980348282775e-10,1.53384932444573e-10,1.5378666582442e-10,1.5216076423004e-10,1.48561059983982e-10,1.43116988406748e-10,1.3602580897561e-10,1.27540716926255e-10,1.17955845807594e-10,1.07589398160443e-10,9.67662474922135e-11,8.58013242825067e-11,7.4984942909924e-11,6.45709705725818e-11,5.47684190029071e-11,4.57366952263176e-11,3.75844179943415e-11,3.03714251420731e-11,2.4113387792177e-11,1.87883225209046e-11,1.4344253370091e-11,1.07073130563662e-11,7.78967067166398e-12,5.49681115116775e-12,3.73384829524809e-12,2.41070828323788e-12,1.44615811223142e-12,7.70761649121208e-13,3.28918447826365e-13,8.01753199427558e-14
