"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
4.81086650660185e-14,1.93863647227612e-13,4.41567968966899e-13,7.9844595489524e-13,1.27471892925514e-12,1.88370469941466e-12,2.64193423717645e-12,3.56927695322131e-12,4.68906398299909e-12,6.02819676889437e-12,7.61722624473337e-12,9.49038597885363e-12,1.16855608694496e-11,1.42441715980996e-11,1.72109540646954e-11,2.06336125066054e-11,2.45623257077301e-11,2.90490865476137e-11,3.4146858085689e-11,3.99085325177965e-11,4.63856847888184e-11,5.36271185592452e-11,6.16772103369826e-11,7.057406667556e-11,8.0347519179743e-11,9.10169936549604e-11,1.0258930104895e-10,1.15056409570381e-10,1.28393268565293e-10,1.4255576486734e-10,1.57478900357607e-10,1.73075285672552e-10,1.89234047276439e-10,2.05820244166545e-10,2.22674885397965e-10,2.39615629436727e-10,2.56438231684618e-10,2.72918787646307e-10,2.88816795299154e-10,3.03879032548256e-10,3.17844216627844e-10,3.30448378026229e-10,3.41430851464036e-10,3.50540752113268e-10,3.57543777675052e-10,3.62229149739526e-10,3.64416488762193e-10,3.63962401626437e-10,3.6076655576942e-10,3.54777014340482e-10,3.45994618581371e-10,3.34476221379327e-10,3.20336604552343e-10,3.03748945994111e-10,2.84943744824665e-10,2.64206158257639e-10,2.41871753578948e-10,2.18320729395649e-10,1.93970712397187e-10,1.69268283188715e-10,1.44679432153926e-10,1.20679185170202e-10,9.77406737702117e-11,7.63239490456874e-11,5.68648565687247e-11,3.9764295258103e-11,2.53781802889145e-11,1.40084148950828e-11,5.89515042746041e-12,1.21057814579219e-12,2.48598515032414e-13,5.1051964939508e-14,1.04842332010593e-14,2.15318204227735e-15,4.42272613268166e-16,9.09034607111218e-17,1.87403193674564e-17,3.91821758698943e-18,8.72589062263282e-19,2.45643980707465e-19,1.15520867152438e-19,8.76397939343099e-20,8.16004934886464e-20,8.39534015871233e-20,1.06547744197043e-19,2.21499743046867e-19,3.18226296484739e-19,3.92689443714699e-19,4.42347055666386e-19,4.66282205745492e-19,4.65223369509465e-19,4.41455735032518e-19,3.98631993918081e-19,3.41497337400854e-19,2.7554831681524e-19,2.06649248108554e-19,1.40631519903062e-19,8.29016568986466e-20,3.80825055095549e-20,9.70948591156902e-21
1.91201391204773e-13,7.70488472651913e-13,1.75497410274596e-12,3.17338986597963e-12,5.06638845742139e-12,7.48694128154154e-12,1.0500804988178e-11,1.41870229604368e-11,1.86384194806648e-11,2.39620361774937e-11,3.02794522547191e-11,3.77269222364799e-11,4.64552579913023e-11,5.66293761595557e-11,6.84274279750292e-11,8.20394268738201e-11,9.76652910815138e-11,1.15512222841437e-10,1.35791356264036e-10,1.5871361964879e-10,1.84484777986612e-10,2.13299647117024e-10,2.45335501265552e-10,2.80744732395554e-10,3.19646860527331e-10,3.62120038021261e-10,4.08192237988087e-10,4.5783236292108e-10,5.10941554546797e-10,5.67345026909717e-10,6.26784776750461e-10,6.88913549589845e-10,7.53290450242531e-10,8.19378582972528e-10,8.86545084864568e-10,9.54063877706018e-10,1.0211214046607e-09,1.08682554162403e-09,1.150217779197e-09,1.21028866140475e-09,1.26599634732997e-09,1.31628803223642e-09,1.36012383525725e-09,1.3965026331306e-09,1.42448919965727e-09,1.44324191120466e-09,1.45204019191291e-09,1.4503108214297e-09,1.43765219783415e-09,1.4138556578389e-09,1.37892299739213e-09,1.33307941195869e-09,1.27678118426538e-09,1.21071758618349e-09,1.13580662689915e-09,1.05318446074377e-09,9.6418846857582e-10,8.7033422835018e-10,7.73286796063422e-10,6.74826911912369e-10,5.76812930482215e-10,4.81139432603712e-10,3.89693613036264e-10,3.04310639127761e-10,2.26729245085465e-10,1.58548852616292e-10,1.01189495379968e-10,5.58557664672087e-11,2.3505906185141e-11,4.82700408972529e-12,9.91256686064977e-13,2.03564884384101e-13,4.18051628082494e-14,8.58572304713991e-15,1.76355552558163e-15,3.62478881695511e-16,7.47279900120044e-17,1.56243671796671e-17,3.47972974873758e-18,9.7972196940714e-19,4.60836782812731e-19,3.49652960449339e-19,3.25568574970219e-19,3.34959171020432e-19,4.25111298289468e-19,8.83770036897033e-19,1.26972523566593e-18,1.5668606491728e-18,1.76502697669757e-18,1.86055973325477e-18,1.8563603935389e-18,1.76154311929208e-18,1.59068052296375e-18,1.36270595338508e-18,1.09955249103679e-18,8.24621754671764e-19,5.61184696500221e-19,3.30817139256103e-19,1.51967749611557e-19,3.87456396110981e-20
4.25597577173396e-13,1.71505317807666e-12,3.90649930352365e-12,7.06396167398695e-12,1.12780380873817e-11,1.66667915009852e-11,2.33767991780957e-11,3.15842821124678e-11,4.14962206566517e-11,5.33513443488352e-11,6.74208651620496e-11,8.40088066482868e-11,1.0345176545128e-10,1.26117928519339e-10,1.52405160608558e-10,1.82737972515863e-10,2.17563183570751e-10,2.573441030472e-10,3.02553076457396e-10,3.53662273911602e-10,4.11132642547397e-10,4.75401000905074e-10,5.46865321997765e-10,6.25868333365781e-10,7.12679652792106e-10,8.07476778378978e-10,9.10325354941781e-10,1.02115924490377e-09,1.13976103091812e-09,1.26574366988805e-09,1.39853409222974e-09,1.53735959458492e-09,1.68123789816566e-09,1.82897173872565e-09,1.97914880590534e-09,2.13014776562000e-09,2.28015096583858e-09,2.42716425897616e-09,2.56904415812503e-09,2.70353230527098e-09,2.82829695313285e-09,2.9409808779011e-09,3.0392548441575e-09,3.12087545686322e-09,3.18374597154831e-09,3.22597839794934e-09,3.2459550518913e-09,3.24238758032074e-09,3.21437142736249e-09,3.16143372392219e-09,3.08357267652579e-09,2.98128669956176e-09,2.85559178309392e-09,2.70802589561428e-09,2.54063959234837e-09,2.35597241064083e-09,2.15701507833987e-09,1.94715801713831e-09,1.73012708113887e-09,1.50990790629119e-09,1.29066065767274e-09,1.07662731847634e-09,8.72033968033927e-10,6.80990728780505e-10,5.07392212926231e-10,3.54821366417371e-10,2.26459575459276e-10,1.25005776824281e-10,5.26070845696509e-11,1.08031267406156e-11,2.21851597632464e-12,4.5560027889012e-13,9.35655110639357e-14,1.92162038780674e-14,3.94716099176752e-15,8.11304280580816e-16,1.67259607245353e-16,3.49721767455722e-17,7.78935869796039e-18,2.19361668264648e-18,1.03217629964333e-18,7.83294442141235e-19,7.29378883926681e-19,7.50428277033291e-19,9.52419146923477e-19,1.98005670167593e-18,2.84486134881526e-18,3.51070507161113e-18,3.95482501677113e-18,4.16898795991818e-18,4.15967492320466e-18,3.94729299157458e-18,3.56448579143704e-18,3.0536748191875e-18,2.46400857680231e-18,1.84793038383035e-18,1.25759337166676e-18,7.41353156512476e-19,3.40557504301752e-19,8.68286326627141e-20
7.4522744832794e-13,3.0031146484376e-12,6.8405309013978e-12,1.23697600029559e-11,1.9749703058681e-11,2.91874622296995e-11,4.09402039475593e-11,5.53171689213743e-11,7.2681664401604e-11,9.34528422200622e-11,1.18107033560758e-10,1.47178380958009e-10,1.81258480066212e-10,2.20994720152365e-10,2.67086996061235e-10,3.20282456424959e-10,3.81367958186799e-10,4.51159915717559e-10,5.30491269455951e-10,6.2019535414243e-10,7.21086523677683e-10,8.33937488383036e-10,9.59453441492742e-10,1.09824319428864e-09,1.2507876996447e-09,1.41740652029924e-09,1.598222981181e-09,1.79312893233738e-09,2.00175022865864e-09,2.22341419192513e-09,2.45712046153007e-09,2.70151672912835e-09,2.95488090762954e-09,3.21511126575567e-09,3.47972598721564e-09,3.74587345619682e-09,4.01035434885744e-09,4.26965630138873e-09,4.5200015628185e-09,4.75740759751231e-09,4.97776012973155e-09,5.17689760839461e-09,5.35070554717907e-09,5.49521869025852e-09,5.60672847517837e-09,5.68189285652077e-09,5.71784522097748e-09,5.71229889908033e-09,5.6636436725649e-09,5.57103070069794e-09,5.43444245414784e-09,5.25474454209246e-09,5.03371675447514e-09,4.77406118978094e-09,4.4793859913583e-09,4.15416394632889e-09,3.80366598587957e-09,3.43387043334041e-09,3.05134965295685e-09,2.6631365297978e-09,2.27657392597728e-09,1.89915089971446e-09,1.53833000509218e-09,1.20137040366845e-09,8.95151794143941e-10,6.26004281785791e-10,3.99549269808465e-10,2.20556231053078e-10,9.28198298541556e-11,1.90612966814004e-11,3.91446173117628e-12,8.0389640284115e-13,1.65096784709944e-13,3.39076162123304e-14,6.96500699231113e-15,1.43162083363586e-15,2.95151365549098e-16,6.17154265069019e-17,1.37474860939746e-17,3.87278998621091e-18,1.82314891725657e-18,1.38390325652343e-18,1.28874040192007e-18,1.32596032177494e-18,1.68291128243434e-18,3.49888250891995e-18,5.02726254637343e-18,6.2041592651244e-18,6.98928883448731e-18,7.3680435137933e-18,7.35182674692563e-18,6.976666032445e-18,6.30023136465012e-18,5.39748934124619e-18,4.35530964001811e-18,3.26639544972336e-18,2.22294320302193e-18,1.31043953007182e-18,6.01983893860778e-19,1.53482508617815e-19
1.14173073289449e-12,4.6010039638261e-12,1.04804585243213e-11,1.89524566791517e-11,3.02609546850512e-11,4.47239687788127e-11,6.27364813067817e-11,8.4773584345804e-11,1.11393608854653e-10,1.43240937806312e-10,1.81048152173113e-10,2.25637109966231e-10,2.77918516153455e-10,3.38889502737061e-10,4.09628712986658e-10,4.91288370300066e-10,5.85082818303685e-10,6.92273045569895e-10,8.14146764072849e-10,9.51993692439756e-10,1.10707581481578e-09,1.28059253438419e-09,1.47364082982604e-09,1.68717074081687e-09,1.92193675776865e-09,2.17844596364936e-09,2.45690406209921e-09,2.75716071519968e-09,3.07865589782061e-09,3.42036922532039e-09,3.78077442994216e-09,4.15780131158568e-09,4.54880756738916e-09,4.95056289471361e-09,5.35924763780827e-09,5.77046802504602e-09,6.17928968871554e-09,6.58029069624386e-09,6.96763474526526e-09,7.33516450241148e-09,7.67651432037825e-09,7.98524077213384e-09,8.25496862446958e-09,8.4795490832265e-09,8.65322639755338e-09,8.77080826723529e-09,8.82783497649363e-09,8.82074182574683e-09,8.74700925371882e-09,8.6052950919778e-09,8.39554363014246e-09,8.11906664742416e-09,7.77859223265063e-09,7.37827806833516e-09,6.92368687785593e-09,6.4217228584436e-09,5.88052915057098e-09,5.30934764416411e-09,4.71834367566022e-09,4.11839936745295e-09,3.52088047782599e-09,2.937382615202e-09,2.37946349827422e-09,1.85836858877743e-09,1.38475785425217e-09,9.68441614445203e-10,6.18133370721917e-10,3.4122719266659e-10,1.43606641706878e-10,2.94913428530636e-11,6.05651258516055e-12,1.24382491112568e-12,2.55450359165963e-13,5.24655311108553e-14,1.07772400479417e-14,2.21525582594943e-15,4.56723046624807e-16,9.55046564369944e-17,2.12773840682001e-17,5.99651635328937e-18,2.82460378165286e-18,2.14478107482044e-18,1.99747869470661e-18,2.05522258486051e-18,2.60858632973475e-18,5.42373281625949e-18,7.79337389690272e-18,9.61835968896548e-18,1.08361187898262e-17,1.14238846623717e-17,1.13992337123052e-17,1.08179475119984e-17,9.76939579285199e-18,8.36979948477128e-18,6.75386304361188e-18,5.06535614559585e-18,3.44727417286481e-18,2.03221230382562e-18,9.33555531446273e-19,2.38021422431748e-19
1.60459822497704e-12,6.46639468459878e-12,1.47299603122445e-11,2.6638101843307e-11,4.25345386380339e-11,6.28674365724867e-11,8.81935816144272e-11,1.19182908747593e-10,1.56623032878912e-10,2.01423357241209e-10,2.54618264602977e-10,3.1736882721582e-10,3.90962409280886e-10,4.76809480577976e-10,5.76436921900808e-10,6.914770810438e-10,8.23651844675152e-10,9.74751027569132e-10,1.14660445444269e-09,1.34104722666645e-09,1.5598778293482e-09,1.80480894717209e-09,2.07741112002648e-09,2.3790496808318e-09,2.71081577225316e-09,3.07345262493799e-09,3.46727869246166e-09,3.89210965397427e-09,4.34718169801178e-09,4.83107887179196e-09,5.34166759220716e-09,5.87604163861977e-09,6.43048107123254e-09,7.00042850743327e-09,7.58048602693717e-09,8.16443566110251e-09,8.74528591861769e-09,9.31534615322359e-09,9.86632974656474e-09,1.03894861304002e-08,1.08757605981796e-08,1.1315979718215e-08,1.17010589896227e-08,1.20222282426395e-08,1.22712692122792e-08,1.24407587860615e-08,1.25243106743339e-08,1.2516807731886e-08,1.24146169115609e-08,1.22157788754995e-08,1.19201646417222e-08,1.15295923131556e-08,1.10478978901578e-08,1.04809553981677e-08,9.83664300992007e-09,9.12475346837931e-09,8.3568488569611e-09,7.54606155963985e-09,6.70684502925356e-09,5.85467970338283e-09,5.00574098049657e-09,4.17653758034274e-09,3.38352979144495e-09,2.6427380308954e-09,1.96935277089152e-09,1.37735718621677e-09,8.79173823260901e-10,4.85346161571031e-10,2.04265112944514e-10,4.19492834501322e-11,8.61515518725817e-12,1.76933628744718e-12,3.63386256840225e-13,7.46357914427854e-14,1.53317623760124e-14,3.15152481992352e-15,6.49778171295262e-16,1.35882819680576e-16,3.02786360315597e-17,8.53756898106015e-18,4.02443216460195e-18,3.05703020308695e-18,2.84738328036221e-18,2.92979096486893e-18,3.71880136443393e-18,7.73264628555788e-18,1.11118779850194e-17,1.37149351224124e-17,1.54523766176563e-17,1.62915203427286e-17,1.62572440396799e-17,1.54289590756862e-17,1.39340376919766e-17,1.19382035318039e-17,9.63358969253683e-18,7.22529203505839e-18,4.91732130732732e-18,2.89886005253683e-18,1.3316865723453e-18,3.39531484930698e-19
2.12135906862747e-12,8.54905495254988e-12,1.94747061847472e-11,3.5220179099052e-11,5.62412019633366e-11,8.313214405397e-11,1.16631673637317e-10,1.57628920235096e-10,2.07169674739837e-10,2.6646206578208e-10,3.36881056479254e-10,4.19971012452201e-10,5.17445505797631e-10,6.31183446069238e-10,7.63220572745536e-10,9.15735313601243e-10,1.09102801636417e-09,1.29149260574129e-09,1.51957981165306e-09,1.77775126724475e-09,2.06842398849585e-09,2.39390502845665e-09,2.7563164493623e-09,3.15751117050957e-09,3.59898072181269e-09,4.08175645923534e-09,4.60630634461501e-09,5.17242996724698e-09,5.77915502191632e-09,6.42463897734023e-09,7.10608008545366e-09,7.81964221013374e-09,8.56039812433857e-09,9.32229592583515e-09,1.00981530220516e-08,1.0879681709953e-08,1.1657549730969e-08,1.24214782918586e-08,1.31603789490189e-08,1.38625294592344e-08,1.45157872597621e-08,1.51078376932871e-08,1.56264725123254e-08,1.60598926392017e-08,1.63970277073708e-08,1.66278636331053e-08,1.67437684421319e-08,1.67378058587658e-08,1.66050258209973e-08,1.63427211255657e-08,1.59506398967121e-08,1.54311444463398e-08,1.47893084050041e-08,1.40329456481523e-08,1.31725665112096e-08,1.22212589765978e-08,1.11944948726879e-08,1.01098635344778e-08,8.9867377792498e-09,7.84587934403565e-09,6.70899305209288e-09,5.59824086061846e-09,4.53572852130352e-09,3.5429788362305e-09,2.64040635065681e-09,1.8468087598386e-09,1.17889028758619e-09,6.50831760592868e-10,2.7392104571761e-10,5.62559087999773e-11,1.15536525457857e-11,2.37289985645463e-12,4.87360821776763e-13,1.00101981187631e-13,2.05637122671393e-14,4.22712583770859e-15,8.71581891190051e-16,1.82280821915894e-16,4.06260450530243e-17,1.14618533966262e-17,5.40736971897941e-18,4.10937349512108e-18,3.8280298623775e-18,3.93896635523285e-18,5.00004045139496e-18,1.03977425763726e-17,1.49430266148448e-17,1.8445192487271e-17,2.07835757127841e-17,2.19138540086788e-17,2.18691798175469e-17,2.07561472311553e-17,1.87459655346684e-17,1.60615297752351e-17,1.29613380295195e-17,9.72137942165984e-18,6.61620988468781e-18,3.90044257961842e-18,1.7918129856614e-18,4.56849353230785e-19
2.67781665877553e-12,1.07917951956804e-11,2.45845053667428e-11,4.44634609257727e-11,7.10057918635312e-11,1.04964433980984e-10,1.47275477000681e-10,1.9906620047443e-10,2.61663209561375e-10,3.36599962274669e-10,4.25622857604701e-10,5.30694933126568e-10,6.53996109485528e-10,7.97918819553739e-10,9.65057785583547e-10,1.15819266182211e-09,1.38026226001896e-09,1.63432912419261e-09,1.92353333540495e-09,2.25103461488135e-09,2.61994206017558e-09,3.03323120627386e-09,3.49364854245459e-09,4.00360415065303e-09,4.56505373148753e-09,5.1793719624096e-09,5.8472198425503e-09,6.56840941596771e-09,7.34176998249605e-09,8.16502056617133e-09,9.03465398628029e-09,9.94583830211027e-09,1.08923416453905e-08,1.18664864848892e-08,1.28591391182198e-08,1.38597396714946e-08,1.48563770532471e-08,1.58359121941217e-08,1.67841514789828e-08,1.76860706298673e-08,1.85260874143133e-08,1.92883795679728e-08,1.99572422433997e-08,2.05174772821805e-08,2.09548047005074e-08,2.12562851132709e-08,2.14107404716335e-08,2.1409159541728e-08,2.12450740850425e-08,2.09148917531705e-08,2.04181723078672e-08,1.97578349372164e-08,1.89402861007633e-08,1.79754594967216e-08,1.68767622752351e-08,1.56609244756557e-08,1.434775169869e-08,1.29597841511818e-08,1.15218682834935e-08,1.00606501945543e-08,8.60400268699764e-09,7.1804002651959e-09,5.81825839155295e-09,4.54525492494687e-09,3.38765279005139e-09,2.36964354597918e-09,1.51273155772847e-09,8.35177890595014e-10,3.51521764761427e-10,7.21954047747209e-11,1.48277609091049e-11,3.04544560834495e-12,6.25514774938093e-13,1.28482979833817e-13,2.63949649280105e-14,5.42603753224521e-15,1.11884064979848e-15,2.34013232133111e-16,5.21686710876233e-17,1.47280850411868e-17,6.95475650106493e-18,5.28795925255734e-18,4.92659166412534e-18,5.06957868349684e-18,6.43566959606388e-18,1.33847247463446e-17,1.92379415392264e-17,2.37492660113478e-17,2.67627297744695e-17,2.82206810746128e-17,2.81653318171911e-17,2.67336187757839e-17,2.41458552455322e-17,2.06890684909292e-17,1.66962548775976e-17,1.25230118326217e-17,8.52312466087359e-18,5.02469406509125e-18,2.30830128726572e-18,5.88538865895202e-19
3.25833549213014e-12,1.31316210000348e-11,2.99159208815013e-11,5.41087072254144e-11,8.64146975212007e-11,1.27753604001748e-10,1.79269361363771e-10,2.4234026312219e-10,3.18589293972064e-10,4.09893796033681e-10,5.1839345552003e-10,6.46495445891052e-10,7.9687542112259e-10,9.72472927800757e-10,1.17647970287818e-09,1.41231926472669e-09,1.68361619241531e-09,1.99415354112171e-09,2.34781697478597e-09,2.74852441462048e-09,3.20014032763081e-09,3.7063742073272e-09,4.27066334177436e-09,4.89604061394746e-09,5.58498883257516e-09,6.3392839249839e-09,7.15983021873579e-09,8.04649196154577e-09,8.9979261335659e-09,1.00114224560567e-08,1.10827572274847e-08,1.22060681841272e-08,1.33737579145508e-08,1.4576433416258e-08,1.5802889114371e-08,1.70401400338824e-08,1.82735108155878e-08,1.94867848753933e-08,2.06624162569011e-08,2.17818046529075e-08,2.2825631739299e-08,2.37742544459186e-08,2.46081481934335e-08,2.53083905746554e-08,2.58571735432499e-08,2.62383300662265e-08,2.64378594683537e-08,2.64444344867535e-08,2.62498724433851e-08,2.58495529842183e-08,2.5242765579687e-08,2.44329714044465e-08,2.34279663298609e-08,2.22399344336599e-08,2.08853846403935e-08,1.93849666640335e-08,1.77631662404076e-08,1.60478835292496e-08,1.42699024162959e-08,1.24622620973227e-08,1.0659545679677e-08,8.89710348607116e-09,7.21023124427613e-09,5.63332532033633e-09,4.19903858471745e-09,2.9374613327383e-09,1.87535184351183e-09,1.03544057612236e-09,4.35830566794527e-10,8.95142106700916e-11,1.83854950396634e-11,3.77631605679601e-12,7.75663377883792e-13,1.59330960914079e-13,3.27337276167453e-14,6.72943865050601e-15,1.38768615370415e-15,2.90275177100767e-16,6.47291303575382e-17,1.82875139535683e-17,8.64437607978432e-18,6.57618186597322e-18,6.1276586866684e-18,6.30579861816187e-18,8.00570054765094e-18,1.66524048698132e-17,2.39379512622208e-17,2.95553135649437e-17,3.33094529623922e-17,3.51277365589679e-17,3.50619960545416e-17,3.32822082309231e-17,3.0062386861373e-17,2.57598137709174e-17,2.07891576639561e-17,1.55933186205654e-17,1.06129757412664e-17,6.25682258442855e-18,2.87435551393101e-18,7.32867100459797e-19
3.84618026046702e-12,1.55010965772401e-11,3.5315363835661e-11,6.38782317811544e-11,1.02024678509376e-10,1.50844847544892e-10,2.11695322182373e-10,2.8621156965012e-10,3.76320717260101e-10,4.84253644273653e-10,6.12555190184251e-10,7.64091097098792e-10,9.42050128841588e-10,1.14993965142654e-09,1.39157283295388e-09,1.67104553609682e-09,1.99270095089755e-09,2.36108006927463e-09,2.78085624411252e-09,3.25675232755948e-09,3.7934392609278e-09,4.39541548934974e-09,5.06686722045433e-09,5.81151032257979e-09,6.63241556136527e-09,7.53181988445162e-09,8.51092754933303e-09,9.56970601951419e-09,1.07066826706191e-08,1.19187493958477e-08,1.32009831201153e-08,1.45464909515884e-08,1.59462891376773e-08,1.73892251140072e-08,1.88619516418985e-08,2.03489613126818e-08,2.18326885079202e-08,2.32936842420993e-08,2.47108672082087e-08,2.60618518312695e-08,2.7323351284506e-08,2.84716503570605e-08,2.94831398729279e-08,3.0334901216157e-08,3.10053265557144e-08,3.14747577310484e-08,3.17261246333117e-08,3.17455623904642e-08,3.152298588881e-08,3.10526001853724e-08,3.0333326251323e-08,2.93691232323567e-08,2.81691909545861e-08,2.67480397182507e-08,2.51254183062937e-08,2.33260955158219e-08,2.13794951628327e-08,1.93191892633444e-08,1.7182258749628e-08,1.50085354918282e-08,1.28397433957542e-08,1.07185598654154e-08,8.68762186057207e-09,6.78850313929291e-09,5.06069101012249e-09,3.54059200575516e-09,2.26059626366317e-09,1.24822991781521e-09,5.25423329918859e-10,1.07920323086521e-10,2.21669859442241e-11,4.55323735923209e-12,9.35290624206974e-13,1.92130243636444e-13,3.94743208276047e-14,8.11566788523455e-15,1.67366897110639e-15,3.50141493762541e-16,7.810351124561e-17,2.20838480364008e-17,1.04503169181058e-17,7.95453880823505e-18,7.41308682608582e-18,7.62897326613298e-18,9.68658890833559e-18,2.0152306871721e-17,2.89740440706978e-17,3.57788567944346e-17,4.03292185583322e-17,4.25358999888811e-17,4.24606550164762e-17,4.03086685217782e-17,3.64114809629362e-17,3.12017789260614e-17,2.51819587420675e-17,1.88887167380015e-17,1.28560841283115e-17,7.57932052351313e-18,3.48192846586396e-18,8.87781544145736e-19
