"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
5.50523560869858e-10,2.27998367028817e-09,5.43096842093022e-09,1.04381943576203e-08,1.79764711655549e-08,2.9032619555532e-08,4.50062090325454e-08,6.78454870342087e-08,1.00226412002559e-07,1.45784231510633e-07,2.09408477723764e-07,2.97613458046316e-07,4.18997121028047e-07,5.8480134494113e-07,8.09585942828062e-07,1.11202666709214e-06,1.51584385400044e-06,2.0508626805501e-06,2.75419793216492e-06,3.67154537352884e-06,4.85854805916947e-06,6.38218917108126e-06,8.32214342893232e-06,1.07719973053623e-05,1.38402251055766e-05,1.76507847937416e-05,2.23431761020001e-05,2.80717862444023e-05,3.50043381938686e-05,4.33192559774994e-05,5.32017739267769e-05,6.48386452626364e-05,7.84113523150036e-05,9.4087787752016e-05,0.00011201246387571,0.000132295414161228,0.000155000074655971,0.000180130567307497,0.000207618945180644,0.000237313091133188,0.000268966075332575,0.000302227860326545,0.00033664028223838,0.000371636220846899,0.00040654378968587,0.000440596223081604,0.000472947908102162,0.000502696709283177,0.00052891237272363,0.000550670390392817,0.000567090278286713,0.000577376801805682,0.000580862300496908,0.000577047955687481,0.00056564164087582,0.000546589924217256,0.000520101876069638,0.000486662583601769,0.000447034688298329,0.000402246827139907,0.000353568547409213,0.000302472039429475,0.000250581842121287,0.000199614467530473,0.000151310604490265,0.000107363142683058,6.93446579813467e-05,3.86381810003045e-05,1.63750113499463e-05,3.38303578681738e-06,6.98993876295128e-07,1.44457193921964e-07,2.98795878489854e-08,6.20380764442087e-09,1.31081710820994e-09,2.99113604897337e-10,8.95008062451337e-11,4.56637657365788e-11,3.61002889249515e-11,3.36349381447483e-11,3.2665480833858e-11,3.21040854960031e-11,3.20591091317795e-11,3.41327199450233e-11,4.61431226283735e-11,1.05189005697968e-10,1.64403098598784e-10,2.19087576580713e-10,2.64681000950634e-10,2.97264393506718e-10,3.14020155439795e-10,3.13586979117685e-10,2.96264620547853e-10,2.64039110212317e-10,2.20419711601805e-10,1.70101186641492e-10,1.18485968850843e-10,7.11180708190197e-11,3.309180183935e-11,8.502204443483e-12
2.18115062088134e-09,9.0331964498469e-09,2.15172591546987e-08,4.13556632886372e-08,7.12219695096514e-08,1.15025908875268e-07,1.7831249967053e-07,2.68800590128244e-07,3.97092176022637e-07,5.77589898132266e-07,8.29665794685476e-07,1.17912916024775e-06,1.6600445408143e-06,2.31695155779152e-06,3.20753526773708e-06,4.40578779830095e-06,6.00568756862486e-06,8.12539994651673e-06,1.09119712061404e-05,1.45464448367273e-05,1.92492747537912e-05,2.52858436048091e-05,3.29718169385102e-05,4.26779775854819e-05,5.48340927871832e-05,6.99312747864527e-05,8.85222110190767e-05,0.000111218571847779,0.000138684862718457,0.000171627985626964,0.00021078182423496,0.000256886279664475,0.000310660369893081,0.000372769271420119,0.000443785529261854,0.000524145085735197,0.000614099267546032,0.000713664403386904,0.000822571290563319,0.000940217250590148,0.00106562396461666,0.0011974046096848,0.00133374397473743,0.00147239517265111,0.00161069624117383,0.0017456093146563,0.00187378414140321,0.00199164653246669,0.00209551089637784,0.00218171440675852,0.00224676865721597,0.00228752299286704,0.0023013321974462,0.00228621999223831,0.00224102899620168,0.00216554751720496,0.00206060387563344,0.0019281199482776,0.00177111725997074,0.0015936711886962,0.00140081158031703,0.00119837113700109,0.000992786154861383,0.000790857321264382,0.000599481111121711,0.000425364623777054,0.000274738285365465,0.000153081558867255,6.48765685902226e-05,1.34033402675019e-05,2.76936379652068e-06,5.723293201962e-07,1.18380881741947e-07,2.45790602784309e-08,5.193358217099e-09,1.18505490410749e-09,3.54582531514217e-10,1.80903161848614e-10,1.43013525475714e-10,1.33246231131938e-10,1.29405569590064e-10,1.27181601038198e-10,1.27003553840392e-10,1.35218758100939e-10,1.82800706563227e-10,4.16723628260451e-10,6.51318919655482e-10,8.67973562741635e-10,1.04861435341899e-09,1.1777131712962e-09,1.24410542939676e-09,1.24239642071763e-09,1.17377276157766e-09,1.04610235103434e-09,8.73288417346991e-10,6.73931385331627e-10,4.69435669555838e-10,2.81766746544363e-10,1.31108425737858e-10,3.36854206683949e-11
4.8297594780615e-09,2.00023607158098e-08,4.76460250612992e-08,9.15745121064232e-08,1.57707910567552e-07,2.54703568576405e-07,3.94839858120169e-07,5.95208669720245e-07,8.79286053007948e-07,1.27896382855326e-06,1.83713755148188e-06,2.61095678349261e-06,3.67585066740128e-06,5.13044326603054e-06,7.10246651557688e-06,9.75576100336189e-06,1.32984228225935e-05,1.79921050325899e-05,2.4162411420792e-05,3.22102254619381e-05,4.26236966932438e-05,5.59904597855298e-05,7.30094901542329e-05,9.45018085929739e-05,0.000121419044118196,0.000154848660889908,0.000196014467805025,0.000246270878351209,0.000307089297389029,0.000380035007122498,0.000466733034016876,0.000568821727954735,0.000687893196540972,0.000825420325911173,0.000982670888612171,0.0011606101788687,0.00135979469845745,0.00158026059593045,0.00182141177161999,0.0020819137154285,0.00235960014285797,0.00265140022576391,0.00295329456397377,0.00326030790519745,0.00356654590456649,0.00386528186222904,0.00414909736893703,0.00441007815677627,0.00464006328283828,0.0048309422140681,0.00497499063377769,0.00506523210342825,0.00509580936886676,0.00506234639278446,0.00496228040852245,0.00479514267158627,0.00456276731888089,0.00426940993038949,0.0039217610184165,0.00352884462559372,0.00310179825874556,0.00265353717890709,0.00219831317881053,0.00175118492078333,0.0013274231719336,0.000941879371503051,0.000608349471159298,0.000338966577514156,0.000143655404817477,2.96788764267219e-05,6.13217774333108e-06,1.26730462411851e-06,2.62130066819549e-07,5.44252603435507e-08,1.14995869897089e-08,2.62401328257373e-09,7.8510037503311e-10,4.00523142772037e-10,3.1662509835295e-10,2.94998377913702e-10,2.86494984190132e-10,2.81571349583473e-10,2.8117764195301e-10,2.99367447527091e-10,4.04719033089428e-10,9.22646711962409e-10,1.44208522988494e-09,1.92181769738157e-09,2.32182054788351e-09,2.60770469609999e-09,2.75474303874874e-09,2.75098530128181e-09,2.59905535707743e-09,2.31637283536167e-09,1.93372279615277e-09,1.49229250725504e-09,1.03947898582062e-09,6.23922091048691e-10,2.90316628561665e-10,7.4590528278457e-11
8.39516247810972e-09,3.47684070034771e-08,8.28190240558515e-08,1.5917611720933e-07,2.74130021226046e-07,4.42728983679698e-07,6.86315321499071e-07,1.03459821015526e-06,1.52838376262195e-06,2.2231063636048e-06,3.19332704751772e-06,4.53838309153835e-06,6.38938522716784e-06,8.91776142435215e-06,1.23455347093265e-05,1.69574918147717e-05,2.31153439126031e-05,3.12738942493619e-05,4.19991043844345e-05,5.59877859495669e-05,7.40884350901795e-05,9.73224713426427e-05,0.000126904844715385,0.000164262642122345,0.000211049970957052,0.000269157044185205,0.000340711065830373,0.000428066253251189,0.000533780174577489,0.000660573572016143,0.000811271032070897,0.000988720297456597,0.00119568873096068,0.00143473646432775,0.00170806710227571,0.00201735848519505,0.00236357789636467,0.00274678814972694,0.00316595309691221,0.00361875309903943,0.00410142274429063,0.00460862436290167,0.00513337149895798,0.00566701625726399,0.00619931319885044,0.00671857010708415,0.00721189245523263,0.00766552383010089,0.00806527905748227,0.00839706058804156,0.00864744218804221,0.00880429757090971,0.00885744579247477,0.00879928052680323,0.00862534723404064,0.00833483115617822,0.00793092035183129,0.00742101177847539,0.00681673474076606,0.00613377463799137,0.00539149045242057,0.00461233122797945,0.00382106914882672,0.00304387889317893,0.00230730382563846,0.00163715845268719,0.00105742266011845,0.000589186012585056,0.000249699489533276,5.15873921789324e-05,1.065887293582e-05,2.202814802e-06,4.55631920855795e-07,9.46014476987626e-08,1.99883867426552e-08,4.56092221690457e-09,1.36453457875263e-09,6.96066041441451e-10,5.50237075780341e-10,5.12647982976599e-10,4.97869777543378e-10,4.89313700005324e-10,4.88630686817596e-10,5.20245553355167e-10,7.03345851598095e-10,1.60349305223477e-09,2.50632039267876e-09,3.34017921309387e-09,4.03549026137689e-09,4.53246555983102e-09,4.78811126424135e-09,4.7816437832214e-09,4.51761516964573e-09,4.0262989264635e-09,3.36120378844835e-09,2.5939225266532e-09,1.80684378310365e-09,1.08451762634177e-09,5.04637004637289e-10,1.29655637989453e-10
1.27405744192964e-08,5.27648386756058e-08,1.25686837328243e-07,2.41566896005908e-07,4.1602161446581e-07,6.7188817913799e-07,1.04155561660501e-06,1.57011043215272e-06,2.3194797394448e-06,3.37379035925448e-06,4.84619548274391e-06,6.8874483915292e-06,9.6965212891095e-06,1.35335711680754e-05,1.87355371951054e-05,2.57346075618415e-05,3.50797094498975e-05,4.74610445926398e-05,6.37375060721122e-05,8.49665619204028e-05,0.000112435872771566,0.000147695523213043,0.000192589294271186,0.000249282899694188,0.000320286572449944,0.000408468851536004,0.000517057925230847,0.000649626488597214,0.00081005583323378,0.00100247487566127,0.00123117011958282,0.00150046320549159,0.00181455378688484,0.0021773270245522,0.00259212701944593,0.00306149998349912,0.0035869138042399,0.00416846377036795,0.00480457741634932,0.00549173448957109,0.00622422067726269,0.00699393565864858,0.00779027697006232,0.00860012080480898,0.00940791898062034,0.0101959277388278,0.0109445787413863,0.0116329956871617,0.0122396516088465,0.0127431525225552,0.0131231232164781,0.0133611612398545,0.0134418163317669,0.0133535453877585,0.0130895883495522,0.0126487087709772,0.0120357447483357,0.0112619216660623,0.0103448877844599,0.00930844676902466,0.00818197720827453,0.00699954708568363,0.005798749928495,0.00461930766677592,0.0035015017593569,0.00248450759142476,0.00160471639727864,0.000894133152983072,0.000378937509459782,7.82877960562008e-05,1.61756717652601e-05,3.34294748896395e-06,6.91458532263364e-07,1.43565383350312e-07,3.03338449038096e-08,6.92135562827955e-09,2.07056330411484e-09,1.05610757389049e-09,8.34803691280463e-10,7.7776352786098e-10,7.5534084212665e-10,7.42360419191398e-10,7.41326503504425e-10,7.89300157149028e-10,1.06713103296877e-09,2.43297260814087e-09,3.80298811968935e-09,5.06843203612242e-09,6.12368997004018e-09,6.87800196240759e-09,7.26609453509639e-09,7.25640389338182e-09,6.85582146096473e-09,6.11028043630481e-09,5.10098252129592e-09,3.93657934472137e-09,2.74211025925396e-09,1.6458968208103e-09,7.65854436052173e-10,1.96770147421674e-10
1.76983576441041e-08,7.3297384053474e-08,1.74595682738688e-07,3.35568285332653e-07,5.77908557342168e-07,9.33340114735299e-07,1.44685519355105e-06,2.18108428661529e-06,3.22205139895629e-06,4.68661840793506e-06,6.73196801682104e-06,9.56751354079062e-06,1.34696495479094e-05,1.87997627516763e-05,2.60258983207421e-05,3.57484121293992e-05,4.87298223699094e-05,6.59288917443094e-05,8.85387119073143e-05,0.000118028214461305,0.000156186090623294,0.000205165563275891,0.00026752782694878,0.000346281270107136,0.0004449128492347,0.000567407239209207,0.000718248698311862,0.000902400032924427,0.00112525271385794,0.00139254218014483,0.00171022276738565,0.00208429761210128,0.00252060039180734,0.00302452791669217,0.00360072540729831,0.00425272973595655,0.00498257987761405,0.00579040813757063,0.00667403015603141,0.00762855591979005,0.00864604766970099,0.00971525327106618,0.0108214448951182,0.0119463923514078,0.0130684977869645,0.0141631135108173,0.0152030573430981,0.016159330241161,0.0170020293423837,0.0177014365208378,0.018229248823083,0.0185599036394449,0.0186719392130932,0.0185493211692066,0.0181826592002148,0.017570235775899,0.0167187714351166,0.0156438592204964,0.0143700141189384,0.0129303015294752,0.0113655309319044,0.00972302581974253,0.00805500701606069,0.0064166519256666,0.00486391522960469,0.00345121520918769,0.00222910273502949,0.00124203577968233,0.000526380404738772,0.000108749394228817,2.24696218526876e-05,4.64369436232754e-06,9.60507431654823e-07,1.99427145583887e-07,4.21365840916255e-08,9.614121000286e-09,2.87584542447351e-09,1.46666091894666e-09,1.15925265675163e-09,1.08002520586749e-09,1.04888518929186e-09,1.03086094363175e-09,1.02942922955943e-09,1.09606276369569e-09,1.48193685205645e-09,3.37890302707431e-09,5.28185098807436e-09,7.03969693212389e-09,8.50569078783717e-09,9.55370966797404e-09,1.00930351269894e-08,1.00797825805721e-08,9.52349744659849e-09,8.48797145023484e-09,7.08600042010290e-09,5.46852109081823e-09,3.80924123186217e-09,2.28643110638312e-09,1.06390553379565e-09,2.73348573236792e-10
2.30759290542958e-08,9.55684606777831e-08,2.27645690977705e-07,4.37528751479758e-07,7.53502182337461e-07,1.21692826156674e-06,1.88646926073328e-06,2.84378466482428e-06,4.20103498082983e-06,6.11058782050636e-06,8.77738192025367e-06,1.24744552822965e-05,1.75621772362007e-05,2.45117312240913e-05,3.39333635177958e-05,4.66098287926266e-05,6.35353108006712e-05,8.59598588259646e-05,0.000115439042204342,0.000153888072286067,0.000203639064701813,0.000267499412816241,0.000348808424253293,0.000451488458196618,0.000580085829990882,0.000739795778263486,0.000936464895191582,0.0011765636991812,0.00146712159493875,0.00181561644493122,0.00222981149941654,0.00271753362438819,0.00328638873327082,0.00394341313941855,0.00469466322124915,0.00554475028126929,0.00649633265355241,0.00754958274904038,0.00870165250693247,0.00994616623595109,0.0112727745989381,0.0126668069863314,0.0141090611942307,0.0155757686598726,0.0170387700862025,0.0184659298239175,0.0198218077842539,0.0210685950783993,0.0221673044388327,0.0230791894733123,0.0237673488987932,0.0241984542899383,0.0243445239003583,0.0241846521812405,0.0237065960871544,0.0229081163029059,0.0217979750297938,0.020396502405679,0.0187356609751969,0.016858561301018,0.0148184106877255,0.0126769094407167,0.0105021430522929,0.00836605186875602,0.00634158971801457,0.0044997073347001,0.00290631317290929,0.00161937179088745,0.000686297506708144,0.000141788275725796,2.92961129681939e-05,6.05450444427898e-06,1.25232284857812e-06,2.60015832841976e-07,5.49378633138553e-08,1.25344854377238e-08,3.74899346145905e-09,1.91167832413599e-09,1.51088378075427e-09,1.40759683543907e-09,1.36700724260611e-09,1.34351746664536e-09,1.34165786667049e-09,1.42852656033569e-09,1.93154707343604e-09,4.40436704141565e-09,6.88527481595638e-09,9.1772403816749e-09,1.10888601499013e-08,1.24556149825862e-08,1.31591503401046e-08,1.31421883191864e-08,1.24171337879594e-08,1.10671404326875e-08,9.23927407346697e-09,7.13034478709186e-09,4.96686188635888e-09,2.9812875550257e-09,1.38723569302928e-09,3.56422265526661e-10
2.86626767293159e-08,1.1870582082128e-07,2.82759141543751e-07,5.43454942725922e-07,9.3592516554103e-07,1.51154542097125e-06,2.3431793557741e-06,3.53225502880056e-06,5.21808519450748e-06,7.58992295695225e-06,1.09023187515775e-05,1.54944073604053e-05,2.18137954152112e-05,3.04457285398137e-05,4.21481780358416e-05,5.7893382327156e-05,7.89161887340687e-05,0.000106769246080439,0.000143384678321368,0.000191141306843125,0.000252935773018538,0.000332255040708363,0.000433246741159615,0.000560782687296846,0.000720509678158567,0.00091888050783268,0.0011631569821315,0.00146137585030767,0.00182226801973495,0.00225512139544722,0.00276957833628503,0.00337536020015824,0.00408191389344509,0.0048979788312392,0.00583107727942957,0.00688693662567923,0.00806885855185135,0.00937705707910162,0.0108079946344647,0.0123537521382358,0.01400147503551,0.0157329415324881,0.0175243013724676,0.0193460326629988,0.0211631600163857,0.0229357692379175,0.02461984187863,0.0261684173477179,0.0275330714745066,0.0286656792895697,0.0295204075578908,0.0300558607215596,0.0302372840662049,0.0300387118616916,0.0294449376271476,0.0284531799991215,0.0270743220343273,0.0253336147401572,0.0232707571649592,0.0209392947840184,0.018405313787106,0.0157454491776191,0.013044266784294,0.0103911204742636,0.00787662302569474,0.00558889937287271,0.00360981174734001,0.00201135567442886,0.000852422701235442,0.000176109900931774,3.6387675671714e-05,7.52010229494532e-06,1.55547175932434e-06,3.22957642970224e-07,6.82360829710217e-08,1.55679502547512e-08,4.65571064430109e-09,2.37363643891926e-09,1.87583377639187e-09,1.74755944614688e-09,1.69716003330888e-09,1.66799890906884e-09,1.66569963854813e-09,1.77358631607036e-09,2.39826072712063e-09,5.46906283231944e-09,8.55033434366872e-09,1.13972744609957e-08,1.37720372261155e-08,1.54701581624781e-08,1.63445218147359e-08,1.6323898268291e-08,1.54236404689028e-08,1.37470096680817e-08,1.14766799184854e-08,8.85713336375e-09,6.16975420702643e-09,3.70332536930006e-09,1.72321607314451e-09,4.42746516596988e-10
3.42376944573634e-08,1.41794584321217e-07,3.37756767189473e-07,6.49158348770597e-07,1.11796410945578e-06,1.80554167035994e-06,2.7989257681314e-06,4.21927081300202e-06,6.23298372318282e-06,9.06612406616733e-06,1.30227475155209e-05,1.85079435792711e-05,2.60563684199292e-05,3.6367083969633e-05,5.03454676603982e-05,6.91528320372626e-05,9.42641669947639e-05,0.000127534064925612,0.000171270387017167,0.000228314557003176,0.000302126513364889,0.000396871309540433,0.000517503136660233,0.000669841187087354,0.000860630336254928,0.00109757817932803,0.0013893586320729,0.00174557123519333,0.00217664465717278,0.00269367285961031,0.00330817316530307,0.00403175723806306,0.00487570890074985,0.00585046688867674,0.0069650160873527,0.00822619746385963,0.00963795457604491,0.0112005429032054,0.0129097368151401,0.0147560771788768,0.0167242096782347,0.0187923691018548,0.0209320673328424,0.0231080417894705,0.0252785159907198,0.0273958143315789,0.0294073589180899,0.0312570576529166,0.0328870703005281,0.0342399140342305,0.0352608434070691,0.0359004135600263,0.0361171117796625,0.0358799233306099,0.0351706848270626,0.0339860740225241,0.0323390900960794,0.0302598939951416,0.0277959041207022,0.0250110777611402,0.0219843515234776,0.0188072621500279,0.0155808195012868,0.0124117526813026,0.0094082946788134,0.0066757070368782,0.00431177092489061,0.00240248226269471,0.0010181848695694,0.00021035670631819,4.3463816513479e-05,8.9825204503663e-06,1.85796425397912e-06,3.85763154678825e-07,8.15052335887972e-08,1.85944682705448e-08,5.56005964495119e-09,2.83418828262983e-09,2.23959353366809e-09,2.0863937001558e-09,2.02621382774322e-09,1.99140152784208e-09,1.98866995594749e-09,2.11752796165362e-09,2.86355316219957e-09,6.53080793296117e-09,1.02111588820758e-08,1.36120762479544e-08,1.64492938631893e-08,1.84784091837619e-08,1.95235409339606e-08,1.94994903237783e-08,1.84245280082533e-08,1.64219770547635e-08,1.37100579549455e-08,1.05808487999415e-08,7.37052282376926e-09,4.4240952551101e-09,2.05860844956398e-09,5.28919969491266e-10
3.95781026347745e-08,1.6391169974953e-07,3.90439842346742e-07,7.50413075876466e-07,1.2923412670583e-06,2.08716321906924e-06,3.23548787183085e-06,4.87736503869124e-06,7.20515438966957e-06,1.0480171246646e-05,1.5053890606e-05,2.13945774351421e-05,3.01202689244104e-05,4.20390463731662e-05,5.81974801887276e-05,7.99379869182967e-05,0.00010896557537699,0.000147424051518583,0.000197981171350903,0.000263921454491485,0.000349244382275278,0.000458764500502764,0.0005982085424226,0.000774303119840738,0.00099484486482196,0.00126874323882622,0.0016060246920749,0.00201778561900066,0.00251608081101044,0.00311373407195188,0.00382405855903037,0.00466047645649955,0.00563603096189371,0.00676278838558507,0.00805113446633167,0.00950897670430846,0.0111408733846451,0.0129471196273539,0.0149228307093821,0.0170570723626374,0.0193320959308119,0.0217227422558684,0.0241960810286762,0.0267113512010367,0.0292202621891115,0.0316677045142139,0.0339929020724339,0.0361310166560636,0.0380151893860369,0.0395789745546418,0.0407590906766898,0.0414983833452844,0.0417488670921573,0.0414746912748778,0.0406548603784359,0.0392855340505981,0.0373817382002097,0.0349783363828543,0.0321301404345382,0.028911079908161,0.0254123993877867,0.0217399083974238,0.0180103668679646,0.0143471459894567,0.0108753555947496,0.00771667099706126,0.00498412094694903,0.00277711141635461,0.00117695567667252,0.000243159294147972,5.02415941696067e-05,1.03832850309825e-05,2.14770559398292e-06,4.45921189390287e-07,9.42147337163857e-08,2.14929765041139e-08,6.42582416883836e-09,3.2748615381903e-09,2.58756160321156e-09,2.41049596335899e-09,2.34095744169181e-09,2.30074168846699e-09,2.2976045631034e-09,2.44655253994938e-09,3.30878378452837e-09,7.54714994131738e-09,1.18014450804055e-08,1.57333298146065e-08,1.90139640609052e-08,2.13605846127321e-08,2.25696718347185e-08,2.2542592003711e-08,2.13003878289689e-08,1.89856044814424e-08,1.58505380561365e-08,1.22328971299348e-08,8.52138064668031e-09,5.11491073777746e-09,2.3800635584317e-09,6.11512634665143e-10
