"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
1.78727168986028e-13,7.34179220876281e-13,1.72574914768377e-12,3.25776148838081e-12,5.48770195045469e-12,8.63818084357165e-12,1.30130510072685e-11,1.90181877968989e-11,2.71874957163698e-11,3.82147218609604e-11,5.2991616575023e-11,7.26528707197152e-11,9.86280593747432e-11,1.32700516059117e-10,1.77072633352012e-10,2.34436522273334e-10,3.08048257174082e-10,4.01803087546399e-10,5.20308027853356e-10,6.68947171598482e-10,8.53933965269482e-10,1.08234359079303e-09,1.36211763203691e-09,1.70203245168927e-09,2.11162230548442e-09,2.6010483066193e-09,3.18090505966319e-09,3.86195823328737e-09,4.65480863065447e-09,5.56948149800017e-09,6.61494387894409e-09,7.79855769317439e-09,9.12548172656441e-09,1.05980416074909e-08,1.22150927638887e-08,1.39714068820629e-08,1.58571170392924e-08,1.78572599499447e-08,1.99514551557042e-08,2.21137600717746e-08,2.43127362493371e-08,2.6511755863353e-08,2.86695683131445e-08,3.07411351828506e-08,3.26787281334888e-08,3.44332692915897e-08,3.59558782503636e-08,3.71995749263305e-08,3.81210742897341e-08,3.86825984499697e-08,3.88536246414977e-08,3.86124850226251e-08,3.79477362854608e-08,3.68592239624289e-08,3.53587777318152e-08,3.3470489361916e-08,3.12305432891833e-08,2.86865900841333e-08,2.58966739853218e-08,2.29277460302555e-08,1.98538129282466e-08,1.67537877301522e-08,1.37091208250247e-08,1.08012983844779e-08,8.10929991373130e-09,5.70710713961748e-09,3.66135336111724e-09,2.02919604141067e-09,8.56486345672107e-10,1.76298062083312e-10,3.62896418721015e-11,7.47009421599257e-12,1.53772659543439e-12,3.16554801144927e-13,6.51732796946864e-14,1.34246848215959e-14,2.7715746803018e-15,5.78333011351586e-16,1.26662003279311e-16,3.35244834314543e-17,1.42048939653427e-17,1.01042500713523e-17,9.22992115241232e-18,9.45293020401414e-18,1.19569214396598e-17,2.47217922279122e-17,3.52971153115214e-17,4.32615581150421e-17,4.83857140077679e-17,5.06345124719807e-17,5.01566456502319e-17,4.72631148046312e-17,4.23973976660737e-17,3.60998678527619e-17,2.89690241626772e-17,2.16218803358285e-17,1.4655587280039e-17,8.61205643780364e-18,3.94705295848447e-18,1.00494194446014e-18
7.13881588533153e-13,2.9325269189421e-12,6.89326011202313e-12,1.30129564758434e-11,2.1920947201892e-11,3.45068556127403e-11,5.19850497156676e-11,7.5977744202619e-11,1.08619014163698e-10,1.52682046278818e-10,2.11731795551839e-10,2.90304773011771e-10,3.94116892871365e-10,5.30299085817964e-10,7.07658673015422e-10,9.36962241352539e-10,1.23123293711128e-09,1.6060517116731e-09,2.07984816789094e-09,2.67416239069552e-09,3.41385469570835e-09,4.32723587230647e-09,5.44608659419892e-09,6.80553166161677e-09,8.44373312927245e-09,1.04013667059312e-08,1.2720848627472e-08,1.54452859991359e-08,1.86171327595315e-08,2.22765461511482e-08,2.64594548633632e-08,3.11953695201127e-08,3.65049882484133e-08,4.23976736529211e-08,4.8868901245007e-08,5.58978015283458e-08,6.34449365944075e-08,7.14504651948739e-08,7.98328558553842e-08,8.84883039404688e-08,9.7290994376363e-08,1.06094326316828e-07,1.14733179512623e-07,1.23027255525829e-07,1.30785472153283e-07,1.37811329308419e-07,1.43909102720973e-07,1.48890662229961e-07,1.52582658464838e-07,1.5483377949666e-07,1.55521751256554e-07,1.54559744971551e-07,1.51901863223741e-07,1.47547403823159e-07,1.41543646407485e-07,1.33986968094117e-07,1.25022167998675e-07,1.14839961525723e-07,1.03672689090181e-07,9.17883653565065e-08,7.9483269574167e-08,6.70733412566997e-08,5.48846953950892e-08,4.32436058280125e-08,3.24663236450139e-08,2.28490999152011e-08,1.46587697641575e-08,8.12422957923516e-09,3.42910293314221e-09,7.05845792197976e-10,1.45293848184588e-10,2.99083819624359e-11,6.15670445903691e-12,1.26741977804693e-12,2.60941771091796e-13,5.37502702628805e-14,1.10970040995468e-14,2.31558012509001e-15,5.07143196527137e-16,1.34229168152154e-16,5.68747049823031e-17,4.04557794883647e-17,3.69548707318735e-17,3.78476282282459e-17,4.7873065835241e-17,9.8981105615062e-17,1.41322902036123e-16,1.7321137219645e-16,1.93727881668854e-16,2.02731916460079e-16,2.00818759875354e-16,1.8923359585562e-16,1.69752054425875e-16,1.44537738035647e-16,1.15986974391819e-16,8.65702111707115e-17,5.86783510835507e-17,3.44811095214541e-17,1.58032740710892e-17,4.02360124667281e-18
1.60218152366094e-12,6.58164883932507e-12,1.54713824546976e-11,2.9207644068675e-11,4.92039503841645e-11,7.74586244723647e-11,1.1669972245508e-10,1.70571920244965e-10,2.43870464412141e-10,3.42827438595861e-10,4.75455247115774e-10,6.51951226897088e-10,8.85165511055049e-10,1.19113152308168e-09,1.589654631621e-09,2.10494942511081e-09,2.7663097104408e-09,3.60878771961521e-09,4.67385025431475e-09,6.00996988239175e-09,7.6730992616558e-09,9.72696682854555e-09,1.22431232665364e-08,1.53006613542077e-08,1.89855281238734e-08,2.3389348963298e-08,2.86076895912068e-08,3.47376948478039e-08,4.18750638370373e-08,5.01103496210359e-08,5.95246083445293e-08,7.01844666318297e-08,8.21367258504955e-08,9.54026750476133e-08,1.09972337901468e-07,1.2579892904946e-07,1.42793837291701e-07,1.6082248283327e-07,1.79701408448465e-07,1.99196956305986e-07,2.19025850253323e-07,2.38857946104643e-07,2.58321330164704e-07,2.77009841122494e-07,2.94492966931801e-07,3.10327932723328e-07,3.24073656205139e-07,3.35306112614611e-07,3.43634531784867e-07,3.48717754677684e-07,3.50280014072003e-07,3.48125380314648e-07,3.42150131886521e-07,3.3235237273496e-07,3.18838321394659e-07,3.01824835326492e-07,2.81637899480686e-07,2.58706990744854e-07,2.33555418529794e-07,2.06786925058936e-07,1.79068996601246e-07,1.51113480217142e-07,1.23655213091142e-07,9.74294492313557e-08,7.31489097539371e-08,5.14812889044673e-08,3.30280209398503e-08,1.83050567709357e-08,7.72631828592325e-09,1.5903971732882e-09,3.27375934020766e-10,6.73901270345579e-11,1.38725269522787e-11,2.85582608547924e-12,5.87975178559018e-13,1.21115652981694e-13,2.50051667171096e-14,5.21781083866924e-15,1.14278164395802e-15,3.02468836614101e-16,1.28158369011942e-16,9.11592251687052e-17,8.32697116925113e-17,8.52808587722634e-17,1.07870721362269e-16,2.23031150332245e-16,3.18439892653704e-16,3.90294904488078e-16,4.36525726608129e-16,4.56815364025274e-16,4.52504961843652e-16,4.26400251571045e-16,3.82502344967764e-16,3.25686638425971e-16,2.61352932404342e-16,1.95067997228243e-16,1.32219294046387e-16,7.76958119717011e-17,3.5609265102518e-17,9.06631057571498e-18
2.83750321115243e-12,1.16565309335304e-11,2.74018637944217e-11,5.17332686212548e-11,8.71568168006442e-11,1.37215833320912e-10,2.06748243710601e-10,3.02218492477655e-10,4.32133139091508e-10,6.07549510607239e-10,8.4268618104254e-10,1.15564230065778e-09,1.56922963429426e-09,2.11191630213396e-09,2.81887438383378e-09,3.73311453729956e-09,4.9066794823098e-09,6.40185463835461e-09,8.29233861565316e-09,1.06642991197599e-08,1.36172219222123e-08,1.7264442980869e-08,2.17332380127378e-08,2.7164331597956e-08,3.37106812557464e-08,4.15353930679382e-08,5.08086365238581e-08,6.17034493189763e-08,7.43903594243017e-08,8.90308027268959e-08,1.0576937983886e-07,1.24725073999247e-07,1.45981640684773e-07,1.69577474459545e-07,1.95495354143782e-07,2.23652556710978e-07,2.53891905649358e-07,2.859743726408e-07,3.19573874335691e-07,3.54274891724865e-07,3.89573482884387e-07,4.24882157973842e-07,4.59538938747348e-07,4.92820737530746e-07,5.23960970419941e-07,5.52171077714418e-07,5.76665375667483e-07,5.96688423949264e-07,6.11543880091957e-07,6.20623642387528e-07,6.23435970969117e-07,6.19631234415385e-07,6.09023962838493e-07,5.91609999305646e-07,5.67577725142573e-07,5.37312581250657e-07,5.01394402437735e-07,4.60587406897191e-07,4.15823018522352e-07,3.68176025768839e-07,3.18834878911416e-07,2.69067182411542e-07,2.20181639330484e-07,1.7348784336358e-07,1.30255388610484e-07,9.16737789955602e-08,5.88145727183618e-08,3.25970987121146e-08,1.37589393921719e-08,2.8321948922167e-09,5.83001358921349e-10,1.2001194582144e-10,2.47052519158265e-11,5.08593857120169e-12,1.04713855776255e-12,2.15700638721555e-13,4.45335323747485e-14,9.29291950163782e-15,2.03532196524753e-15,5.38706692134012e-16,2.28249957407186e-16,1.62350453547474e-16,1.48297324384694e-16,1.5187780587404e-16,1.92108077544444e-16,3.97199747967486e-16,5.67117967449675e-16,6.95090060258802e-16,7.77427333341164e-16,8.13564268253682e-16,8.05888861644634e-16,7.59397902389479e-16,6.81217419294284e-16,5.80030663823766e-16,4.65454824548261e-16,3.47404326450427e-16,2.35474059830259e-16,1.38370970625303e-16,6.34175867328288e-17,1.61464428926626e-17
4.40994839413551e-12,1.81167042760565e-11,4.25903171830166e-11,8.04135626184739e-11,1.35486647075111e-10,2.13324915714866e-10,3.21460162667557e-10,4.69958355056463e-10,6.72068056566154e-10,9.45014285167289e-10,1.31095161436539e-09,1.79808762729952e-09,2.44198292050382e-09,3.28702628166763e-09,4.38807301597132e-09,5.81222033487554e-09,7.64067606599751e-09,9.97065573637743e-09,1.29172186778083e-08,1.66149269488196e-08,2.12191827762467e-08,2.69070726206873e-08,3.38775211302079e-08,4.23505389353012e-08,5.25653376378149e-08,6.477708689e-08,7.9252105591748e-08,9.62613151002287e-08,1.16071839420703e-07,1.38936717021382e-07,1.65082791079754e-07,1.94696967634255e-07,2.27911170124298e-07,2.64786467675095e-07,3.05297004467117e-07,3.49314497871353e-07,3.96594191514298e-07,4.46763233171324e-07,4.99312483825498e-07,5.53592742343177e-07,6.08816281745654e-07,6.64064433697286e-07,7.18301728253802e-07,7.70396802443406e-07,8.19149946103616e-07,8.63326774378382e-07,9.01697125919851e-07,9.3307790994531e-07,9.56378291052334e-07,9.70645334415397e-07,9.7510805879134e-07,9.6921777833919e-07,9.52682667030115e-07,9.25494653288588e-07,8.87947040386718e-07,8.40641634348535e-07,7.84484622725481e-07,7.20670956270195e-07,6.50657510152408e-07,5.76125810762366e-07,4.98935579752045e-07,4.21070744982207e-07,3.44579880991131e-07,2.71513258974059e-07,2.03858804350469e-07,1.43479280973047e-07,9.20529515687254e-08,5.10198137119507e-08,2.15352906477776e-08,4.43297819491237e-09,9.12533556937472e-10,1.87849793916065e-10,3.867075682542e-11,7.96107710078559e-12,1.63912636413096e-12,3.37650628790038e-13,6.97126323808785e-14,1.45473904273263e-14,3.18620872926337e-15,8.43327983753481e-16,3.57309852645018e-16,2.54140434766551e-16,2.32137268301507e-16,2.37739462387451e-16,3.00712716564655e-16,6.21752029901959e-16,8.87738546771794e-16,1.08806737466496e-15,1.21696150940297e-15,1.27353367091557e-15,1.2615209432462e-15,1.18874510573347e-15,1.06636169716546e-15,9.07964228899266e-16,7.28608143308149e-16,5.43813861281077e-16,3.68601168735881e-16,2.16599458894483e-16,9.92707052934281e-17,2.52747943670337e-17
6.30463546422827e-12,2.59012722123657e-11,6.08945048489956e-11,1.14982359905988e-10,1.93750018916915e-10,3.05097070779433e-10,4.59813592188583e-10,6.72323560696188e-10,9.61616258303312e-10,1.35238700836882e-09,1.87640730368045e-09,2.57414055063009e-09,3.496612640878e-09,4.70753571926475e-09,6.28566823828693e-09,8.32737418709365e-09,1.09493189830008e-08,1.42912089680201e-08,1.85184462603146e-08,2.38245319358962e-08,3.0433009897479e-08,3.85987038126272e-08,4.86079634356006e-08,6.07776084633082e-08,7.54522424149252e-08,9.29996108358577e-08,1.13803702405185e-07,1.38255342843794e-07,1.66740113488174e-07,1.99623541063439e-07,2.37233652444681e-07,2.79841165207408e-07,3.27637785562047e-07,3.80713300508682e-07,4.39032368097567e-07,5.02412112994426e-07,5.70501806448781e-07,6.42766031579046e-07,7.18472788429673e-07,7.96687962520793e-07,8.76277453592324e-07,9.55918031666416e-07,1.0341176563339e-06,1.1092455714239e-06,1.1795719885927e-06,1.24331662563047e-06,1.2987048010335e-06,1.34402924298583e-06,1.37771528768358e-06,1.39838675701682e-06,1.40492955243969e-06,1.3965499059709e-06,1.37282430567694e-06,1.33373836433923e-06,1.27971231590339e-06,1.21161138192854e-06,1.13073991619217e-06,1.03881896881761e-06,9.37947666795723e-07,8.30549540681065e-07,7.19305596611288e-07,6.07076504814354e-07,4.96816725876175e-07,3.91483709785691e-07,2.93945475343029e-07,2.06889912223561e-07,1.32739054110431e-07,7.35713617766645e-08,3.1054744472061e-08,6.39265156968484e-09,1.31595998256156e-09,2.70902596478335e-10,5.57691410149314e-11,1.14813306308623e-11,2.36397165784209e-12,4.86975642988718e-13,1.00545247067966e-13,2.09819656670508e-14,4.59564107243042e-15,1.21639083775232e-15,5.15359284620466e-16,3.66540030459072e-16,3.34796922013618e-16,3.42872037894929e-16,4.33692370127487e-16,8.96706226440536e-16,1.2803319053075e-15,1.56926828725413e-15,1.75517802377899e-15,1.83677765058026e-15,1.81945526120873e-15,1.71449202248042e-15,1.53797858631288e-15,1.30952239152185e-15,1.05083923474454e-15,7.84314871485835e-16,5.31612102451635e-16,3.12387563001469e-16,1.4317133880057e-16,3.6452030843992e-17
8.50030809420857e-12,3.49231849565831e-11,8.21108421027052e-11,1.55058020973469e-10,2.6130970310571e-10,4.11539756678771e-10,6.20331377529294e-10,9.07184576651655e-10,1.29777894212496e-09,1.82552089688417e-09,2.53340300310142e-09,3.47619774131324e-09,4.72299875364743e-09,6.36010789740426e-09,8.49424577342143e-09,1.12560359970426e-08,1.48036789808695e-08,1.93266894514532e-08,2.5049523986459e-08,3.22348719658188e-08,4.11863278297024e-08,5.22501078022993e-08,6.58154247119798e-08,8.23130956628278e-08,1.02211935370734e-07,1.26012489767713e-07,1.54237696850283e-07,1.87420130988322e-07,2.26085598006246e-07,2.70733004166447e-07,3.2181062264238e-07,3.79689122370121e-07,4.44631998216667e-07,5.167643354962e-07,5.96041138762647e-07,6.82216733272443e-07,7.74816983364129e-07,8.73116239676686e-07,9.76121001692645e-07,1.08256224158331e-06,1.19089816324314e-06,1.29932885805561e-06,1.40582386751091e-06,1.50816308469358e-06,1.60399074597738e-06,1.69088151622515e-06,1.76641689999125e-06,1.82826946878987e-06,1.87429173427487e-06,1.90260597131194e-06,1.91169094915432e-06,1.90046139817951e-06,1.8683361443234e-06,1.81529118689896e-06,1.74189456345899e-06,1.64932060625281e-06,1.53934210266842e-06,1.41429987050544e-06,1.27705028644626e-06,1.13089230154407e-06,9.79476385548565e-07,8.26698617197488e-07,6.76583747936547e-07,5.33161493508256e-07,4.00340546040723e-07,2.81784853713667e-07,1.80796597995818e-07,1.00210025918737e-07,4.2299884324473e-08,8.7076720933085e-09,1.79256029187671e-09,3.69023980165935e-10,7.59706821865792e-11,1.56406688398408e-11,3.22045216860154e-12,6.63428190182203e-13,1.36981255607254e-13,2.85864170069901e-14,6.26143403951197e-15,1.65732660223462e-15,7.02153310266168e-16,4.99369133068253e-16,4.56108149786347e-16,4.67101471131035e-16,5.90826836263494e-16,1.22161060844588e-15,1.74425912026779e-15,2.1379155876497e-15,2.39121191556523e-15,2.50239311072072e-15,2.47879703861586e-15,2.33579348588277e-15,2.09530684713949e-15,1.78405360539822e-15,1.43162221691659e-15,1.06851254261974e-15,7.24237784903516e-16,4.2557642606232e-16,1.9504642075591e-16,4.96595077127883e-17
1.09678777952374e-11,4.50632394926225e-11,1.05960242937676e-10,2.00116582998342e-10,3.37289163006834e-10,5.31284568478396e-10,8.00971602194111e-10,1.17158891704692e-09,1.67638473258943e-09,2.35862700956659e-09,3.27402039578182e-09,4.49355971743152e-09,6.10683764080825e-09,8.22580520305719e-09,1.09889571061179e-08,1.45658780854634e-08,1.91620417772021e-08,2.50236993571993e-08,3.24426326461391e-08,4.17604772033275e-08,5.3372248209588e-08,6.77286300501907e-08,8.53365252367186e-08,1.06757306768952e-07,1.32602188458581e-07,1.63524129038056e-07,2.00205727071767e-07,2.43342653071148e-07,2.93622309406832e-07,3.51697611468224e-07,4.18156045046218e-07,4.93484470247354e-07,5.78030500880921e-07,6.71961673626466e-07,7.75224010844167e-07,8.8750194681267e-07,1.00818189774069e-06,1.13632197751479e-06,1.27063046101979e-06,1.40945554607173e-06,1.55078874174272e-06,1.6922838036154e-06,1.83129254669809e-06,1.96491811052243e-06,2.09008535988555e-06,2.20362712496915e-06,2.30238397469309e-06,2.38331424426168e-06,2.44361017264969e-06,2.48081531671169e-06,2.49293795572142e-06,2.47855502923881e-06,2.43690128892324e-06,2.36793879553908e-06,2.2724026366177e-06,2.15181973626615e-06,2.00849881564476e-06,1.84549086634053e-06,1.66652083830349e-06,1.47589253920627e-06,1.27836992119641e-06,1.07903893618949e-06,8.83154931877776e-07,6.95981115842972e-07,5.22623929660485e-07,3.67871256569189e-07,2.36039250813486e-07,1.30833242808722e-07,5.52276603436238e-08,1.13692296814641e-08,2.34053196808329e-09,4.81845265946376e-10,9.91999999832994e-11,2.04236864607183e-11,4.2054212930619e-12,8.66365851841625e-13,1.78889386785125e-13,3.73336898910175e-14,8.17774813002345e-15,2.16460655286061e-15,9.17039120985416e-16,6.52154697693252e-16,5.95633459425476e-16,6.09977036337771e-16,7.71546081729184e-16,1.59529197963484e-15,2.27785349096725e-15,2.7919741639111e-15,3.12279204908453e-15,3.26800492225926e-15,3.23719178715813e-15,3.05042655372296e-15,2.73634677032013e-15,2.32984941879245e-15,1.86958110950965e-15,1.39537616099416e-15,9.45777266450799e-16,5.55752992725818e-16,2.54706238169847e-16,6.48488590078298e-17
1.36690355567509e-11,5.61643596343805e-11,1.32074610191534e-10,2.49466090488394e-10,4.20528966620383e-10,6.62517984725932e-10,9.99022172348487e-10,1.46160534291521e-09,2.09186430226371e-09,2.94395354044053e-09,4.08762276184084e-09,5.61180556211661e-09,7.62878246689124e-09,1.02789179208106e-08,1.37359372476551e-08,1.82126649324154e-08,2.39670891062318e-08,3.13085488617045e-08,4.06037619972511e-08,5.22823232627043e-08,6.68412109529504e-08,8.48477482777983e-08,1.06940382613944e-07,1.33826579513659e-07,1.66277089626616e-07,2.05115846822015e-07,2.51204806260721e-07,3.05423142574491e-07,3.68640409175203e-07,4.41683515083451e-07,5.25297705700541e-07,6.20102132651319e-07,7.26541052022149e-07,8.44832179111761e-07,9.7491422267704e-07,1.11639608730857e-06,1.2685106287073e-06,1.43007613052701e-06,1.59946880131267e-06,1.77460952898578e-06,1.95296785042047e-06,2.13158558008268e-06,2.30712179607492e-06,2.47591992461534e-06,2.63409653495602e-06,2.77765021462739e-06,2.90258761404216e-06,3.005062515229e-06,3.08152268172004e-06,3.12885837245148e-06,3.14454582829502e-06,3.12677882367074e-06,3.07458155134644e-06,2.98789668114638e-06,2.86764337785526e-06,2.71574132636188e-06,2.53509831500358e-06,2.32956057593273e-06,2.10382677077091e-06,1.86332813925854e-06,1.61407880770935e-06,1.36250151143723e-06,1.11523497311708e-06,8.7892987386276e-07,6.60040753537563e-07,4.64621294363411e-07,2.98130297417086e-07,1.65255275458552e-07,6.97599741906068e-08,1.43613102785736e-08,2.95659197347752e-09,6.08693562541149e-10,1.253192216289e-10,2.58021454638742e-11,5.31309852326405e-12,1.09460585342164e-12,2.26027430028126e-13,4.71737638071915e-14,1.03337684472113e-14,2.73539771233493e-15,1.15880881245825e-15,8.24023446503919e-16,7.52566565040103e-16,7.70668936626048e-16,9.74800674694807e-16,2.01558841904725e-15,2.87803952711896e-15,3.52768412710107e-15,3.94571842409848e-15,4.12921784121675e-15,4.09028088967026e-15,3.85427582297557e-15,3.45739686727113e-15,2.94374860999992e-15,2.36217112166058e-15,1.76300053312199e-15,1.19493560611554e-15,7.02154553890696e-16,3.21800619488518e-16,8.19308328479128e-17
1.65550812287508e-11,6.80267667484382e-11,1.59985404644783e-10,3.02224812440037e-10,5.09549665175025e-10,8.02922142904412e-10,1.21101025068767e-09,1.7721893436789e-09,2.53705476049818e-09,3.5715059646051e-09,4.96045984478485e-09,6.812241233633e-09,9.26368049746572e-09,1.24859193933246e-08,1.66908855239625e-08,2.21383411890512e-08,2.914334332768e-08,3.80838675404257e-08,4.94082520475797e-08,6.36420096211495e-08,8.13934416337176e-08,1.03357375119667e-07,1.30316240080861e-07,1.63137621254559e-07,2.02767369055491e-07,2.50217352435993e-07,3.06546996236118e-07,3.72837880454018e-07,4.50160899443805e-07,5.39535791782678e-07,6.41883256881778e-07,7.57970365171745e-07,8.88350528813306e-07,1.03329990371881e-06,1.19275270608102e-06,1.36623850401334e-06,1.55282503743226e-06,1.75107047399067e-06,1.95898917381505e-06,2.17403496508168e-06,2.39310559129597e-06,2.61257136085542e-06,2.82833011179227e-06,3.03588942448811e-06,3.23047562194242e-06,3.40716756332434e-06,3.56105165407667e-06,3.68739297046056e-06,3.78181603956262e-06,3.8404877353545e-06,3.86029404202354e-06,3.83900216951996e-06,3.77539972477614e-06,3.66940335141061e-06,3.52213041937801e-06,3.33592890652829e-06,3.11436246860371e-06,2.86214972363561e-06,2.58505885189748e-06,2.28976060725883e-06,1.98364463887747e-06,1.6746055478485e-06,1.37080629721028e-06,1.0804274331668e-06,8.11411065152071e-07,5.71208714331975e-07,3.6654200131866e-07,2.03184725475279e-07,8.57741997814105e-08,1.76587465792337e-08,3.63557604492475e-09,7.48509437299389e-10,1.5411107991022e-10,3.17315095163093e-11,6.53436033588154e-12,1.34628042037643e-12,2.78012841191817e-13,5.8027672412427e-14,1.27124427589675e-14,3.36523918562899e-15,1.42555888891458e-15,1.01359652548811e-15,9.25633274763609e-16,9.47865673963416e-16,1.19893177689368e-15,2.47908118083406e-15,3.53995069738784e-15,4.33909207919331e-15,4.85333675244592e-15,5.07906467463484e-15,5.03115247672937e-15,4.74081335707784e-15,4.25258491199021e-15,3.62073588582403e-15,2.90535514339515e-15,2.16836355906598e-15,1.46965900515671e-15,8.63571614351966e-16,3.95774334486234e-16,1.00763923370483e-16
