"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
4.12895039009345e-36,2.01527456677296e-35,6.17633476616975e-35,1.62980165221887e-34,4.02899711392701e-34,9.61219841587569e-34,2.23974537019241e-33,5.12391655167089e-33,1.15374080425761e-32,2.56013835483221e-32,5.6023542231524e-32,1.20953292567775e-31,2.57713778171546e-31,5.42046069764106e-31,1.12565550848473e-30,2.30850064810398e-30,4.67615478472127e-30,9.35742913459884e-30,1.85012980455826e-29,3.61483807241622e-29,6.98026828561263e-29,1.33229053584007e-28,2.51365877619654e-28,4.68835122636695e-28,8.64478491133867e-28,1.57583032712187e-27,2.83970744543632e-27,5.05848919036837e-27,8.90660030950964e-27,1.54986853489852e-26,2.66504784859768e-26,4.52758229217794e-26,7.59787625589663e-26,1.25917566110299e-25,2.06036317849406e-25,3.32776038556983e-25,5.30385632526779e-25,8.33944928117481e-25,1.29317629039358e-24,1.9770437289837e-24,2.97900399803429e-24,4.42256970313773e-24,6.46656346171823e-24,9.30909165882702e-24,1.31888744397297e-23,1.83821921668286e-23,2.51934381573063e-23,3.3937226209786e-23,4.49103342427629e-23,5.8352615820837e-23,7.43974840540799e-23,9.30146840125848e-23,1.13950695874799e-22,1.36674941260937e-22,1.60342485702168e-22,1.83785451843459e-22,2.05545107246488e-22,2.23953868354756e-22,2.37270857448881e-22,2.43866272750444e-22,2.42439506822619e-22,2.32245285623805e-22,2.1329337807236e-22,1.86483229011396e-22,1.53637498983585e-22,1.17409244281366e-22,8.1055941196409e-23,4.80972638496773e-23,2.18980175562873e-23,5.2372711379807e-24,1.70798147823753e-24,9.50758042715823e-25,7.7955763740307e-25,7.32623907022679e-25,7.12297885513449e-25,6.97884823431729e-25,6.84983605780068e-25,6.72660168124318e-25,6.60766425633899e-25,6.49538501090112e-25,6.40286226596052e-25,6.39136024589865e-25,6.74538665737052e-25,8.78744827643663e-25,1.86725758227044e-24,6.50768177218401e-24,1.31007867819367e-23,2.0639310445769e-23,2.7981770006243e-23,3.40521527188947e-23,3.80130257223141e-23,3.93810959008749e-23,3.80706283712909e-23,3.43673996576411e-23,2.88494617546565e-23,2.22781887409299e-23,1.54833785273353e-23,9.26102844750637e-24,4.29437093886122e-24,1.10063296315472e-24
1.86865901277341e-35,9.11937166711171e-35,2.79429997613353e-34,7.37171208614605e-34,1.82182573838159e-33,4.34505629806007e-33,1.01209325265924e-32,2.31450783020416e-32,5.20935634982731e-32,1.155425586369e-31,2.52717067699268e-31,5.45317368695447e-31,1.16123130724416e-30,2.44089193456487e-30,5.06560323693135e-30,1.03812984264457e-29,2.10131064038e-29,4.20167799392779e-29,8.30080576630717e-29,1.62049624567613e-28,3.1265432907988e-28,5.96237875803001e-28,1.12396767338352e-27,2.09457943919839e-27,3.8589248360046e-27,7.02857437346522e-27,1.2655848705232e-26,2.25276804814377e-26,3.96375996007412e-26,6.89310817814994e-26,1.18461768323511e-25,2.01151475417385e-25,3.37415940575066e-25,5.58998621486321e-25,9.14439540880951e-25,1.47668085720745e-24,2.35335115548073e-24,3.70023945065564e-24,5.73831691710015e-24,8.77432671485112e-24,1.32243716772057e-23,1.96390252570963e-23,2.87272409762754e-23,4.13747659021096e-23,5.86509940310433e-23,8.17964736409295e-23,1.12182008237191e-22,1.51230013071255e-22,2.00290163374097e-22,2.60465055719715e-22,3.3238809876823e-22,4.15965271510771e-22,5.10104228501564e-22,6.12467148968084e-22,7.19295443093235e-22,8.25361839523097e-22,9.24104938522387e-22,1.00798974226704e-21,1.0691129158969e-21,1.10003385219919e-21,1.09476551178675e-21,1.04980965113623e-21,9.65079802487124e-22,8.44534239802627e-22,6.96351119840209e-22,5.32525558249141e-22,3.67852397578522e-22,2.18367889785835e-22,9.94380629052139e-23,2.37747718316223e-23,7.74012584601289e-24,4.29829865142562e-24,3.51987453772822e-24,3.30656082025051e-24,3.21435542395442e-24,3.14910831414237e-24,3.09077634434363e-24,3.03509874947106e-24,2.98140048769646e-24,2.93077021317123e-24,2.88923039295821e-24,2.88491172971437e-24,3.04833484631193e-24,3.98580388235257e-24,8.51749480079521e-24,2.97758129555721e-23,6.00014299124604e-23,9.45441962750722e-23,1.28144805950352e-22,1.55861070269769e-22,1.73865703606948e-22,1.79972687122847e-22,1.73827032800426e-22,1.56773644628434e-22,1.31483672156033e-22,1.0144887276354e-22,7.04543117955899e-23,4.21144435269678e-23,1.95195161136922e-23,5.00134299495257e-24
5.11943044820907e-35,2.49785415473129e-34,7.65143082361645e-34,2.01778709126839e-33,4.98457741347327e-33,1.18825876495415e-32,2.76636481987098e-32,6.32264223419824e-32,1.42216850676152e-31,3.15217567065954e-31,6.88933822969046e-31,1.4853841890023e-30,3.16028395984046e-30,6.63658948168816e-30,1.37590345641297e-29,2.81670251332641e-29,5.69489302579261e-29,1.1373642832873e-28,2.24417531634879e-28,4.37548164386088e-28,8.4308094928827e-28,1.60561643795712e-27,3.02265946491971e-27,5.62531613844276e-27,1.03499632382602e-26,1.88267853375211e-26,3.38576715126308e-26,6.01957599548858e-26,1.05796938195048e-25,1.83795747825957e-25,3.15570566577808e-25,5.3541075397716e-25,8.97483357186517e-25,1.48601359097655e-24,2.42982387450043e-24,3.92258384755537e-24,6.2502448786649e-24,9.82706977403932e-24,1.52412869472714e-23,2.33105296047841e-23,3.51456779398531e-23,5.22193349245982e-23,7.64318343198691e-23,1.10163452966065e-22,1.56296673416319e-22,2.18187554820704e-22,2.9956157026183e-22,4.04308127796925e-22,5.36151196158772e-22,6.98182848492604e-22,8.92263587108454e-22,1.11831851773677e-21,1.37359065350356e-21,1.65194843280981e-21,1.94337791518369e-21,2.23381264942639e-21,2.50545601086349e-21,2.73772239334559e-21,2.90885857268379e-21,2.9982045041166e-21,2.98892235517541e-21,2.87088270531673e-21,2.64327615225733e-21,2.31645122267236e-21,1.912497913185e-21,1.46422133490282e-21,1.01238138710489e-21,6.01383594058957e-22,2.73936390050362e-22,6.54650982161956e-23,2.12558746955848e-23,1.17594504225536e-23,9.61039149945182e-24,9.0217835141343e-24,8.76810062949901e-24,8.58918693598232e-24,8.4295629984864e-24,8.27740146406008e-24,8.1308296076477e-24,7.99291997685613e-24,7.88059483319911e-24,7.87271815406553e-24,8.33466203373391e-24,1.0961830102067e-23,2.36330871338115e-23,8.30073229964095e-23,1.67514711193755e-22,2.6400947131522e-22,3.57672105867399e-22,4.3464686744054e-22,4.84289751225721e-22,5.00623649598316e-22,4.82826650233429e-22,4.34812983516928e-22,3.6414262694546e-22,2.80581218394597e-22,1.94624292560879e-22,1.16221834307866e-22,5.38271461391019e-23,1.37853565131959e-23
1.1793485582866e-34,5.75280810570595e-34,1.76155364245036e-33,4.64336342579664e-33,1.14646856024644e-32,2.73146881463021e-32,6.35506935948669e-32,1.45146712853432e-31,3.2623246484859e-31,7.22472968050422e-31,1.57757273723687e-30,3.39793808486935e-30,7.22155159654397e-30,1.51474477219051e-29,3.13642470562008e-29,6.41214285912785e-29,1.29457536225881e-28,2.58159036537124e-28,5.08580812948621e-28,9.89960649701279e-28,1.90427005794337e-27,3.62036515413308e-27,6.803647855617e-27,1.26397835149394e-26,2.32154746177069e-26,4.21575375970141e-26,7.56901152253146e-26,1.34357563887356e-25,2.35788564309812e-25,4.09058557701602e-25,7.01456746661763e-25,1.18879267744118e-24,1.99079087792723e-24,3.29361015694096e-24,5.38205034104979e-24,8.68449510767909e-24,1.38339478244871e-23,2.17484350888039e-23,3.37332816796757e-23,5.16059222994247e-23,7.78405825486247e-23,1.15724928811409e-22,1.69513391202259e-22,2.44552358356048e-22,3.47341412863045e-22,4.85483567044043e-22,6.67468357249657e-22,9.02227936965889e-22,1.19841204991197e-21,1.56334730649659e-21,2.00168319919689e-21,2.51378343445027e-21,3.09399449727977e-21,3.72900685189805e-21,4.39660467277865e-21,5.06515841006605e-21,5.69422766865801e-21,6.23658658809467e-21,6.64184287354439e-21,6.86159088951315e-21,6.85573529011593e-21,6.59928609497388e-21,6.08862495055997e-21,5.34605782320079e-21,4.42148339724403e-21,3.39027685750542e-21,2.34702393375023e-21,1.3954797209557e-21,6.35937859048892e-22,1.51891372555099e-22,4.91492854402027e-23,2.7057175488515e-23,2.20530395452329e-23,2.06829997897415e-23,2.0094671172436e-23,1.96816154953116e-23,1.9314180014457e-23,1.896460628003e-23,1.86284981109054e-23,1.83132208300251e-23,1.80590964956569e-23,1.80534278438515e-23,1.91621845052962e-23,2.53976987570318e-23,5.53833907048349e-23,1.95677330632614e-22,3.95589036347e-22,6.2356752574203e-22,8.4420367957405e-22,1.02461686771087e-21,1.13982225778102e-21,1.1761154172094e-21,1.13209094316902e-21,1.01748638383801e-21,8.50462358731537e-22,6.54117944568276e-22,4.5299945421386e-22,2.70153568919544e-22,1.24994680080692e-22,3.19919020216206e-23
2.51025567160108e-34,1.22416675053928e-33,3.7470214932883e-33,9.87219923163619e-33,2.43615313374802e-32,5.80059511148781e-32,1.34865826069822e-31,3.07795975835579e-31,6.91230452227209e-31,1.5293971810568e-30,3.3361966400627e-30,7.17793878400043e-30,1.52367967588945e-29,3.19181105525946e-29,6.59967103749232e-29,1.34721107524853e-28,2.71557078330272e-28,5.40605745165257e-28,1.06309955885909e-27,2.06546399982757e-27,3.96537404511283e-27,7.52385344423573e-27,1.41106103020334e-26,2.61608327271832e-26,4.79510870547947e-26,8.68992006634181e-26,1.5571130258633e-25,2.75876364807709e-25,4.83267463784496e-25,8.36976858255797e-25,1.43301827877565e-24,2.42520077093678e-24,4.05632723342801e-24,6.70388171972063e-24,1.09454747128418e-23,1.76503640656084e-23,2.81040911259954e-23,4.4173241814139e-23,6.85159567603031e-23,1.0484029335404e-22,1.58205986295328e-22,2.35354676813328e-22,3.45038649540377e-22,4.98298496524203e-22,7.08616937338913e-22,9.91851823413353e-22,1.36583067028261e-21,1.84947856620143e-21,2.46135953443057e-21,3.21754779832447e-21,4.12881836861238e-21,5.19726069528334e-21,6.41257246303895e-21,7.74847006470221e-21,9.15983184506381e-21,1.05813303325403e-20,1.19283604400905e-20,1.31009794134354e-20,1.3991298382613e-20,1.44942880396139e-20,1.4521308468466e-20,1.40149273443221e-20,1.29628912532892e-20,1.14086449026592e-20,9.4557447082593e-21,7.26403541147585e-21,5.03659537621994e-21,2.99809680169156e-21,1.36708566019023e-21,3.26336813723052e-22,1.05180542106931e-22,5.7563646943558e-23,4.67631271391258e-23,4.38061083153346e-23,4.25413292904853e-23,4.16583489151616e-23,4.08760292481069e-23,4.01338112457231e-23,3.94220850092032e-23,3.87573159450966e-23,3.82289643660075e-23,3.82507542973423e-23,4.07303168353819e-23,5.44898855002509e-23,1.20417019503927e-22,4.28299990226157e-22,8.67492275670094e-22,1.36746593218868e-21,1.84951919116586e-21,2.24119322625564e-21,2.4881766930892e-21,2.56156623555753e-21,2.45972614298086e-21,2.205307354494e-21,1.83890763463978e-21,1.41122477443352e-21,9.75401864673538e-22,5.80749620500143e-22,2.68373542096795e-22,6.86372577619839e-23
5.11637715025663e-34,2.49443063011835e-33,7.63218440895733e-33,2.00988098352144e-32,4.95707247377605e-32,1.17958667414986e-31,2.74073113423503e-31,6.25031739849075e-31,1.40249253545702e-30,3.10025335881547e-30,6.75593407403961e-30,1.45192908198719e-29,3.07825106418009e-29,6.43966587955699e-29,1.32957908820852e-28,2.70983422373034e-28,5.45297128789839e-28,1.08359963502448e-27,2.12682474420468e-27,4.12384146276008e-27,7.9005408249005e-27,1.49578490242762e-26,2.79901953631488e-26,5.17757868200209e-26,9.46851634718197e-26,1.71203024980199e-25,3.06085668715169e-25,5.41116978752821e-25,9.45924097036555e-25,1.63502323965115e-24,2.79424531664607e-24,4.7209943733788e-24,7.88445117070256e-24,1.30138288872445e-23,2.12250007388941e-23,3.41979767670231e-23,5.44193075729548e-23,8.55037327924438e-23,1.3260710988025e-22,2.02936328295806e-22,3.06349733817898e-22,4.56021717169541e-22,6.69116118494767e-22,9.67374590010283e-22,1.37747962253722e-21,1.93100212058993e-21,2.66369864409891e-21,3.61389658448928e-21,4.81971357814791e-21,6.31491981375388e-21,8.12338706924039e-21,1.02522886120751e-20,1.26845187149432e-20,1.53711681304111e-20,1.82252743084814e-20,2.11183850909607e-20,2.38816298294071e-20,2.6312868896439e-20,2.81909911210245e-20,2.92974954066399e-20,2.94441590789837e-20,2.85040098286518e-20,2.64412592403973e-20,2.33347122456842e-20,1.93888708213236e-20,1.49278673523352e-20,1.03696526321183e-20,6.18134916890429e-21,2.82078388081798e-21,6.73004808238943e-22,2.15985570395501e-22,1.17421161214716e-22,9.50209516625344e-23,8.88831742715827e-23,8.62681603268918e-23,8.44549010715263e-23,8.28569086718672e-23,8.13467736054565e-23,7.9904177865864e-23,7.85646955528562e-23,7.75198162465993e-23,7.76499474571262e-23,8.30005771056499e-23,1.12238481713085e-22,2.51723742561795e-22,9.01700585254455e-22,1.8296527964461e-21,2.88357363202237e-21,3.8950259397204e-21,4.71052525889128e-21,5.21691103088409e-21,5.35619326483988e-21,5.12851315926913e-21,4.58475973415484e-21,3.81231289647096e-21,2.91804484530344e-21,2.01222989343209e-21,1.1957867986729e-21,5.51802603958221e-22,1.41000150083276e-22
1.01370429309991e-33,4.9409882299335e-33,1.511243073595e-32,3.97798951586094e-32,9.80615538156133e-32,2.33215332036424e-31,5.41525104654287e-31,1.234089564707e-30,2.76694960958561e-30,6.1110225017523e-30,1.33037660115243e-29,2.85601501227779e-29,6.04777525316655e-29,1.26351314489827e-28,2.60496505910897e-28,5.30086831426301e-28,1.06487564678081e-27,2.11223005375431e-27,4.13768635246685e-27,8.00628124590154e-27,1.53053147893902e-26,2.8911465933426e-26,5.3974449856886e-26,9.96011595759846e-26,1.81701567469185e-25,3.27734131623878e-25,5.84511337413352e-25,1.03085950800346e-24,1.79785438285798e-24,3.10067671154728e-24,5.28796348631118e-24,8.91697887098114e-24,1.48660659809294e-23,2.44996474640595e-23,3.99053285878408e-23,6.42269473630783e-23,1.02120817738993e-22,1.60363462220423e-22,2.4863567798864e-22,3.8049694560351e-22,5.74542489515951e-22,8.55699046777248e-22,1.25656147169021e-21,1.8185993665538e-21,2.5929731157656e-21,3.64059960357388e-21,5.03101452619375e-21,6.83951434573881e-21,9.14205902684095e-21,1.20075153523259e-20,1.54870587331287e-20,1.9600958468695e-20,2.43235540589866e-20,2.95679569500171e-20,3.51727991729855e-20,4.08940533035372e-20,4.64053659613957e-20,5.13102441741199e-20,5.51685850925121e-20,5.75382967031354e-20,5.80301306713177e-20,5.63705847573845e-20,5.2464360466469e-20,4.64451744413516e-20,3.87026608639001e-20,2.98745334968964e-20,2.07975858593551e-20,1.24182864965279e-20,5.6725638045176e-21,1.35290348813559e-21,4.32249738368208e-22,2.33277892598043e-22,1.87932854372265e-22,1.75481908774979e-22,1.70194922896264e-22,1.66558288874135e-22,1.63376148588464e-22,1.60385659300146e-22,1.57544513506223e-22,1.5492817301122e-22,1.52938237718733e-22,1.53406995605093e-22,1.64717249925586e-22,2.25443777641057e-22,5.13682347214743e-22,1.85338628787385e-21,3.76681484147329e-21,5.93347951462655e-21,8.00125195128434e-21,9.65316032198637e-21,1.06600493377375e-20,1.09098636499378e-20,1.04113812557539e-20,9.2764524216242e-21,7.68868096320491e-21,5.86753056648359e-21,4.03546340768386e-21,2.39287860031302e-21,1.10240382032968e-21,2.81408410637872e-22
1.96532224697444e-33,9.57725675899412e-33,2.92834100856239e-32,7.7051291852339e-32,1.89853846897614e-31,4.51292131623245e-31,1.04730233667941e-30,2.38518290318738e-30,5.34394862387393e-30,1.17929203775364e-29,2.56498720777233e-29,5.50081913724676e-29,1.16350625350819e-28,2.42776175956809e-28,4.99834199036997e-28,1.01557364861219e-27,2.03678379474354e-27,4.03282792873918e-27,7.88478402459254e-27,1.52254389162056e-26,2.90424960409372e-26,5.47349626701247e-26,1.01939441771028e-25,1.87646945702428e-25,3.41453576269982e-25,6.14290588433349e-25,1.0927465184742e-24,1.92224278165586e-24,3.34400647498653e-24,5.75318728093687e-24,9.7888016448848e-24,1.64706667346351e-23,2.74042619966165e-23,4.5081529551699e-23,7.3313703390882e-23,1.17840551855133e-22,1.8716738732635e-22,2.93684266425774e-22,4.55117110876311e-22,6.96342749912328e-22,1.05156258972205e-21,1.56676559279699e-21,2.30231401305272e-21,3.33535122603422e-21,4.76156225792448e-21,6.69562617494021e-21,9.26951091648539e-21,1.26276177982817e-20,1.69177447325163e-20,2.22769783777237e-20,2.88120247883443e-20,3.65742121065642e-20,4.55304766256642e-20,5.553303673599e-20,6.62920310295388e-20,7.73568895710398e-20,8.81132404944182e-20,9.7802255734318e-20,1.05568023337962e-19,1.10535424743877e-19,1.11915997618966e-19,1.09132738416864e-19,1.01947694413117e-19,9.05700708219596e-20,7.57194217896754e-20,5.86202957063566e-20,4.09128114835107e-20,2.44780154686409e-20,1.11955143059494e-20,2.66976512731606e-21,8.49177747360916e-22,4.54668803179874e-22,3.64406793413022e-22,3.39520745236241e-22,3.28976310461048e-22,3.21791740587589e-22,3.15565136262576e-22,3.0976007808713e-22,3.04288886330398e-22,2.99309994632202e-22,2.95654904844859e-22,2.97079306076201e-22,3.20671288467511e-22,4.44807813337244e-22,1.0304890451566e-21,3.7445404753748e-21,7.62016978039036e-21,1.19920524589671e-20,1.61365944058498e-20,1.94117451898595e-20,2.13639924245198e-20,2.17842011092533e-20,2.07095369565468e-20,1.83817610628996e-20,1.51796960188311e-20,1.15449709506996e-20,7.91648310099681e-21,4.68260013869839e-21,2.15330391332062e-21,5.49042022949654e-22
3.7393928765221e-33,1.82190862207961e-32,5.56912907731264e-32,1.46487211046106e-31,3.60804861641447e-31,8.57279460957894e-31,1.98849016020939e-30,4.52616519673434e-30,1.01343163392083e-29,2.23480101978556e-29,4.85675066755057e-29,1.04060294645523e-28,2.19873979223993e-28,4.58253270729656e-28,9.42244800396042e-28,1.91173939591442e-27,3.82807782543708e-27,7.56661648903538e-27,1.47664164498859e-26,2.845679454197e-26,5.4165185301497e-26,1.01850620478886e-25,1.89234694614948e-25,3.47466634732397e-25,6.30634670565829e-25,1.1315293042285e-24,2.00742649324099e-24,3.52169682852497e-24,6.11003151290814e-24,1.04843440802368e-23,1.77933461130906e-23,2.98668007287523e-23,4.95808410867992e-23,8.13945725642703e-23,1.32123035854404e-22,2.12027227941546e-22,3.36315688088053e-22,5.2715975438791e-22,8.16319244883174e-22,1.24844762723958e-21,1.88508380731345e-21,2.80922799381375e-21,4.13022871226726e-21,5.98846816675703e-21,8.55902460104102e-21,1.20531304662705e-20,1.67158756955789e-20,2.28182989233754e-20,3.06418731735936e-20,4.04535642687218e-20,5.24702742638117e-20,6.68127207213985e-20,8.34507314433083e-20,1.02144525298199e-19,1.22389597759675e-19,1.4337589788606e-19,1.63974379958977e-19,1.8276482599605e-19,1.98117053769596e-19,2.08332364114682e-19,2.11842909686031e-19,2.07453991824586e-19,1.94599705761791e-19,1.73568793620071e-19,1.45649091317096e-19,1.13140003277899e-19,7.91964952868181e-20,4.74960303738857e-20,2.17584291641656e-20,5.18984400430163e-21,1.64369144613491e-21,8.72659395038593e-22,6.95264217620842e-22,6.46009104243573e-22,6.25141130868401e-22,6.11079524988548e-22,5.99050811214143e-22,5.87965650730375e-22,5.77641799385996e-22,5.68410112680309e-22,5.61977681532256e-22,5.65954334817882e-22,6.1472354767557e-22,8.65372718585702e-22,2.03946219232971e-21,7.46110173544803e-21,1.51957577821211e-20,2.38792085299795e-20,3.20457592098977e-20,3.84166930828234e-20,4.21133577776653e-20,4.27597542604174e-20,4.04732615862476e-20,3.57688094397312e-20,2.94156936900065e-20,2.22868352718867e-20,1.5230977507949e-20,8.98417955652902e-21,4.12284715628215e-21,1.04988379580909e-21
6.99140946807902e-33,3.40582833793142e-32,1.04084347609364e-31,2.73702822564125e-31,6.73932587000886e-31,1.60070998455246e-30,3.71139807617922e-30,8.44386606760508e-30,1.88960283271649e-29,4.16431830569974e-29,9.04356083199363e-29,1.93607806593138e-28,4.08702642517132e-28,8.50908454603013e-28,1.74754732801959e-27,3.54097442582139e-27,7.08013979624175e-27,1.39722224568748e-26,2.7219219655132e-26,5.23548242700306e-26,9.94477390780408e-26,1.86585465984212e-25,3.45854209208331e-25,6.33471646516167e-25,1.14673734508721e-24,2.05202542258343e-24,3.63041705762951e-24,6.35111471761694e-24,1.09879673773256e-23,1.88018578549873e-23,3.18220504136517e-23,5.32735917486847e-23,8.82161112709013e-23,1.44482113597998e-22,2.3402954328638e-22,3.7485207760854e-22,5.93617114965613e-22,9.29218466906115e-22,1.43742690302107e-21,2.19678068315647e-21,3.3157589318964e-21,4.94109846967888e-21,7.26682449952412e-21,1.05431480242312e-20,1.50838335934192e-20,2.12699827452108e-20,2.95474757356659e-20,4.04146868191536e-20,5.43967211730034e-20,7.20025624054594e-20,9.36624597935735e-20,1.19644913954076e-19,1.49955952306387e-19,1.84228054701012e-19,2.2161182391154e-19,2.60689599210275e-19,2.99435482791799e-19,3.35248995065014e-19,3.65087776709454e-19,3.85716442362788e-19,3.94072546713686e-19,3.8772678005269e-19,3.6538537378093e-19,3.27353520764153e-19,2.75857404491302e-19,2.15118740318935e-19,1.51098129586099e-19,9.08759560391876e-20,4.17175663195837e-20,9.95801671242672e-21,3.14181698371613e-21,1.65328585372206e-21,1.30810318556631e-21,1.2111727722588e-21,1.16997541370342e-21,1.14257095146939e-21,1.11954183311716e-21,1.09867619304416e-21,1.07959163355797e-21,1.0629778692211e-21,1.05232088353438e-21,1.06289829420321e-21,1.1631321634344e-21,1.66415148282924e-21,3.99059623596264e-21,1.46888461448063e-20,2.99216480487269e-20,4.69215116317168e-20,6.27582404849322e-20,7.49258568240771e-20,8.17582583839193e-20,8.2609194441533e-20,7.78040910251337e-20,6.8424336403616e-20,5.60087446103856e-20,4.22532970572285e-20,2.87676381689762e-20,1.69163981464471e-20,7.74500267729601e-21,1.96944699088882e-21
