"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
7.97788985954157e-29,3.97206813488089e-28,1.25165929611567e-27,3.40854923107327e-27,8.70597605439492e-27,2.14606856675195e-26,5.16497032767487e-26,1.21991082909644e-25,2.8346060878617e-25,6.48781204107808e-25,1.46361356865072e-24,3.25561241896654e-24,7.14181633818487e-24,1.54530125147004e-23,3.29828198914339e-23,6.94488509434577e-23,1.44268810359258e-22,2.95688497307943e-22,5.97962025077756e-22,1.19319447605481e-21,2.34945712865717e-21,4.56522057217134e-21,8.75411818889578e-21,1.65667413033737e-20,3.09423064897928e-20,5.70394432177976e-20,1.03781562210198e-19,1.86381172418026e-19,3.30395873488343e-19,5.78137341953132e-19,9.98627733098861e-19,1.70280165073909e-18,2.86631078067867e-18,4.76311983584586e-18,7.81408831713009e-18,1.26558870996519e-17,2.02368344188803e-17,3.1947426415573e-17,4.97942822186233e-17,7.66266345091733e-17,1.16423994357747e-16,1.74651744425671e-16,2.58687660258007e-16,3.78316230416459e-16,5.46278750293252e-16,7.78855331532191e-16,1.0964403914379e-15,1.52405656303882e-15,2.09173462177313e-15,2.83467097457825e-15,3.7930621760009e-15,5.01151099649724e-15,6.53790412801843e-15,8.42168074741012e-15,1.07114460736755e-14,1.34519354357382e-14,1.66804007724712e-14,2.04225689120599e-14,2.46884027164976e-14,2.94679730950751e-14,3.47278111807948e-14,4.04081443693662e-14,4.64214173287094e-14,5.2652452291719e-14,5.89605093096721e-14,6.51833698496852e-14,7.11433957084237e-14,7.66553252050953e-14,8.1535380120568e-14,8.56110922702014e-14,8.87311396919112e-14,9.07744271445511e-14,9.16576652039054e-14,9.13407991964295e-14,8.98298063320422e-14,8.71766003364143e-14,8.34760340471912e-14,7.88602440462811e-14,7.3490809212418e-14,6.75493722137239e-14,6.12274811938369e-14,5.47164389339823e-14,4.81978991218058e-14,4.18358338356908e-14,3.57703302192206e-14,3.011347951226e-14,2.49474215264973e-14,2.03244240386337e-14,1.62687268941661e-14,1.27797763487061e-14,9.83642110466204e-15,7.40163599950639e-15,5.42737542312976e-15,3.85922565504916e-15,2.64061094516887e-15,1.71639976727184e-15,1.03584409247728e-15,5.54857010883387e-16,2.37686780496274e-16,5.80756793413212e-17
3.77864784026547e-28,1.88113615864807e-27,5.92682920020039e-27,1.61370050957231e-26,4.12076163044842e-26,1.01555505510627e-25,2.4435609464032e-25,5.77000392827249e-25,1.34039152880299e-24,3.0670940269611e-24,6.91742560597684e-24,1.5382950756095e-23,3.37368350395227e-23,7.2978926217571e-23,1.55725876254325e-22,3.27813516995244e-22,6.80805729952821e-22,1.39500050358264e-21,2.82034995548623e-21,5.62639770183459e-21,1.10758459614107e-20,2.15160125395868e-20,4.12480650696426e-20,7.80404905545105e-20,1.45722946632872e-19,2.68561404127034e-19,4.88520001569639e-19,8.77119647495605e-19,1.55448652921434e-18,2.7194424813513e-18,4.69623704956452e-18,8.00587987304467e-18,1.3473116130306e-17,2.23839777176742e-17,3.67135452255562e-17,5.94489490122477e-17,9.50384036655714e-17,1.50002617316652e-16,2.33749304691365e-16,3.596334119247e-16,5.46303258532993e-16,8.19363971327307e-16,1.21337196029622e-15,1.77414546199967e-15,2.56133453012943e-15,3.65113850672423e-15,5.13899087933544e-15,7.14195380380571e-15,9.80048366075452e-15,1.32791542476534e-14,1.77658680876599e-14,2.34690636738653e-14,3.06124529215224e-14,3.94269129939412e-14,5.01393202326212e-14,6.29583542792462e-14,7.8057610814021e-14,9.5556722871692e-14,1.15501572054382e-13,1.37845029459777e-13,1.62429951338695e-13,1.8897631389883e-13,2.17074358183175e-13,2.46185396090028e-13,2.75651490241219e-13,3.04714578583825e-13,3.32544814026723e-13,3.58277002615423e-13,3.81053144642765e-13,4.00068316201224e-13,4.14616575418407e-13,4.24133321542924e-13,4.28230628470448e-13,4.26722528555004e-13,4.19638003851989e-13,4.072204738214e-13,3.89913740798747e-13,3.68335537581416e-13,3.43240883592368e-13,3.15478281323867e-13,2.85942288283532e-13,2.55526138256601e-13,2.25077861993804e-13,1.95362817347064e-13,1.67034763016098e-13,1.4061670081987e-13,1.1649177793286e-13,9.49036841619423e-14,7.59652815002304e-14,5.96737173378637e-14,4.59300210569872e-14,3.45611586142438e-14,2.53426886712467e-14,1.80204772521763e-14,1.23303275998711e-14,8.01480934733966e-15,4.83697428147013e-15,2.59098405895072e-15,1.1099212416982e-15,2.71196263668087e-16
1.11053508556588e-27,5.52774709129464e-27,1.74119907177503e-26,4.73939899552455e-26,1.20986333184722e-25,2.98064616170704e-25,7.16921434906987e-25,1.69223890164044e-24,3.92963074089587e-24,8.9883508078741e-24,2.02641917844286e-23,4.50459484080412e-23,9.87532553787614e-23,2.13538131521402e-22,4.55480365994251e-22,9.58444065439508e-22,1.98973105085576e-21,4.07546443297323e-21,8.23640518532739e-21,1.64247046379761e-20,3.23204241096747e-20,6.27618285842422e-20,1.20274007342027e-19,2.27469634915716e-19,4.24587846160566e-19,7.8220469542125e-19,1.42232061891437e-18,2.55278101683485e-18,4.52254171216036e-18,7.90893162146698e-18,1.36531168387843e-17,2.32667832837062e-17,3.91419564878596e-17,6.5007095067061e-17,1.06586142592574e-16,1.72532742994227e-16,2.7572839160643e-16,4.35049192794201e-16,6.77718404822077e-16,1.04236718050654e-15,1.58291874666686e-15,2.373385530266e-15,3.51361763759232e-15,5.13595801893786e-15,7.41263941131505e-15,1.05635985734139e-14,1.48641871391708e-14,2.06520351671998e-14,2.8332091120478e-14,3.83786477856068e-14,5.13330035334987e-14,6.7795344923651e-14,8.84095149039129e-14,1.13839591765968e-13,1.4473767673903e-13,1.81702981270302e-13,2.25233198680207e-13,2.75670184625812e-13,3.33143066140816e-13,3.97512927081832e-13,4.68324033606493e-13,5.44767016206821e-13,6.25659379921052e-13,7.09448076087901e-13,7.94237603341773e-13,8.77845256519405e-13,9.57882838945611e-13,1.03186160518994e-12,1.09731467789318e-12,1.15192898383803e-12,1.19367717195926e-12,1.22093924872137e-12,1.23260394349313e-12,1.22814112970263e-12,1.20763887860615e-12,1.17180169102497e-12,1.12190982144883e-12,1.05974300603997e-12,9.87474953351635e-13,9.0754732157321e-13,8.22533345936592e-13,7.35001671337134e-13,6.47390296608754e-13,5.61898980756065e-13,4.80406229713199e-13,4.0441436906082e-13,3.35023527020707e-13,2.72932893712309e-13,2.18465620524195e-13,1.71612330621612e-13,1.32087491492993e-13,9.93928306682819e-14,7.28824629171906e-14,5.18252987481191e-14,3.54614527611874e-14,2.30505983632118e-14,1.391137318671e-14,7.45191024572352e-15,3.19227598526748e-15,7.80001596789635e-16
2.7960951182954e-27,1.3915024949875e-26,4.38185937961083e-26,1.19227949660188e-25,3.04239985084016e-25,7.49208534408164e-25,1.80122450553639e-24,4.24968383025577e-24,9.86374864252481e-24,2.25508799062924e-23,5.0816496282143e-23,1.12907389788398e-22,2.47405210273834e-22,5.34716348696007e-22,1.14000897630419e-21,2.39770683709342e-21,4.97524661512953e-21,1.01856465777589e-20,2.05750498708858e-20,4.10103052333658e-20,8.06613290732359e-20,1.56558827551591e-19,2.99880533802333e-19,5.66885614046561e-19,1.05763589837706e-18,1.9475422697694e-18,3.53967330716684e-18,6.35009048618713e-18,1.12447864288147e-17,1.96557877723875e-17,3.39164425196158e-17,5.77726988009323e-17,9.71490949228256e-17,1.61275767985842e-16,2.64316066586141e-16,4.27672419841596e-16,6.83188667925011e-16,1.07750585486163e-15,1.67785880838501e-15,2.57961309949544e-15,3.91582362474985e-15,5.8690319392847e-15,8.68539295597707e-15,1.26910166029928e-14,1.83101139095889e-14,2.60841446526032e-14,3.66906821025649e-14,5.09601632726106e-14,6.98881247479423e-14,9.46400016165464e-14,1.26545178613684e-13,1.67076832679381e-13,2.17814304572239e-13,2.8038538392698e-13,3.56387057801826e-13,4.47284977427027e-13,5.54294091433398e-13,6.78245441969905e-13,8.19446800143922e-13,9.77547327661135e-13,1.15141843732994e-12,1.33906411805325e-12,1.53757386114296e-12,1.74312974230842e-12,1.95107609657513e-12,2.15605568206674e-12,2.35221058159292e-12,2.5334398516348e-12,2.69369975841193e-12,2.82732707466924e-12,2.92936205911128e-12,2.99584598619476e-12,3.02406879946669e-12,3.01274570053685e-12,2.96210701507554e-12,2.87389295513552e-12,2.75125314665323e-12,2.59855910063715e-12,2.42114525242158e-12,2.2249999639155e-12,2.01643138715267e-12,1.80173402481735e-12,1.58688021773902e-12,1.37725696679754e-12,1.17746302594271e-12,9.91174804334589e-13,8.21083055505176e-13,6.68896320411917e-13,5.354021991789e-13,4.20574126431518e-13,3.23709571335165e-13,2.43585420044599e-13,1.78617496086942e-13,1.27013384029366e-13,8.69105347522172e-14,5.64946359565951e-14,3.40960641543494e-14,1.82646084017929e-14,7.82438238687231e-15,1.91183153862118e-15
6.59018162068443e-27,3.27895912686764e-26,1.03221502366081e-25,2.80748013270609e-25,7.16077140545451e-25,1.76253076100082e-24,4.23528787060814e-24,9.98727002260083e-24,2.31687946871124e-23,5.29412051441519e-23,1.19234644334427e-22,2.64780884636904e-22,5.79881303596584e-22,1.25262037660076e-21,2.66913137835772e-21,5.61078341268722e-21,1.16361142651325e-20,2.38093876378376e-20,4.80692349448802e-20,9.5760532993762e-20,1.88246466984692e-19,3.65180617787353e-19,6.99114081349318e-19,1.32088763157e-18,2.46307969994999e-18,4.53317343351794e-18,8.23480347551255e-18,1.47654328423171e-17,2.61333705118908e-17,4.56577483949147e-17,7.87437634241687e-17,1.34064108275446e-16,2.2532787146928e-16,3.73881511533132e-16,6.12462793342837e-16,9.90515689173763e-16,1.58156684076331e-15,2.49325244181712e-15,3.8806528623188e-15,5.96361896656323e-15,9.04873006712777e-15,1.35563741425277e-14,2.00531483647918e-14,2.92893054928968e-14,4.22402908694478e-14,6.01505144554802e-14,8.45763991671737e-14,1.17424495772516e-13,1.60979158000846e-13,2.17913083107012e-13,2.91273145387924e-13,3.84433621568247e-13,5.01009378023555e-13,6.44723087550227e-13,8.19223227104285e-13,1.02785352081397e-12,1.27337951705366e-12,1.55768381444712e-12,1.88144756806816e-12,2.24384162357193e-12,2.64225513235168e-12,3.07209195582754e-12,3.52666482396564e-12,3.99721354756576e-12,4.47306641727051e-12,4.9419535133369e-12,5.39046773239569e-12,5.80465508717195e-12,6.17070176554368e-12,6.47567322230975e-12,6.70825183890242e-12,6.85941574804855e-12,6.9230031009241e-12,6.89611351340884e-12,6.77931110295425e-12,6.57661017546328e-12,6.29524346544445e-12,5.94523179140634e-12,5.53879095571924e-12,5.08962484658631e-12,4.61216164491374e-12,4.1207921256294e-12,3.6291653301772e-12,3.14958812397788e-12,2.69256264062312e-12,2.26648099824344e-12,1.87748170145325e-12,1.52945843367174e-12,1.22420079680816e-12,9.61638816579609e-13,7.40159050145552e-13,5.56959778636587e-13,4.08415515860663e-13,2.90426118283403e-13,1.98732207220522e-13,1.29185475134151e-13,7.79689118713833e-14,4.17674021480436e-14,1.78930820502562e-14,4.37209829507405e-15
1.50054698637051e-26,7.46431130432397e-26,2.34896202359557e-25,6.38616083597402e-25,1.62808480161139e-24,4.00527773937157e-24,9.61939151315339e-24,2.26711612055389e-23,5.2564026740883e-23,1.20042392169861e-22,2.70207434991741e-22,5.99700597042635e-22,1.31262109472174e-21,2.83381723998794e-21,6.0349583562147e-21,1.26788485322176e-20,2.6279459174347e-20,5.37414136817207e-20,1.0843784657071e-19,2.15900458193094e-19,4.24177692331855e-19,8.22400692831364e-19,1.57354607914496e-18,2.97135131300256e-18,5.53763715808718e-18,1.01860921364099e-17,1.84935045016971e-17,3.3141678603752e-17,5.86256758550889e-17,1.02370063525396e-16,1.76458577208653e-16,3.00268296786593e-16,5.04411055559677e-16,8.36524988773637e-16,1.36962775900844e-15,2.21393522370536e-15,3.53325312849165e-15,5.5672429376373e-15,8.66101176226354e-15,1.33035316781646e-14,2.01762918195579e-14,3.02132510047644e-14,4.46725057641483e-14,6.52190381968678e-14,9.40163982934487e-14,1.33823182917015e-13,1.88087736835084e-13,2.61031743287112e-13,3.57710519895563e-13,4.84035230970849e-13,6.46740316717224e-13,8.5327874908296e-13,1.11162880346377e-12,1.42999938227163e-12,1.81642688652342e-12,2.27826529383674e-12,2.82158219924879e-12,3.45048641897247e-12,4.16642621434853e-12,4.96750973991113e-12,5.84790916904134e-12,6.79741525903186e-12,7.80120824659238e-12,8.83990277223401e-12,9.88990863954237e-12,1.09241262082723e-11,1.19129667272391e-11,1.28256565343708e-11,1.36317531224841e-11,1.43027742773525e-11,1.48138223924548e-11,1.5145077553949e-11,1.52830368533027e-11,1.52213939550048e-11,1.49614809659477e-11,1.45122313718226e-11,1.38896643054863e-11,1.31159321119576e-11,1.22180104454568e-11,1.12261389221035e-11,1.01721377144104e-11,9.08772994135638e-12,8.00299142504931e-12,6.9450300126751e-12,5.93696907056353e-12,4.99727756716764e-12,4.13945621884399e-12,3.37205903350702e-12,2.69900509939709e-12,2.12011848757905e-12,1.63182542560973e-12,1.22793716485987e-12,9.00453047010776e-13,6.40329419418129e-13,4.38174201489704e-13,2.8484200500947e-13,1.71918931847531e-13,9.20980817923107e-14,3.94554563544111e-14,9.64089972797147e-15
3.34145944416093e-26,1.66178826696204e-25,5.2277001691196e-25,1.42065172784766e-24,3.62004479068819e-24,8.90108412610646e-24,2.13658856213939e-23,5.03272764909548e-23,1.16619290816102e-22,2.66174109492114e-22,5.98792226608887e-22,1.32818923691612e-21,2.90543262324069e-21,6.26886382226869e-21,1.33424829952522e-20,2.80148013546917e-20,5.80322776723476e-20,1.18606357836738e-19,2.39180523599368e-19,4.75932118811354e-19,9.34515275008325e-19,1.81079761369678e-18,3.46269828422742e-18,6.53489997978485e-18,1.21719554056632e-17,2.23766814040641e-17,4.06032666974475e-17,7.27229606294171e-17,1.2857068852471e-16,2.24380989500289e-16,3.86560002306665e-16,6.57426052700021e-16,1.10379316437273e-15,1.82957506619955e-15,2.99395149896538e-15,4.83705304211373e-15,7.71555895839077e-15,1.21510169910614e-14,1.88940099471456e-14,2.90074054580615e-14,4.39716948241091e-14,6.58146894321351e-14,9.7266419340947e-14,1.41937796374588e-13,2.04518332317314e-13,2.90983894250061e-13,4.08800219937403e-13,5.67101976242552e-13,7.76821016821275e-13,1.05073191928178e-12,1.4033788220512e-12,1.85084616883287e-12,2.41033838545382e-12,3.09954082301612e-12,3.93574723627063e-12,4.93475780367057e-12,6.10957564619608e-12,7.46895746438222e-12,9.01590283709734e-12,1.07461936243056e-11,1.2647115944997e-11,1.46965084023978e-11,1.68622780968162e-11,1.91025080715945e-11,2.13662453998011e-11,2.3595009432095e-11,2.57249983241884e-11,2.76899044607056e-11,2.94241829744256e-11,3.08665601497567e-11,3.19635277168935e-11,3.26725510940661e-11,3.29647283120349e-11,3.2826672324957e-11,3.22614499309890e-11,3.12884896510736e-11,2.99424602022826e-11,2.82712108028276e-11,2.63329445212728e-11,2.41928575443935e-11,2.19195142936347e-11,1.95812376474041e-11,1.72427754695511e-11,1.49624627997777e-11,1.27900396147653e-11,1.07652148090392e-11,8.91699623278738e-12,7.26374189327168e-12,5.81383487944756e-12,4.56684818186262e-12,3.51504696484918e-12,2.64507436631649e-12,1.93968005394672e-12,1.37937477523182e-12,9.43924590334968e-13,6.13630946730902e-13,3.70373317427797e-13,1.9841671003072e-13,8.50049357786081e-14,2.07711606938097e-14
7.31330287757128e-26,3.63623441274066e-25,1.14349614127645e-24,3.10615800904482e-24,7.91111193129638e-24,1.94418742814528e-23,4.66420119347189e-23,1.09802989501668e-22,2.5429108290317e-22,5.80061127005502e-22,1.30415601785443e-21,2.89106373736773e-21,6.3205099435321e-21,1.36292925226072e-20,2.89910582483995e-20,6.08356027432625e-20,1.25945542153093e-19,2.57255254221044e-19,5.18472232784046e-19,1.0310709272739e-18,2.02336543141835e-18,3.91834723580079e-18,7.48847819003985e-18,1.41242287203534e-17,2.62926368002083e-17,4.83079628626052e-17,8.76061695424131e-17,1.56818576852715e-16,2.77090664850998e-16,4.83305610500413e-16,8.32167190191876e-16,1.41449260409269e-15,2.37358028193513e-15,3.93216221761295e-15,6.43122326606131e-15,1.03848475208315e-14,1.65561776522248e-14,2.6060444754e-14,4.05016844006763e-14,6.2149974071755e-14,9.4165515497454e-14,1.40874293629694e-13,2.08096992751893e-13,3.03527978379844e-13,4.37154187851134e-13,6.21694619005229e-13,8.73029955689496e-13,1.21057930113801e-12,1.65756806024527e-12,2.2411192876715e-12,2.99209234776284e-12,3.9445899073542e-12,5.1350595954569e-12,6.60093234681614e-12,8.37876702677582e-12,1.0501910755204e-11,1.29977351259256e-11,1.58845670461511e-11,1.91684939896704e-11,2.28402801022946e-11,2.68726736923044e-11,3.12184098367457e-11,3.58092067708623e-11,4.05560163264117e-11,4.53507153691988e-11,5.00693197654115e-11,5.45766724159203e-11,5.87324142502616e-11,6.23979069654120e-11,6.54436554573264e-11,6.77566923785301e-11,6.92473500990264e-11,6.98548644699532e-11,6.95513315024742e-11,6.83436664936233e-11,6.62733826348464e-11,6.34141948578173e-11,5.98676437989368e-11,5.57571033398417e-11,5.12206649144107e-11,4.64034694471999e-11,4.14500768899076e-11,3.6497424649924e-11,3.16688374090582e-11,2.7069425006937e-11,2.27830586720264e-11,1.88709663566717e-11,1.53718513624177e-11,1.23033276770361e-11,9.66438884115345e-12,7.43858809016079e-12,5.59760459834521e-12,4.1048985937596e-12,2.91920892440492e-12,1.99771102300629e-12,1.29872180364457e-12,7.8390255051603e-13,4.19964855842926e-13,1.7992386272951e-13,4.39654818943187e-14
1.57642811238793e-25,7.83631078831765e-25,2.46344441454714e-24,6.68873382876996e-24,1.70273047536727e-23,4.18233107962465e-23,1.0028105270216e-22,2.35944707395279e-22,5.46106385561396e-22,1.24499354518322e-21,2.79748832386036e-21,6.19784373134073e-21,1.35418669579727e-20,2.91838597935933e-20,6.20406307822304e-20,1.30110561649406e-19,2.69203158674476e-19,5.49546388250384e-19,1.10690059122125e-18,2.19996136256745e-18,4.31464175018061e-18,8.35060378943706e-18,1.59497487435611e-17,3.00656953392161e-17,5.59355545020133e-17,1.02711964074181e-16,1.86160213836476e-16,3.33043583141432e-16,5.88137019942803e-16,1.02525843818707e-15,1.76432663880841e-15,2.99728557077325e-15,5.02681286616017e-15,8.32307938849413e-15,1.36054415099738e-14,2.19577781896982e-14,3.49881103227944e-14,5.50449447706289e-14,8.55041349167918e-14,1.31140471567113e-13,1.98597101313597e-13,2.96962485945885e-13,4.3845817802606e-13,6.39230446516401e-13,9.20224182101768e-13,1.30809836232458e-12,1.83611907605856e-12,2.54493992363779e-12,3.48315274043148e-12,4.70746732191661e-12,6.28236143185836e-12,8.2790368351023e-12,1.07735285863538e-11,1.38438479413206e-11,1.75660971663453e-11,2.20095778543778e-11,2.72310203666396e-11,3.32681839567432e-11,4.01332040952153e-11,4.78061809622995e-11,5.62295941029828e-11,6.5304175514335e-11,7.48868617211261e-11,8.47913642538689e-11,9.47917442465274e-11,1.04629156620774e-10,1.14021658339781e-10,1.22676678383208e-10,1.30305456077573e-10,1.36638503988032e-10,1.41440975037537e-10,1.44526737830627e-10,1.45770005602146e-10,1.45113525312362e-10,1.42572601743368e-10,1.38234580624906e-10,1.32253807587265e-10,1.24842472826658e-10,1.16258101251226e-10,1.06788716633973e-10,9.67368686044435e-11,8.64037497828196e-11,7.60745488098839e-11,6.60059994800409e-11,5.64168239448030e-11,4.74814632679706e-11,3.93271777068985e-11,3.20343153683823e-11,2.56393179819627e-11,2.01398737394873e-11,1.5501546399425e-11,1.1665204223895e-11,8.55463076207426e-12,6.08380538634918e-12,4.16347545937793e-12,2.70678466585205e-12,1.63385619235551e-12,8.75341651549284e-13,3.75028071690575e-13,9.1641793796461e-14
3.34962784378333e-25,1.66469242125925e-24,5.23135881104235e-24,1.41980664945417e-23,3.61260508579657e-23,8.86882631695671e-23,2.12534375072684e-22,4.99776916843664e-22,1.15609735291807e-21,2.63410195181486e-21,5.91534715082885e-21,1.30977845876235e-20,2.86009357303155e-20,6.16010899989722e-20,1.30877661602886e-19,2.74312356790584e-19,5.67226409341573e-19,1.15724207841204e-18,2.32955119987082e-18,4.6272483726067e-18,9.06978676192068e-18,1.75434651830433e-17,3.3488618825991e-17,6.30901259099217e-17,1.17307518293995e-16,2.15282062407453e-16,3.89963445085245e-16,6.97252015634767e-16,1.23061023081509e-15,2.14402788924848e-15,3.68750891609892e-15,6.26096558668522e-15,1.0494633428294e-14,1.73669025882005e-14,2.83737878108669e-14,4.57680216386616e-14,7.28897024067196e-14,1.14614112010099e-13,1.77945044182026e-13,2.72782777119827e-13,4.12893425180447e-13,6.17099316354298e-13,9.10696650471498e-13,1.32708547223631e-12,1.90956681132917e-12,2.71322235224655e-12,3.80674408551937e-12,5.2740276231679e-12,7.21528782949099e-12,9.74740590240713e-12,1.30031818379903e-11,1.71291555497356e-11,2.2281684382017e-11,2.86210337584247e-11,3.63033575582444e-11,4.54706167106683e-11,5.62387026555088e-11,6.86842827307542e-11,8.2831144716288e-11,9.8637057794204e-11,1.15982352382609e-10,1.34661516207956e-10,1.5437907751947e-10,1.74750877369912e-10,1.95311515288495e-10,2.15528299088896e-10,2.34821472723307e-10,2.52589887256825e-10,2.68240684211027e-10,2.81221048967606e-10,2.91049732714934e-10,2.97345889529748e-10,2.99852863596381e-10,2.98454895036209e-10,2.93185265491966e-10,2.84225122086655e-10,2.71893024143367e-10,2.56626062380364e-10,2.38954116097601e-10,2.19469362663774e-10,1.98793479698255e-10,1.77545056631261e-10,1.56309562841028e-10,1.35613837397694e-10,1.15906526696424e-10,9.75452711757845e-11,8.07908050922769e-11,6.58075523000651e-11,5.26698306063869e-11,4.13724528085764e-11,3.18443480208502e-11,2.39638162552004e-11,1.75741497194295e-11,1.24985718210698e-11,8.55371972770664e-12,5.56118881212038e-12,3.35693221984716e-12,1.79853866068817e-12,7.70578248951145e-13,1.8830140043056e-13
