"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
5.45186062630498e-12,2.28416995655966e-11,5.54671885952066e-11,1.09514620544743e-10,1.95245019365267e-10,3.2899117449609e-10,5.36391289991479e-10,8.57556452884101e-10,1.35529734951609e-09,2.12821543357096e-09,3.33154268567522e-09,5.21031987135989e-09,8.15218184421178e-09,1.27711854802365e-08,2.0040519235347e-08,3.15016208357696e-08,4.95915999541806e-08,7.8151656960569e-08,1.23208341700685e-07,1.94158716250651e-07,3.05540374620342e-07,4.79625753192774e-07,7.50140008639826e-07,1.16744715363553e-06,1.80555182822383e-06,2.77117997842297e-06,4.21497078542744e-06,6.34436505992169e-06,9.4370511721088e-06,1.38528089540999e-05,2.00403437593296e-05,2.85344363531612e-05,3.99378355435089e-05,5.48823396552506e-05,7.39650679578394e-05,9.76594987995034e-05,0.000126206515266499,0.000159497816242932,0.00019697113229438,0.00023754153068394,0.000279593309549736,0.000321050826141182,0.000359533896585818,0.000392586105743974,0.00041794645605894,0.000433821287952204,0.000439108781377793,0.000433534831765888,0.000417675672887625,0.000392865165349036,0.000361007229451245,0.00032433066830248,0.000285130801071265,0.000245539148987535,0.000207351061648466,0.000171925665073576,0.00014015722701376,0.000112505358669708,8.90650881764374e-05,6.96567029964854e-05,5.39180868011157e-05,4.1387267606504e-05,3.15683475761551e-05,2.39786890903848e-05,1.81785769701721e-05,1.37864690131523e-05,1.0483623672498e-05,8.0117338572759e-06,6.16657767540025e-06,4.78991875425654e-06,3.76114417269623e-06,2.98951608313748e-06,2.40746399410667e-06,1.96504734279465e-06,1.62554232180356e-06,1.36201859240224e-06,1.15473992982465e-06,9.89224315169686e-07,8.54816976162676e-07,7.43653881522883e-07,6.49917218847033e-07,5.69305534301036e-07,4.98658548647984e-07,4.35690389883553e-07,3.78795848679942e-07,3.26903151024802e-07,2.79354377160549e-07,2.35801433338646e-07,1.96111427075861e-07,1.60280141733985e-07,1.28355676329856e-07,1.00375940698647e-07,7.63235815621454e-08,5.61004117045117e-08,3.95211494649985e-08,2.63239862698442e-08,1.619383344396e-08,8.79345858411441e-09,3.79820522202596e-09,9.3144010282641e-10
2.25440554749126e-11,9.44529688730025e-11,2.2936291229456e-10,4.52854765736221e-10,8.073587832353e-10,1.36041249344964e-09,2.21803208871985e-09,3.54608027547755e-09,5.6042842725073e-09,8.80036851117881e-09,1.37762279678976e-08,2.15451213276843e-08,3.37099391648359e-08,5.28098326204562e-08,8.28689653004917e-08,1.30261207385424e-07,2.050640093227e-07,3.23160671340719e-07,5.094707630881e-07,8.02850607642169e-07,1.26341201227583e-06,1.98324921267504e-06,3.10181140129903e-06,4.82734593729964e-06,7.46584838505899e-06,1.14586076982189e-05,1.74284799726574e-05,2.62331754059618e-05,3.90208490223933e-05,5.72790658915268e-05,8.28630508123378e-05,0.000117983896418459,0.000165133688342283,0.000226924586255318,0.000305825329592384,0.000403793420777481,0.00052182465668745,0.000659471103467923,0.000814407886449803,0.000982149195542232,0.00115601479609088,0.00132742288574498,0.00148653259994283,0.00162318794925857,0.00172804092874215,0.0017936757429345,0.0018155369792582,0.0017924913687545,0.00172692131718742,0.00162434160186507,0.00149262389913088,0.00134098312811328,0.00117890925675573,0.00101521508173122,0.00085732354997888,0.000710854083302978,0.0005795041704249,0.000465174216032958,0.000368257242007605,0.000288010328483321,0.000222936374703531,0.000171125394098021,0.00013052710511862,9.91460285063237e-05,7.51641329208969e-05,5.70038949092185e-05,4.33474374203591e-05,3.3126750625732e-05,2.54974433542608e-05,1.98052562225895e-05,1.55514890498547e-05,1.23609650055031e-05,9.95429704655872e-06,8.12499277928298e-06,6.72120752959105e-06,5.63159014851531e-06,4.77453544734235e-06,4.0901632071233e-06,3.53441806358022e-06,3.07478379978061e-06,2.6872049085665e-06,2.35389572494603e-06,2.06178910697365e-06,1.80143339495917e-06,1.5661913062991e-06,1.35163117337627e-06,1.15503249915743e-06,9.74955827188743e-07,8.10851499255738e-07,6.62701906273884e-07,5.30705771625097e-07,4.15019721653732e-07,3.15571924763714e-07,2.31956365601672e-07,1.63406956917887e-07,1.08841226433112e-07,6.69564263439384e-08,3.63582631081962e-08,1.57044437001036e-08,3.85123144652797e-09
5.32007511953482e-11,2.22895429002476e-10,5.4126316804143e-10,1.06867064293815e-09,1.90524623980521e-09,3.21036726017114e-09,5.23421400778683e-09,8.36819397721151e-09,1.32252178316454e-08,2.07674418020275e-08,3.25096187947749e-08,5.0842844189277e-08,7.95496182253979e-08,1.24621804655781e-07,1.95555542133252e-07,3.07391682013113e-07,4.83910528484235e-07,7.62592527331616e-07,1.20224095826327e-06,1.894545291955e-06,2.98135053531866e-06,4.67996832283222e-06,7.31944916373256e-06,1.13911780433421e-05,1.76171814355695e-05,2.70387128198608e-05,4.11254304716895e-05,6.1901118941903e-05,9.20748412452745e-05,0.00013515645271319,0.000195523231985477,0.000278392032352236,0.000389642593093925,0.000535437842406419,0.000721602196779925,0.000952753743885082,0.00123124144624473,0.00155600792130289,0.00192156742011452,0.00231733587254977,0.00272755195808171,0.00313196811381473,0.00350736643975231,0.0038297857330529,0.00407717120495063,0.00423202680571068,0.00428360500241048,0.00422923209870001,0.00407452889400733,0.00383250638277652,0.00352173623246969,0.0031639593191466,0.00278156557659598,0.00239534743321925,0.0020228183664047,0.00167723686824758,0.00136732702234744,0.0010975729983109,0.000868902495639793,0.000679563056883496,0.000526022749742457,0.000403775396143155,0.000307983719190043,0.00023393966480701,0.000177353788015156,0.000134504054846328,0.000102281014619074,7.81647406184807e-05,6.01629091478657e-05,4.67317970034668e-05,3.66947144487597e-05,2.91664212715479e-05,2.34876922977185e-05,1.9171297896468e-05,1.58589510987171e-05,1.32879110155935e-05,1.12656239179619e-05,9.65079753218077e-06,8.33947949177071e-06,7.25494498107182e-06,6.34043295040565e-06,5.55397657899215e-06,4.86474278054399e-06,4.25042944934186e-06,3.69537515118727e-06,3.18912267620759e-06,2.72525235300555e-06,2.30036714014914e-06,1.91316949676056e-06,1.56361729725037e-06,1.25217892952929e-06,9.79223560722108e-07,7.44581439174423e-07,5.47294440461676e-07,3.85554974902055e-07,2.56809044381383e-07,1.5798298242092e-07,8.57871593715247e-08,3.70546489830059e-08,9.08699944575599e-09
1.00060728720936e-10,4.19224656677227e-10,1.01801399981528e-09,2.00996578085968e-09,3.58340030028122e-09,6.03807221412506e-09,9.84451657859237e-09,1.57388849642698e-08,2.48739252499807e-08,3.9059233280768e-08,6.11437037504123e-08,9.56244088557201e-08,1.49615285587618e-07,2.3438547430413e-07,3.67794644636395e-07,5.78130390379369e-07,9.10116429562363e-07,1.43424184213846e-06,2.2610963935292e-06,3.56311644335392e-06,5.6070610237793e-06,8.80161022223921e-06,1.37655753136394e-05,2.14230423857541e-05,3.313181934651e-05,5.08500118318073e-05,7.73413156841543e-05,0.000116411410134822,0.000173154551839512,0.000254170749384191,0.000367691005407564,0.000523524890360052,0.000732728238569174,0.00100688912441022,0.0013569588129448,0.0017916199722707,0.00231528832068385,0.00292597440083363,0.00361336202373149,0.00435754874220245,0.00512889762801807,0.00588933671157219,0.00659520938319927,0.00720146181772571,0.00766662506913561,0.00795780201358301,0.00805478457358103,0.00795254557347116,0.00766165361405077,0.00720657280225697,0.00662222287328604,0.00594948272301827,0.00523045194235846,0.004504226704758,0.00380373815170252,0.00315391707978719,0.00257116841141758,0.00206392478595024,0.00163393150878798,0.00127789419102126,0.000989172256678139,0.000759293012644501,0.00057916098745189,0.000439923521772331,0.000333514954693152,0.00025293646545599,0.000192341051225344,0.000146990197838251,0.000113137468333509,8.787996411073e-05,6.90049575012646e-05,5.48477700153237e-05,4.4168732155403e-05,3.60516057504822e-05,2.98226266326321e-05,2.49877044062809e-05,2.11847360424781e-05,1.81480165403426e-05,1.56820595672524e-05,1.36425811068933e-05,1.19228397604875e-05,1.04439152470157e-05,9.14782465384479e-06,7.99262778321988e-06,6.94887228128982e-06,5.9968922968722e-06,5.12461447782207e-06,4.32564943871586e-06,3.59755586749537e-06,2.94025330883235e-06,2.3546214758245e-06,1.84135373562783e-06,1.40013032057259e-06,1.02914925354448e-06,7.25011445272695e-07,4.82914439053811e-07,2.9707871893275e-07,1.61318742001631e-07,6.9679717975064e-08,1.70877554552202e-08
1.65935639472096e-10,6.95220417136501e-10,1.68821967889164e-09,3.33321427209332e-09,5.94249939164608e-09,1.00131632483236e-08,1.63255006269438e-08,2.61002790621866e-08,4.12491066616274e-08,6.47728362715172e-08,1.01395771859487e-07,1.58575346325467e-07,2.48108442850915e-07,3.88682316766967e-07,6.09912893250923e-07,9.58707934856338e-07,1.50922972809094e-06,2.37836446816795e-06,3.74949223569795e-06,5.90854425885e-06,9.29785124247208e-06,1.45950645924645e-05,2.28262512899752e-05,3.55236424849214e-05,5.49385948301741e-05,8.4317761972646e-05,0.000128243446279011,0.000193025498916812,0.000287110112263109,0.000421439812727051,0.000609661012005147,0.000868036979705111,0.00121489679873675,0.00166945148475312,0.00224985577123209,0.00297050281131442,0.00383871127154446,0.0048511806575509,0.00599080595575333,0.00722458988422016,0.00850339750421376,0.00976411073336306,0.0109343539372739,0.0119394358873337,0.0127106089720117,0.0131933363435635,0.013354117223519,0.0131846177347157,0.0127023586337978,0.0119478966844623,0.010979122197136,0.00986380497060357,0.00867173899077881,0.00746773971434699,0.00630640263887757,0.005229060518538,0.00426291189261546,0.00342193859037003,0.00270903573770149,0.00211874311402699,0.00164005263296697,0.00125891842135408,0.000960261760057303,0.000729406178082503,0.00055297972039991,0.000419378968643145,0.000318909992553118,0.000243716569256451,0.000187587224936245,0.000145708998645617,0.000114413189368901,9.09397388672199e-05,7.32332442679208e-05,5.97745500873721e-05,4.94465251187029e-05,4.14299414706375e-05,3.51244109791118e-05,3.00893778402095e-05,2.60007126605173e-05,2.26191826673182e-05,1.97678032552596e-05,1.73157191231021e-05,1.51667904766343e-05,1.32514772369359e-05,1.15209446992215e-05,9.94258444249219e-06,8.49637650875698e-06,7.17172499593957e-06,5.96457997581507e-06,4.87480598282186e-06,3.90385979777638e-06,3.05288964622644e-06,2.32136446439861e-06,1.70629619851228e-06,1.20204925980329e-06,8.00661665438064e-07,4.92551737224183e-07,2.67464742108717e-07,1.15528547763543e-07,2.83314520857035e-08
2.53146420474125e-10,1.06060642468276e-09,2.57549131244825e-09,5.08503066231712e-09,9.06564194666708e-09,1.52756495452736e-08,2.49054160030964e-08,3.9817252807717e-08,6.29273566275977e-08,9.88135717004567e-08,1.54682860529008e-07,2.41911538704208e-07,3.78495653066549e-07,5.92942275501541e-07,9.30429648774206e-07,1.46251365885881e-06,2.30232489304601e-06,3.62816530736701e-06,5.71976594978995e-06,9.01328639381635e-06,1.4183450242912e-05,2.22639226069531e-05,3.48198090723914e-05,5.41882584552049e-05,8.38032706779662e-05,0.000128616902462398,0.000195618343718643,0.000294431590708279,0.000437938851377994,0.000642829485885288,0.000929916411797419,0.00132400320365233,0.0018530434932196,0.00254633523974511,0.00343156462401756,0.0045306801821638,0.00585484044622694,0.00739900830788744,0.0091370935417074,0.0110187693744261,0.0129690987870884,0.0148918207030675,0.0166765569989088,0.0182093993172008,0.0193855045009705,0.0201217019663436,0.0203669021771535,0.0201083960437825,0.019372903654187,0.0182222758798667,0.0167447981710054,0.0150438231315032,0.013225791098771,0.01138955078036,0.00961836572868429,0.00797527367989675,0.00650175715027977,0.00521914230035982,0.00413184699333508,0.00323154605880365,0.00250145277723325,0.00192014692283066,0.00146463252190484,0.00111252660422968,0.000843435371815269,0.000639661999493756,0.000486421706860193,0.000371732367941279,0.000286120286964,0.000222244697130894,0.000174510015173909,0.000138706504873587,0.000111699171378938,9.11709136720862e-05,7.54178108771785e-05,6.31903174643485e-05,5.35726744279115e-05,4.58929095534972e-05,3.96566328116073e-05,3.44989453733795e-05,3.01498946513775e-05,2.64098885063744e-05,2.31322858439768e-05,2.02110175307856e-05,1.75715956524194e-05,1.51642814888142e-05,1.29585367650727e-05,1.09381971139132e-05,9.09708238033658e-06,7.43498309931696e-06,5.95411876564074e-06,4.65623885002902e-06,3.54053223522097e-06,2.60244107970779e-06,1.83337013742267e-06,1.22117643895032e-06,7.5124698847675e-07,4.07942410910917e-07,1.76206881102978e-07,4.3211891136568e-08
3.62758388558414e-10,1.5198456142014e-09,3.69066471421878e-09,7.28680490609335e-09,1.29909533086399e-08,2.18897558091816e-08,3.56889455210774e-08,5.70571180541698e-08,9.01730165309271e-08,1.41596402954576e-07,2.21654351717021e-07,3.46648243602056e-07,5.42364870872254e-07,8.49652156274413e-07,1.33324575666322e-06,2.09567689525382e-06,3.29904708008271e-06,5.19883756876899e-06,8.19585898415472e-06,1.29150526870357e-05,2.03231700012334e-05,3.19012395775897e-05,4.98917059339974e-05,7.76431333646359e-05,0.000120075538052546,0.000184283809153115,0.000280281319568045,0.000421856102857945,0.000627463850118379,0.000921014175315025,0.00133232369662768,0.0018969254037002,0.00265486417313549,0.00364810969868523,0.00491632153352009,0.00649093855914937,0.00838794144567282,0.0106001092965898,0.0130900617947103,0.0157856996198028,0.0185796698782693,0.0213340742168409,0.0238907932490299,0.0260866521840745,0.0277714634504903,0.0288260861851727,0.0291773357597347,0.0288070072171641,0.0277533774270792,0.0261050478122331,0.0239884874508313,0.0215517497306162,0.0189473122154318,0.0163167786081518,0.0137794278963844,0.0114255662387392,0.00931462209449632,0.00747714958828757,0.00591948094306925,0.0046296929703631,0.00358374022204069,0.00275093873743537,0.00209834646057917,0.00159389885427713,0.00120838049300017,0.000916439189811871,0.00069689424428291,0.000532579849004884,0.000409923676971696,0.000318409004174846,0.000250019267133651,0.000198723300444749,0.00016002965662801,0.000130618647796312,0.000108049069515647,9.05306915244069e-05,7.67514960370139e-05,6.57487382653759e-05,5.68140965616511e-05,4.94247729956842e-05,4.31940007961751e-05,3.78358200119636e-05,3.31401346578675e-05,2.89549767660567e-05,2.51736249535389e-05,2.17248158813004e-05,1.85647944034827e-05,1.56703985913413e-05,1.30327707744034e-05,1.06516076378647e-05,8.5300863053591e-06,6.67071125921082e-06,5.07231939347035e-06,3.72838070860393e-06,2.62658178491575e-06,1.74952716041108e-06,1.07628308148039e-06,5.8444552094205e-07,2.52446436847654e-07,6.19085336930345e-08
4.93813418061311e-10,2.06892321886979e-09,5.02398876323577e-09,9.91927931050095e-09,1.76840897545215e-08,2.97975921669181e-08,4.85816697290283e-08,7.76688632842217e-08,1.22747331351528e-07,1.92746266460176e-07,3.01722883755889e-07,4.7186650539975e-07,7.38277718444897e-07,1.15655772644649e-06,1.81482250711523e-06,2.85263299063588e-06,4.49063265809277e-06,7.07656510142512e-06,1.11559809694747e-05,1.75794905060135e-05,2.76629284074216e-05,4.3422083253397e-05,6.79090493267854e-05,0.000105681354887952,0.000163435248015367,0.000250826894023232,0.000381484331336437,0.000574172577887577,0.000854008789270416,0.0012535320975474,0.00181331995090623,0.00258172837322985,0.00361325247104375,0.00496500545773094,0.00669095524889899,0.00883388106012235,0.0114155244464204,0.0144260523501385,0.0178145894060319,0.0214830140994202,0.0252852322939922,0.0290335849276581,0.032512898102335,0.0355011206606859,0.0377938763424615,0.0392290385782249,0.0397070187169312,0.0392030445997474,0.0377692044774314,0.0355260683211223,0.0326457368564751,0.029329683637534,0.025785403861417,0.0222055968558183,0.0187525835026538,0.0155492589796008,0.0126764999829537,0.0101758902988903,0.00805605136968243,0.00630076123914239,0.00487730050983391,0.00374391477134118,0.0028557757349725,0.00216924849048774,0.00164457475639928,0.00124725316620747,0.00094845893151213,0.000724830883186751,0.000557898088501978,0.000433347937488864,0.000340270295040324,0.000270456990955976,0.000217795307402606,0.000177767227253429,0.000147050311243269,0.000123208074270492,0.000104454866763422,8.94803939566977e-05,7.73206285623276e-05,6.7264040410527e-05,5.8784237890877e-05,5.14920278846396e-05,4.51014684783543e-05,3.94057301134039e-05,3.42595636855663e-05,2.95659781163221e-05,2.52654204978314e-05,2.13263648592869e-05,1.7736753101495e-05,1.44961697078328e-05,1.16089365225066e-05,9.07846075620304e-06,6.90315910233976e-06,5.07414506499595e-06,3.57466198126886e-06,2.3810373697765e-06,1.4647836571221e-06,7.9541239789148e-07,3.43572750774434e-07,8.42559927292427e-08
6.42723034396817e-10,2.69280406953661e-09,6.53895111693708e-09,1.29103585938935e-08,2.30165072586762e-08,3.8782539024795e-08,6.32303732807602e-08,1.01087725383195e-07,1.59757645026733e-07,2.50861283795116e-07,3.92693713032636e-07,6.14133557193087e-07,9.60862730915204e-07,1.50524336470734e-06,2.36195311892806e-06,3.71262082374375e-06,5.84439630703278e-06,9.20983614569952e-06,1.4518918295575e-05,2.28786136475225e-05,3.60013114752443e-05,5.65102727376998e-05,8.83773178173794e-05,0.000137533283404263,0.000212692075759845,0.000326419219322982,0.000496448590829702,0.000747198385458983,0.00111135214356366,0.00163125060587413,0.00235969339092559,0.00335960065283205,0.00470187939415767,0.00646084167353926,0.00870670516624295,0.0114951273215741,0.0148543905533598,0.0187716926551546,0.0231808288618158,0.027954120915828,0.0329014730083787,0.0377787100380266,0.0423058591996196,0.0461940021760344,0.049177220139268,0.0510445678179394,0.0516664700970473,0.051010697247769,0.0491450239970402,0.0462263279500028,0.0424785347675015,0.0381637885709626,0.0335520696494282,0.0288941084834328,0.0244011106952301,0.0202329849374959,0.0164949686835063,0.0132411738402325,0.0104828230455463,0.00819881309459185,0.00634657398209952,0.00487177857349634,0.0037160990484982,0.00282275946544382,0.00214002733796629,0.00162300985017439,0.00123420011529234,0.000943200242993759,0.000725975385815712,0.000563901466277694,0.000442781726448511,0.000351935256571184,0.000283407814355756,0.000231320248381049,0.000191349154192093,0.000160323983604395,0.000135921099218741,0.000116435430308904,0.00010061249693625,8.75263898307738e-05,7.64921185682368e-05,6.70032281662888e-05,5.86876239465299e-05,5.12761597871342e-05,4.45798238272383e-05,3.84724019068422e-05,3.28763976508842e-05,2.77507856996435e-05,2.30798739940718e-05,1.8863121029973e-05,1.51061504424346e-05,1.18133963842543e-05,8.98279979318822e-06,6.60279897471912e-06,4.65159169422993e-06,3.09837683389238e-06,1.90608774496995e-06,1.03505404027265e-06,4.47085355795287e-07,1.0964107462515e-07
8.03014137575222e-10,3.36436733965123e-09,8.16969176435903e-09,1.61300040889182e-08,2.87563606606651e-08,4.84539155758959e-08,7.89980545238772e-08,1.26295246639246e-07,1.99594290914812e-07,3.13413688710489e-07,4.90609667849977e-07,7.67260409953949e-07,1.2004361908846e-06,1.88053825100903e-06,2.95083124626934e-06,4.638219112633e-06,7.30142765437701e-06,1.15058148910814e-05,1.81383161704569e-05,2.8581795678671e-05,4.49754065162022e-05,7.05961508231996e-05,0.000110405614512376,0.000171812504316961,0.00026570197706611,0.000407770345673162,0.000620169755608587,0.000933401665434529,0.00138829151978632,0.00203772704262217,0.00294765926005003,0.00419667948012959,0.00587335373628963,0.00807049944577117,0.0108758179220657,0.0143588219824286,0.0185548299820153,0.0234478426894576,0.0289551588024775,0.0349172953953088,0.0410968100869595,0.0471887168234015,0.0528433206057798,0.0576997564233278,0.061425888560308,0.0637582457574987,0.0645349898885068,0.0637158683801951,0.0613855349905287,0.0577399336573894,0.0530587521962321,0.0476694143879536,0.0419091326330303,0.0360910774502826,0.0304790535293326,0.0252727957279218,0.0206037539618956,0.0165395210239598,0.0130941192608873,0.010241194091741,0.00792757700413919,0.00608541318627059,0.00464184969907841,0.00352597104393892,0.00267316053224385,0.00202734408214805,0.00154167273484152,0.0011781769202146,0.000906834842560545,0.000704383117843226,0.000553088432349487,0.000439609080809497,0.000354009235099298,0.000288945078239048,0.000239016099840415,0.000200261847050556,0.000169779766471483,0.000145439976536689,0.000125675445517187,0.000109329573115732,9.5546701963869e-05,8.36941923916597e-05,7.33072415614219e-05,6.4049645668921e-05,5.56853014444088e-05,4.80565500515084e-05,4.1066588986597e-05,3.4664173879459e-05,2.88297057350784e-05,2.35625111477248e-05,1.88696182113056e-05,1.47565695460495e-05,1.12207971584335e-05,8.2478631789322e-06,5.81053798044343e-06,3.87035100997853e-06,2.38100494344376e-06,1.29294960790428e-06,5.58483035493593e-07,1.36959921690162e-07
