"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100"
1.68246378162528e-28,8.41950063949781e-28,2.675431614271e-27,7.37124920085866e-27,1.91135499467572e-26,4.80094410356995e-26,1.18214913018226e-25,2.86939733114245e-25,6.88538821304436e-25,1.63602743366549e-24,3.85306908023782e-24,9.00017524400222e-24,2.08591490100967e-23,4.79780485403835e-23,1.09528061678621e-22,2.48156100870481e-22,5.57914900198387e-22,1.24431561308068e-21,2.75195273512528e-21,6.03229665119229e-21,1.30977918076335e-20,2.81509231016333e-20,5.98466261021742e-20,1.25743450109031e-19,2.60888038889642e-19,5.34015952268664e-19,1.07741511068806e-18,2.14058793164812e-18,4.1840519349438e-18,8.03847347320706e-18,1.51660341719515e-17,2.80748586130852e-17,5.09513584548096e-17,9.05851107648671e-17,1.57659306900052e-16,2.68457365530653e-16,4.4698269925486e-16,7.27396242538184e-16,1.15654538037136e-15,1.79620195986609e-15,2.72447685840378e-15,4.03578083388191e-15,5.83871024433351e-15,8.25139717324182e-15,1.13941931146512e-14,1.53800240967539e-14,2.03032815963827e-14,2.62285769150565e-14,3.3180956602584e-14,4.11391536232917e-14,5.00331008608483e-14,5.97463124207175e-14,7.01229712408072e-14,8.09788163482979e-14,9.21143597513878e-14,1.0332868983138e-13,1.14432166464617e-13,1.25256636977215e-13,1.35662300435695e-13,1.45540898902778e-13,1.54815409074498e-13,1.6343677296088e-13,1.71378413157909e-13,1.78629337657872e-13,1.85186588686019e-13,1.91047678701955e-13,1.96203531395578e-13,2.00632342065222e-13,2.0429471035652e-13,2.07130382380339e-13,2.09056956405022e-13,2.09970930823798e-13,2.09751468965588e-13,2.08267181488808e-13,2.05386045128759e-13,2.00988261409707e-13,1.9498141190642e-13,1.87316727759161e-13,1.78004745890272e-13,1.67128199085305e-13,1.5484982847046e-13,1.41413045254441e-13,1.27134071551317e-13,1.12385320511871e-13,9.757117171821e-14,8.30986884537378e-14,6.9346888470796e-14,5.66386360450959e-14,4.52189148564729e-14,3.52422003574414e-14,2.67700994002845e-14,1.97787187138847e-14,1.41737467245569e-14,9.81028921918762e-15,6.5142334298671e-15,4.10229101881453e-15,2.39870697447715e-15,1.24766756187232e-15,5.21458504193332e-16,1.25253672310181e-16
8.081465248014e-28,4.0437665661819e-27,1.28477464046248e-26,3.53909762675421e-26,9.17490392025033e-26,2.30403783644782e-25,5.67197804465486e-25,1.37641831382174e-24,3.30205958157188e-24,7.84411110756867e-24,1.84695822015388e-23,4.31319538014601e-23,9.9940988741457e-23,2.29820991453423e-22,5.24534277394629e-22,1.18816343626767e-21,2.67068960965249e-21,5.95513718133921e-21,1.31676880799658e-20,2.88575991458659e-20,6.26449631215206e-20,1.34614832324008e-19,2.86123660410703e-19,6.0105597173699e-19,1.24681137682904e-18,2.55164023655545e-18,5.14716926016459e-18,1.02244548496173e-17,1.99814661058745e-17,3.83820815433928e-17,7.2402415544938e-17,1.34006566931565e-16,2.43160544373201e-16,4.32239365406839e-16,7.52174408318647e-16,1.28058070668755e-15,2.13184803541922e-15,3.46873922988425e-15,5.51441535423407e-15,8.56306513060296e-15,1.29866020772267e-14,1.92344296055366e-14,2.78233195415567e-14,3.93152191548541e-14,5.42823738750796e-14,7.32613856899356e-14,9.67003325595495e-14,1.24905276104174e-13,1.57993763669926e-13,1.95862814620534e-13,2.3817721679932e-13,2.84380997654897e-13,3.3373128242118e-13,3.85350207115795e-13,4.38287878204221e-13,4.91588078178706e-13,5.44348654090689e-13,5.95770073824316e-13,6.4518801091089e-13,6.92088442894595e-13,7.36106101876738e-13,7.77008851229398e-13,8.14671543300413e-13,8.49043191771378e-13,8.8011104878676e-13,9.07864644321834e-13,9.32262246819995e-13,9.5320171021108e-13,9.7049737876025e-13,9.83864643886714e-13,9.92913827541776e-13,9.97155182351178e-13,9.96016778804189e-13,9.88876699572659e-13,9.75110098329197e-13,9.54150186562772e-13,9.25560093305449e-13,8.89109989229953e-13,8.44851283556071e-13,7.93177688495263e-13,7.34862196668983e-13,6.71060149384989e-13,6.03271907997337e-13,5.33264000222724e-13,4.62954229293444e-13,3.94272824439754e-13,3.29016757054293e-13,2.68716506093857e-13,2.14533091995328e-13,1.67198261876931e-13,1.27003355682021e-13,9.38342947756956e-14,6.72431331963398e-14,4.65421381299649e-14,3.09051071187006e-14,1.9462412901485e-14,1.13802335773167e-14,5.91938594149814e-15,2.47400660426662e-15,5.94256474306399e-16
2.41046470645157e-27,1.20595117478779e-26,3.83063273698064e-26,1.05490515124145e-25,2.73391604655146e-25,6.8632063532844e-25,1.68896449363601e-24,4.09715258931822e-24,9.82564664863126e-24,2.33326691272005e-23,5.49190282357509e-23,1.28206819788173e-22,2.96963690767544e-22,6.82651218222472e-22,1.55752298235941e-21,3.52687680611798e-21,7.92489034825165e-21,1.76652451053902e-20,3.90479160785619e-20,8.55483009361133e-20,1.85653296880884e-19,3.98820252657493e-19,8.47438725102409e-19,1.77968090308577e-18,3.69065195678926e-18,7.55090967094325e-18,1.5227483160283e-17,3.02400138721914e-17,5.9081780474167e-17,1.13459626143886e-16,2.13970857919514e-16,3.95930076160592e-16,7.182545641723e-16,1.27645190916791e-15,2.22072849411593e-15,3.77991902902134e-15,6.29118148727697e-15,1.02341030334495e-14,1.62660252155889e-14,2.525321361017e-14,3.82904010243429e-14,5.66998797925252e-14,8.20014652638622e-14,1.15846932609377e-13,1.59917168509727e-13,2.15786856344653e-13,2.84768881894574e-13,3.67757109722624e-13,4.65089916569699e-13,5.76456493461292e-13,7.00863001515715e-13,8.36666931424348e-13,9.8167726469867e-13,1.13330761621087e-12,1.28876168941267e-12,1.44522660582466e-12,1.60005040390918e-12,1.75088458367383e-12,1.89577958046028e-12,2.03322877631997e-12,2.16216357534292e-12,2.28190716085901e-12,2.39209742064723e-12,2.49259032924311e-12,2.5833543448297e-12,2.66436479924199e-12,2.7355054900555e-12,2.79648322364837e-12,2.84676018807812e-12,2.88550880121454e-12,2.91159391048726e-12,2.92358755625181e-12,2.91982145111919e-12,2.89848130274893e-12,2.85774458474212e-12,2.79595899295199e-12,2.71185263232764e-12,2.60475951814156e-12,2.47483643058773e-12,2.32324128410571e-12,2.15224099374274e-12,1.96522014359635e-12,1.76657152072433e-12,1.56146525343276e-12,1.35551263591387e-12,1.1543599840369e-12,9.63262608621627e-13,7.86695291629056e-13,6.28051355873088e-13,4.89467974826966e-13,3.71793863837339e-13,2.74691844491706e-13,1.96848306072868e-13,1.36248513347569e-13,9.04730353020466e-14,5.6975790409088e-14,3.33158082188627e-14,1.73293147673836e-14,7.24286601765935e-15,1.73975036525971e-15
6.13061519851413e-27,3.06655578295868e-26,9.73798130047222e-26,2.68078083377952e-25,6.94487812743609e-25,1.74271739095965e-24,4.2868109712668e-24,1.03945655877153e-23,2.49169133652357e-23,5.91433969320565e-23,1.39147106291888e-22,3.24693300223096e-22,7.51758297263253e-22,1.72738269619686e-21,3.93950234690319e-21,8.91696321812298e-21,2.00282251114319e-20,4.46266446348288e-20,9.86054061264874e-20,2.15946188720656e-19,4.68458515767688e-19,1.00596537898782e-18,2.13675402391962e-18,4.48571601765245e-18,9.29906153072296e-18,1.90188669220307e-17,3.83412012696914e-17,7.61157668472193e-17,1.4866339144515e-16,2.85398923213743e-16,5.38057588750328e-16,9.95309928420031e-16,1.80503834513871e-15,3.20688288931907e-15,5.57759592002944e-15,9.49094104442719e-15,1.57919720500219e-14,2.56822700980232e-14,4.08081166498811e-14,6.33381218797462e-14,9.60116003118862e-14,1.4213562897542e-13,2.0550913184262e-13,2.90258085022012e-13,4.00577583390031e-13,5.40392981740724e-13,7.12970742396987e-13,9.20525737373092e-13,1.16388101484159e-12,1.44223500158799e-12,1.75307869511744e-12,2.09228348579344e-12,2.45435333926367e-12,2.83280904596143e-12,3.22065269448153e-12,3.61085120117625e-12,3.99677966813268e-12,4.37257688424956e-12,4.73338285924957e-12,5.07544761224407e-12,5.39611771633629e-12,5.69371978995171e-12,5.96736724400048e-12,6.21671854779459e-12,6.44171340014253e-12,6.64230920656213e-12,6.8182358106236e-12,6.96878275464047e-12,7.09263115041936e-12,7.18774163883865e-12,7.25131047683266e-12,7.27980661603749e-12,7.26910248520295e-12,7.21470864276181e-12,7.11211620442676e-12,6.95724011503233e-12,6.74694097484056e-12,6.47958462970819e-12,6.1555800348862e-12,5.7778213478625e-12,5.35195483429598e-12,4.88639945192647e-12,4.39207422093597e-12,3.88182440265391e-12,3.36958650508276e-12,2.8693799130006e-12,2.39424948571598e-12,1.95529905389315e-12,1.56094504787358e-12,1.21648361480304e-12,9.24011198077738e-13,6.82679862410246e-13,4.89217865476753e-13,3.3861354896827e-13,2.24851523657254e-13,1.41603099473064e-13,8.28017259409738e-14,4.30702248059673e-14,1.80016399806027e-14,4.32406955792153e-15
1.44744191515345e-26,7.23863592270087e-26,2.29793861564293e-25,6.32358587347402e-25,1.6374925278201e-24,4.1071616231983e-24,1.00981523123309e-23,2.44738728338108e-23,5.86377970640326e-23,1.39115814564137e-22,3.27138798177177e-22,7.62992627780755e-22,1.76569784286092e-21,4.05527429448166e-21,9.24419719649535e-21,2.09143251150552e-20,4.69538742105163e-20,1.04575143645553e-19,2.30963581420989e-19,5.05592019575339e-19,1.09632943890247e-18,2.35326937232129e-18,4.99649206526176e-18,1.04849866172165e-17,2.17272114201579e-17,4.44203067139323e-17,8.95154280632751e-17,1.77641822142545e-16,3.46829572134005e-16,6.65593243280717e-16,1.25439045973081e-15,2.31959709772944e-15,4.20526760684405e-15,7.46871606581861e-15,1.29857820402007e-14,2.20897615605038e-14,3.67435570283661e-14,5.97370277255914e-14,9.48908468257583e-14,1.47235529815652e-13,2.23122222078488e-13,3.30214130922261e-13,4.77308543132335e-13,6.73952820736326e-13,9.2984486649168e-13,1.2540467810627e-12,1.65408308958802e-12,2.13503213417462e-12,2.69874047496921e-12,3.34328747323735e-12,4.06279820330565e-12,4.84765188751301e-12,5.6850706403124e-12,6.56001309272715e-12,7.4562523709814e-12,8.35749656738394e-12,9.24841461148615e-12,1.01154574179024e-11,1.09474050440627e-11,1.17356154176238e-11,1.24739901770415e-11,1.31587024553691e-11,1.37877477884505e-11,1.43603837139173e-11,1.48765191568986e-11,1.53361053677444e-11,1.57385697875776e-11,1.60823256519386e-11,1.63643850097603e-11,1.6580101393208e-11,1.67230696256713e-11,1.67852121334366e-11,1.67570807671504e-11,1.66283972862942e-11,1.63888412763701e-11,1.6029069386338e-11,1.55419145153073e-11,1.49236711214121e-11,1.41753299350416e-11,1.33035920091795e-11,1.23214797944711e-11,1.12483820370436e-11,1.0109425052789e-11,8.93415234678558e-12,7.75460477853771e-12,6.60300316012877e-12,5.50931902155873e-12,4.4990549716969e-12,3.59153140338355e-12,2.79889380891525e-12,2.12593231027738e-12,1.57067019615601e-12,1.12556164029644e-12,7.79064336149496e-13,5.17331938062116e-13,3.2580105707741e-13,1.90513789525247e-13,9.90995213278022e-14,4.14202729058093e-14,9.94942722225892e-15
3.26696835127129e-26,1.63344440054021e-25,5.18372792962986e-25,1.425904801693e-24,3.69069789944533e-24,9.25251406487476e-24,2.27373988750376e-23,5.50780024124805e-23,1.31894858651041e-22,3.12752790207554e-22,7.35075639319511e-22,1.71355154532843e-21,3.96343898711207e-21,9.09824205747404e-21,2.0729590441864e-20,4.68762312547114e-20,1.0518911677477e-19,2.34164881458604e-19,5.16932924616386e-19,1.1310761537717e-18,2.45153022909655e-18,5.25988161185858e-18,1.1163009153544e-17,2.34152762716079e-17,4.85013977409855e-17,9.91183695919657e-17,1.99662372937438e-16,3.96070615467979e-16,7.72993495348231e-16,1.48287347942684e-15,2.79361450839633e-15,5.1640187074143e-15,9.35865160765609e-15,1.6615475076787e-14,2.88791744960564e-14,4.91088908435473e-14,8.16592156229745e-14,1.32716494763844e-13,2.10748829882661e-13,3.26900207316897e-13,4.95232549547465e-13,7.32702617426253e-13,1.05876328606194e-12,1.4945087802052e-12,2.06134368314061e-12,2.77924027089036e-12,3.66474305228926e-12,4.72896145483525e-12,5.97583810015268e-12,7.40097358258592e-12,8.99122384064587e-12,1.072517305046e-11,1.2574446753913e-11,1.45056968982017e-11,1.64829911565237e-11,1.84702923301314e-11,2.04337248378735e-11,2.23433854994109e-11,2.41745465368083e-11,2.59081979822292e-11,2.75309650183081e-11,2.9034500304715e-11,3.04144871847462e-11,3.16693990322112e-11,3.27991498169635e-11,3.38037500950107e-11,3.46820594716166e-11,3.5430707502985e-11,3.60432435318342e-11,3.65095726527863e-11,3.68157376679672e-11,3.69441109687461e-11,3.68740594702568e-11,3.65831328847413e-11,3.60487940900765e-11,3.5250655825011e-11,3.41731107035191e-11,3.28081485680756e-11,3.11580613266035e-11,2.92376625031699e-11,2.70756221051389e-11,2.47145595076147e-11,2.22096594347878e-11,1.96257721945468e-11,1.70332009239137e-11,1.45026189009462e-11,1.20997435544419e-11,9.88047178809844e-12,7.88712689347536e-12,6.14628633770123e-12,4.66839073311667e-12,3.44903877092888e-12,2.47161733151288e-12,1.71075291531188e-12,1.13602496987432e-12,7.1544725914387e-13,4.18368706410676e-13,2.17626653344241e-13,9.09620547070478e-14,2.1849933697712e-14
7.12874579604834e-26,3.56347712412856e-25,1.13048355767121e-24,3.10835930552221e-24,8.04166236958066e-24,2.01502293349272e-23,4.94920813134914e-23,1.19823867996215e-22,2.86788181019382e-22,6.79676863782612e-22,1.59662178010335e-21,3.71995352768778e-21,8.59973361394851e-21,1.97308303775442e-20,4.49320823092624e-20,1.01554600770587e-19,2.27772953418049e-19,5.06805156884076e-19,1.1182656201908e-18,2.44566977185928e-18,5.29836813089142e-18,1.1362750908505e-17,2.41043353469678e-17,5.05386016638973e-17,1.04638592411705e-16,2.1375144762879e-16,4.30399671042259e-16,8.53439100761466e-16,1.66495805187483e-15,3.19273104484092e-15,6.01254905012805e-15,1.11100730455677e-14,2.01271494085526e-14,3.57210701040354e-14,6.20643049523954e-14,1.05503114200138e-13,1.75372256220497e-13,2.8492693651255e-13,4.5230248720163e-13,7.01352522656105e-13,1.06215956549899e-12,1.57097647178175e-12,2.26936310427827e-12,3.20234763834768e-12,4.41557124019847e-12,5.95155634315386e-12,7.84544029194231e-12,1.01206909069609e-11,1.27854188150201e-11,1.5829886044443e-11,1.92256704671941e-11,2.29267028130002e-11,2.68720972024249e-11,3.09904121726075e-11,3.52047679255607e-11,3.94381473906859e-11,4.36182341001375e-11,4.76812697523731e-11,5.15746089889831e-11,5.52578612952271e-11,5.87026984999435e-11,6.1891543690836e-11,6.48154332281303e-11,6.74713628140093e-11,6.98594061609446e-11,7.19798496741584e-11,7.38305366797208e-11,7.54045736451502e-11,7.66885260696408e-11,7.76612244282552e-11,7.82933060218731e-11,7.85476271246545e-11,7.83806780646415e-11,7.77451066692e-11,7.6593388758735e-11,7.48825689797575e-11,7.25798318539865e-11,6.96684662901761e-11,6.61535883729079e-11,6.20668332831535e-11,5.74691712971033e-11,5.24510923860865e-11,4.71296633786219e-11,4.16423769293198e-11,3.61382229723843e-11,3.07669217801772e-11,2.56676459242872e-11,2.09587229838437e-11,1.67296952683395e-11,1.30367292442298e-11,9.9017976715408e-12,7.3154317613655e-12,5.24229971760047e-12,3.62852301532213e-12,2.40954556284644e-12,1.51750998171815e-12,8.87403062549939e-13,4.6161693292947e-13,1.92946467977135e-13,4.6348056546979e-14
1.5108386211352e-25,7.55056256603994e-25,2.39453048746258e-24,6.58118052645052e-24,1.70181563913144e-23,4.26213010684772e-23,1.04629475987383e-22,2.53179578909477e-22,6.05635779012413e-22,1.4345554472895e-21,3.36807909371742e-21,7.84304551090685e-21,1.81218025421396e-20,4.15559819491336e-20,9.45843902837364e-20,2.13668483353764e-19,4.78987703958844e-19,1.06524166750908e-18,2.34931189284364e-18,5.13553690819971e-18,1.11205508109135e-17,2.3837878074265e-17,5.05455590606582e-17,1.05929900355387e-16,2.19229220639942e-16,4.47641627570189e-16,9.00972932474866e-16,1.78580581289162e-15,3.48249296762478e-15,6.67540798186053e-15,1.25662530337082e-14,2.32112658034588e-14,4.20341107824395e-14,7.45735066607706e-14,1.29522501685089e-13,2.20097154267511e-13,3.65728107614712e-13,5.93993405452235e-13,9.42605572260725e-13,1.46114202230786e-12,2.21209046566459e-12,3.2707077777299e-12,4.72320472190239e-12,6.66290512158054e-12,9.1842978609554e-12,1.23752775210969e-11,1.63082875760632e-11,2.10314415066804e-11,2.65608988394346e-11,3.28757383054556e-11,3.99162770456441e-11,4.75862786691582e-11,5.57588783746632e-11,6.42854648030128e-11,7.30063220453053e-11,8.17616345386374e-11,9.04015134102455e-11,9.87939749376615e-11,1.06830207352809e-10,1.14426903461855e-10,1.2152582735798e-10,1.28091067297644e-10,1.34104582687371e-10,1.39560691539535e-10,1.44460096849337e-10,1.48803955591656e-10,1.5258838968834e-10,1.55799752403205e-10,1.58410911683946e-10,1.60378796332198e-10,1.61643461757019e-10,1.62128949439038e-10,1.61746210543469e-10,1.60398308184441e-10,1.57987975686113e-10,1.54427371140353e-10,1.49649532960591e-10,1.43620637461648e-10,1.36351752342555e-10,1.27908464393303e-10,1.18416645810487e-10,1.08062808527445e-10,9.70880298629987e-11,8.57752865993107e-11,7.44310855290635e-11,6.33633228194306e-11,5.28581013182901e-11,4.31585719450917e-11,3.4448626686743e-11,2.68434815715806e-11,2.03880167460874e-11,1.50624548075568e-11,1.07938470687091e-11,7.47112884397048e-12,4.96130768703243e-12,3.12463491031054e-12,1.82724383930562e-12,9.50528833503501e-13,3.97308058435281e-13,9.5439231516268e-14
3.1167596622758e-25,1.55727251740881e-24,4.9369177162711e-24,1.35629742617951e-23,3.50555370979282e-23,8.77504889806929e-23,2.15301500811873e-22,5.20699455736487e-22,1.24489660307773e-21,2.94714842617334e-21,6.91561250896712e-21,1.60952755327383e-20,3.7169146477616e-20,8.51892708434968e-20,1.93795621656483e-19,4.37563762262177e-19,9.80404031602022e-19,2.17927645306918e-18,4.80387883043525e-18,1.0496106201354e-17,2.27176552787527e-17,4.8674725216553e-17,1.03162409030335e-16,2.16104296486262e-16,4.47047219118329e-16,9.12429301176365e-16,1.83568387886962e-15,3.63698300234905e-15,7.0895973118842e-15,1.35842822287833e-14,2.5562034227015e-14,4.71978499677078e-14,8.54401424719596e-14,1.51524961664711e-13,2.63079523815474e-13,4.46890395696385e-13,7.42321682146565e-13,1.20521620761632e-12,1.91189955552828e-12,2.96265651917819e-12,4.48381318819926e-12,6.62741171905328e-12,9.5674954674263e-12,1.34923002311762e-11,1.85921949807315e-11,2.50439793816008e-11,3.29929896041101e-11,4.25351912637867e-11,5.37018408072435e-11,6.64492202639924e-11,8.06553519884443e-11,9.61245734331105e-11,1.12599609078334e-10,1.29779589562028e-10,1.47341591369592e-10,1.64962871217023e-10,1.82341088400317e-10,1.99210363267844e-10,2.15351842401692e-10,2.305983332831e-10,2.44833359464357e-10,2.5798555792766e-10,2.70019651906621e-10,2.80925306754386e-10,2.90705076821118e-10,2.99362457663557e-10,3.06890845460781e-10,3.13264030740215e-10,3.18428747533923e-10,3.22299766485756e-10,3.2475804144579e-10,3.25652453480535e-10,3.24805688709742e-10,3.22024674491017e-10,3.17115724259113e-10,3.09904067521807e-10,3.00256770896858e-10,2.88107249715616e-10,2.73478756830986e-10,2.56503605939876e-10,2.37434660809556e-10,2.16645993643171e-10,1.94620684911549e-10,1.71925445059581e-10,1.4917383982819e-10,1.26981988075912e-10,1.05922192400571e-10,8.64806345245021e-11,6.90247880369332e-11,5.3784621294751e-11,4.08493201101925e-11,3.01786880354355e-11,2.16261598328748e-11,1.49689476185083e-11,9.94044599838124e-12,6.26059637439207e-12,3.66117771153211e-12,1.90457289571142e-12,7.96098243738063e-13,1.91236633873271e-13
6.26662997151828e-25,3.1303684945117e-24,9.92057598000041e-24,2.72427745712283e-23,7.03794087998266e-23,1.76082709694915e-22,4.31801073907248e-22,1.04373072473699e-21,2.49400382251077e-21,5.90103104687744e-21,1.38394672607839e-20,3.21922682782909e-20,7.43023255158365e-20,1.70205676380881e-19,3.86995069850657e-19,8.73330112887466e-19,1.95578579352842e-18,4.3452152392738e-18,9.57365023310851e-18,2.09075973310739e-17,4.523074192018e-17,9.68661229873755e-17,2.0520690834256e-16,4.2967476191101e-16,8.88463455625569e-16,1.81258687173694e-15,3.6451428346686e-15,7.21902407483731e-15,1.40663930683373e-14,2.69417078338641e-14,5.06773905635892e-14,9.35350731714084e-14,1.69258540114613e-13,3.00062651719198e-13,5.20782753099899e-13,8.84331055953312e-13,1.46842816482509e-12,2.38327684357004e-12,3.77942480690396e-12,5.85457072741492e-12,8.85760401662341e-12,1.30878845437051e-11,1.88878337454492e-11,2.66274618485279e-11,3.66805393213916e-11,4.93936276114201e-11,6.5050845314893e-11,8.383867233681e-11,1.05815877221714e-10,1.30893490325884e-10,1.58828555910589e-10,1.89233366831837e-10,2.21599435794668e-10,2.55333123734971e-10,2.89798129063979e-10,3.24359267897872e-10,3.58422222656904e-10,3.91465039228889e-10,4.23058778347816e-10,4.5287648498789e-10,4.8069118898745e-10,5.06364768327382e-10,5.29830113355453e-10,5.51069169967838e-10,5.70089237941709e-10,5.86899514935802e-10,6.01489455123787e-10,6.1381016485768e-10,6.23759847009655e-10,6.31174239487507e-10,6.35823032946417e-10,6.3741331908394e-10,6.35601106024434e-10,6.30011719258476e-10,6.20269372446687e-10,6.06035269629214e-10,5.87052294624089e-10,5.63192773860399e-10,5.34504217463623e-10,5.01246720409755e-10,4.63915269052692e-10,4.23240926483063e-10,3.8016695617163e-10,3.35799273048575e-10,2.91334705344628e-10,2.47974615226574e-10,2.06834523582496e-10,1.68861688719213e-10,1.34771650404639e-10,1.05011668986013e-10,7.97544214616315e-11,5.89203044654892e-11,4.22223646985851e-11,2.9225119596105e-11,1.94077670109113e-11,1.22234031155715e-11,7.14833888026161e-12,3.71868963012365e-12,1.55441144863672e-12,3.73400818935906e-13
