"expedition_name"	"latitude"	"longitude"	"lower_elevation"	"upper_elevation"	"locality_id"	"collector_number"	"species_epithet"	"habitat1"	"flower_color"	"phyllotaxy"	"tube_lo"	"tube_hi"	"meantube"	"beak_lo"	"beak_hi"	"meanbeak"	"nectar"	"beehav"	"stigmapos"	"habitat2"	"microhabitat"	"plant_description"	"locality_habitat"					
"1997 W Sichuan (A, CDBI)"	29.59	102.06	2300	2600	23	27429	"davidii"	"forest"	"red"	1	10	12	11	1		1	0	1	"VA"	"open"	"South side of river between Camp 1 and Camp 2"	" open places"	"Flowers deep pink"	"Mixed deciduous forest with several species of Acer, Tetracentron, Betula, Tilia, Cercidiphyllum, Quercus"				
"1997 W Sichuan (A, CDBI)"	29.58	102	3000	3100	26	27381	"hemsleyana"	"forest"	"white"	1	5	6	5.5	4		4	1	0	"DT"	"shade"	"On forest floor in deep, dark, moist soil"	"Plants scattered, not apparently associated with any particular host except perhaps Rubus"	" stems very brittle"	" flowers white"	"Abies forest with deciduous shrub understory"			
"1997 W Sichuan (A, CDBI)"	29.58	102	3200	0	29	27481	"davidii"	"scrub"	"red"	1	10	12	11	1		1	0	1	"VA"			"Corolla light to dark pink"	"Glacially scoured wall with sand and clay, very little humus layer, very rocky and mostly open, plants of Salix to 3 m tall"					
"1997 W Sichuan (A, CDBI)"	30.04	101.84	3700	3750	31	27508	"longiflora"	"scrub"	"yellow, red"	1	40	70	55	6		6	0	1	"T-lateral"	"open"	"In grassy areas in wetter areas near stream"	"Plants widely scattered"	" Corolla and floral tube bright yellow with two reddish spots on lip"	"Scrub thickets of Quercus, Salix, Berberis, Lonicera, Juniperus on gentle, rocky slopes"				
"1997 W Sichuan (A, CDBI)"	30.02	101.86	3500	0	32	27561	"lyrata"	"scrub"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"	"open"	"Open gravelly-stony area"	"Corolla pale yellow"	"Shrub covered rocky-gravelly slopes with Quercus, Rosa, Lonicera, Berberis, Salix and Juniperus, all mostly under 2 m tall"					
"1997 W Sichuan (A, CDBI)"	30.28	101.53	3500	0	38	27691	"rudis"	"scrub"	"yellow"	1	12		12	0		0	1	0	"DT"	"shade"	"Gravelly bank under shrubs"	"Flowers yellow"	"Cut over slopes with shrubs at edge of road and along stream through area with Picea forest"					
"1997 W Sichuan (A, CDBI)"	30.75	101.3	3800	0	40	27694	"confertiflora"	"meadow"	"red"	0	12		12	7		7	0	1	"VA"	"open"	"Wet meadow grazed by yaks"	"Flowers pink"	"Wet, grassy meadow"					
"1997 W Sichuan (A, CDBI)"	30.75	101.3	3800	0	40	27695	"kansuensis"	"meadow"	"yellow"	0	10	12	11	0		0	1	0	"DT"	"open"	"Wet meadow grazed by yaks"	"Flowers pale yellow"	"Wet, grassy meadow"					
"1997 W Sichuan (A, CDBI)"	30.85	101.28	3490	3550	41	27706	"lyrata"	"meadow"	"yellow"	0	7	10	8.5	0		0	1	0	"DA"	"open"	"Grazed grassy meadow"	"Flowers pale yellow"	"Mixed Picea, Abies and Quercus forests and adjacent grazed meadows"					
"1997 W Sichuan (A, CDBI)"	30.85	101.28	3490	3550	41	27708	"szetschuanica"	"meadow"	"red"	0	10		10	0		0	0	0	"DT"	"open"	"Grazed grassy meadow"	"Corolla pale pink, throat deeper pink"	"Mixed Picea, Abies and Quercus forests and adjacent grazed meadows"					
