"species"	"phyllotaxy"	"tube_lo"	"tube_hi"	"meantube"	"beak_lo"	"beak_hi"	"meanbeak"	"nectar"	"stigmapos"	"beehav"	"avg_color"	"simple_stigma"	"pollination observed (1) inferred (0)"
"alaschanica"	0	20	25	22.5	2	3	2.5	1	"Ab"	0	"yellow"	"DA"	0
"alopecuros"	0	18	20	19	7		7	0	"A"	1	"yellow, red"	"VA"	0
"anas"	0	7		7	1		1	1	"Ab"	0	"red, white"	"DA"	1
"angustiloba"	1	9		9	1.5		1.5	1	"Ab"	0	"yellow"	"DA"	1
"anthemifolia"	0	10	15	12.5	0		0	1	"A"	0	"red"	"VA"	0
"armata"	1	90	120	105	15		15	0	"A-lateral"	1	"yellow"	"A-lateral"	1
"axillaris"	1	12		12	1		1	0	"A"	1	"red, white"	"VA"	1
"batangensis"	1	30		30	5.5		5.5	0	"A"	1	"yellow"	"VA"	1
"bella"	1	28	34	31	8		8	0	"Ab"	1	"red"	"DA"	1
"bidentata"	1	75		75	7		7	0	"T-lateral"	1	"yellow, white"	"T-lateral"	1
"brevilabris"	0	15	20	17.5	1		1	1	"Ab"	0	"red"	"DA"	1
"cephalantha"	0	14		14	5	6	5.5	0	"Ab"	1	"red, white"	"DA"	1
"cheilanthifolia"	0	11	14	12.5	0		0	1	"Ab"	0	"red, white"	"DA"	1
"chenocephala"	0	10		10	1		1	1	"y"	0	"red"	"DA"	0
"chinensis"	1	45	50	47.5	9	10	9.5	0	"T-lateral"	1	"yellow"	"T-lateral"	1
"chumbica"	0	15	18	16.5	6.5		6.5	0	"A"	1	"red"	"VA"	1
"cinerascens"	1	12		12	0		0	0	"A"	1	"red, white"	"VA"	0
"comptoniaefolia"	1	20		20	0		0	1	"Tb"	1	"red, white"	"DT"	0
"confertiflora"	0	12		12	7		7	0	"A"	1	"red, white"	"VA"	1
"cranolopha"	1	40	50	45	7	8	7.5	0	"T-lateral"	1	"yellow"	"T-lateral"	1
"cristatella"	0	8	9	8.5	6	7	6.5	0	"Ab"	0	"red, white"	"DA"	1
"croizatiana"	1	25	30	27.5	5		5	0	"A"	1	"yellow"	"VA"	0
"curvituba"	0	10		10	2.5	3	2.75	1	"Ab"	0	"yellow"	"DA"	0
"cyathophylla"	0	35	55	45	7		7	0	"Tb"	1	"red"	"DT"	1
"cyathophylloides"	0	12		12	1		1	1	"Ab"	0	"red, white"	"DA"	1
"cymbalaria"	0	20	25	22.5	0		0	1	"A"	1	"red, yellow"	"VA"	0
"daucifolia"	0	5	6	5.5	0		0	1	"Ab"	0	"red"	"DA"	0
"davidii"	1	10	12	11	1		1	0	"A"	1	"red"	"VA"	1
"debilis"	0	8.5		8.5	6		6	0	"A"	1	"red"	"VA"	1
"decorissima"	1	90		90	1		1	0	"T-lateral"	1	"red"	"T-lateral"	0
"densispica"	0	6	8	7	0		0	1	"Ab+T"	1	"red"	"DA"	1
"dichotoma"	0	13	15	14	10		10	1	"A"	1	"red, white"	"VA"	1
"diffusa"	0	8		8	0		0	1	"Tb"	0	"red"	"DT"	0
"dolichocymba"	1	14		14	0		0	0	"A-base"	1	"yellow, red"	"A-base"	0
"dolichoglossa"	0	12		12	0		0	1	"Ab"	0	"yellow, white"	"DA"	1
"elwesii"	1	10		10	1		1	0	"T-lateral"	1	"red"	"T-lateral"	1
